Município (Código),Município,Variável (Código),Variável,Ano (Código),Ano,Nível de ensino ou curso que frequentavam (Código),Nível de ensino ou curso que frequentavam,Grupo de idade (Código),Grupo de idade,Sexo (Código),Sexo,Cor ou raça (Código),Cor ou raça,Unidade de Medida (Código),Unidade de Medida,Nível Territorial (Código),Nível Territorial,Valor
3304557,Rio de Janeiro (RJ),13282,Pessoas de até 5 anos de idade que frequentavam escola ou creche,2022,2022,95300,Total,2488,5 anos,6794,Total,2776,Branca,45,Pessoas,6,Município,28432
3304557,Rio de Janeiro (RJ),13282,Pessoas de até 5 anos de idade que frequentavam escola ou creche,2022,2022,95300,Total,2488,5 anos,6794,Total,2777,Preta,45,Pessoas,6,Município,9151
3304557,Rio de Janeiro (RJ),13282,Pessoas de até 5 anos de idade que frequentavam escola ou creche,2022,2022,95300,Total,2488,5 anos,6794,Total,2778,Amarela,45,Pessoas,6,Município,93
3304557,Rio de Janeiro (RJ),13282,Pessoas de até 5 anos de idade que frequentavam escola ou creche,2022,2022,95300,Total,2488,5 anos,6794,Total,2779,Parda,45,Pessoas,6,Município,28467
3304557,Rio de Janeiro (RJ),13282,Pessoas de até 5 anos de idade que frequentavam escola ou creche,2022,2022,95300,Total,2488,5 anos,6794,Total,2780,Indígena,45,Pessoas,6,Município,20
3304557,Rio de Janeiro (RJ),13282,Pessoas de até 5 anos de idade que frequentavam escola ou creche,2022,2022,95300,Total,95253,Total,6794,Total,95251,Total,45,Pessoas,6,Município,233509
3304557,Rio de Janeiro (RJ),13282,Pessoas de até 5 anos de idade que frequentavam escola ou creche,2022,2022,95300,Total,95253,Total,6794,Total,2776,Branca,45,Pessoas,6,Município,104981
3304557,Rio de Janeiro (RJ),13282,Pessoas de até 5 anos de idade que frequentavam escola ou creche,2022,2022,95300,Total,95253,Total,6794,Total,2777,Preta,45,Pessoas,6,Município,31757
3304557,Rio de Janeiro (RJ),13282,Pessoas de até 5 anos de idade que frequentavam escola ou creche,2022,2022,95300,Total,95253,Total,6794,Total,2778,Amarela,45,Pessoas,6,Município,217
3304557,Rio de Janeiro (RJ),13282,Pessoas de até 5 anos de idade que frequentavam escola ou creche,2022,2022,95300,Total,95253,Total,6794,Total,2779,Parda,45,Pessoas,6,Município,96352
3304557,Rio de Janeiro (RJ),13282,Pessoas de até 5 anos de idade que frequentavam escola ou creche,2022,2022,95300,Total,95253,Total,6794,Total,2780,Indígena,45,Pessoas,6,Município,122
