idade,Homens,Mulheres,Total
0 ano,2334.0,2025.0,4358.0
1 ano,9056.0,8541.0,17597.0
2 anos,17291.0,17616.0,34907.0
3 anos,25425.0,23852.0,49278.0
4 anos,31299.0,29907.0,61206.0
5 anos,34898.0,31264.0,66163.0
Total,120304.0,113205.0,233509.0
