bairro,Crianças,Famílias,codbairro,0 a 4 anos,Primeira Inf. Cadúnico,Percentual Primeira Inf. Cadúnico,suprimido
Saúde,38.0,36.0,1,54,0.7037037037037037,70.37037037037037,False
Gamboa,404.0,376.0,2,669,0.6038863976083707,60.38863976083707,False
Santo Cristo,432.0,400.0,3,534,0.8089887640449438,80.89887640449437,False
Caju,922.0,846.0,4,1529,0.6030085022890779,60.30085022890779,False
Centro,417.0,377.0,5,622,0.6704180064308681,67.04180064308682,False
Catumbi,373.0,350.0,6,662,0.5634441087613293,56.34441087613293,False
Rio Comprido,740.0,688.0,7,1908,0.38784067085953877,38.78406708595388,False
Cidade Nova,87.0,83.0,8,211,0.41232227488151657,41.23222748815166,False
Estácio,646.0,589.0,9,1280,0.5046875,50.46874999999999,False
Imperial de São Cristóvão,1203.0,1102.0,10,1257,0.9570405727923628,95.70405727923628,False
Mangueira,644.0,598.0,11,1228,0.5244299674267101,52.44299674267101,False
Benfica,899.0,842.0,12,1055,0.852132701421801,85.2132701421801,False
Paquetá,67.0,62.0,13,145,0.46206896551724136,46.206896551724135,False
Santa Teresa,704.0,663.0,14,1594,0.44165621079046424,44.165621079046424,False
Flamengo,80.0,75.0,15,1210,0.06611570247933884,6.6115702479338845,False
Glória,119.0,109.0,16,169,0.7041420118343196,70.41420118343196,False
Laranjeiras,91.0,85.0,17,1389,0.06551475881929446,6.551475881929446,False
Catete,138.0,136.0,18,830,0.16626506024096385,16.626506024096386,False
Cosme Velho,135.0,126.0,19,325,0.4153846153846154,41.53846153846154,False
Botafogo,232.0,210.0,20,2761,0.08402752625860195,8.402752625860195,False
Humaitá,,,21,454,,,True
Urca,,,22,252,,,True
Leme,134.0,124.0,23,422,0.3175355450236967,31.753554502369667,False
Copacabana,925.0,877.0,24,3528,0.26218820861678005,26.218820861678005,False
Ipanema,,,25,1314,,,True
Leblon,32.0,31.0,26,1199,0.026688907422852376,2.6688907422852375,False
Lagoa,,,27,772,,,True
Jardim Botânico,34.0,33.0,28,587,0.05792163543441227,5.792163543441227,False
Gávea,1437.0,1329.0,29,459,3.130718954248366,313.0718954248366,False
Vidigal,359.0,341.0,30,853,0.4208675263774912,42.08675263774912,False
São Conrado,61.0,58.0,31,337,0.18100890207715134,18.100890207715135,False
Praça da Bandeira,53.0,51.0,32,261,0.20306513409961685,20.306513409961685,False
Tijuca,1009.0,919.0,33,4764,0.2117968094038623,21.17968094038623,False
Alto da Boa Vista,144.0,125.0,34,418,0.3444976076555024,34.44976076555024,False
Maracanã,44.0,41.0,35,837,0.052568697729988054,5.256869772998805,False
Vila Isabel,733.0,680.0,36,2358,0.31085665818490243,31.085665818490245,False
Andaraí,348.0,326.0,37,1336,0.26047904191616766,26.047904191616766,False
Grajaú,281.0,262.0,38,1238,0.22697899838449112,22.69789983844911,False
Manguinhos,1494.0,1361.0,39,1915,0.7801566579634465,78.01566579634465,False
Bonsucesso,2293.0,2094.0,40,672,3.412202380952381,341.2202380952381,False
Ramos,2052.0,1901.0,41,1527,1.343811394891945,134.3811394891945,False
Olaria,966.0,896.0,42,2133,0.45288326300984527,45.28832630098453,False
Penha,1568.0,1445.0,43,2958,0.5300878972278567,53.008789722785664,False
Penha Circular,961.0,907.0,44,1639,0.586333129957291,58.633312995729106,False
Brás de Pina,974.0,900.0,45,1760,0.553409090909091,55.34090909090909,False
Cordovil,995.0,916.0,46,1641,0.6063375990249847,60.633759902498475,False
Parada de Lucas,451.0,413.0,47,1171,0.3851409052092229,38.51409052092229,False
Vigário Geral,993.0,921.0,48,2050,0.484390243902439,48.4390243902439,False
Jardim América,854.0,798.0,49,908,0.9405286343612335,94.05286343612335,False
Higienópolis,167.0,158.0,50,503,0.3320079522862823,33.20079522862823,False
Jacaré,1071.0,994.0,51,443,2.4176072234762978,241.76072234762978,False
Maria da Graça,63.0,59.0,52,277,0.22743682310469315,22.743682310469314,False
Del Castilho,463.0,429.0,53,991,0.467204843592331,46.7204843592331,False
Inhaúma,1473.0,1368.0,54,1718,0.8573923166472642,85.73923166472642,False
Engenho da Rainha,576.0,536.0,55,1130,0.5097345132743363,50.97345132743363,False
Tomás Coelho,561.0,521.0,56,1135,0.49427312775330395,49.42731277533039,False
São Francisco Xavier,100.0,90.0,57,255,0.39215686274509803,39.21568627450981,False
Rocha,333.0,317.0,58,885,0.376271186440678,37.6271186440678,False
Riachuelo,91.0,83.0,59,327,0.2782874617737003,27.82874617737003,False
