bairro,ano,nascidos abaixo peso,codigo,percentual abaixo do peso
DEODORO,2025,12,134,9.67741935483871
VILA MILITAR,2025,14,135,12.962962962962962
CAMPO DOS AFONSOS,2025,3,136,8.333333333333332
JARDIM SULACAP,2025,9,137,6.8181818181818175
MAGALHAES BASTOS,2025,34,138,16.346153846153847
REALENGO,2025,155,139,10.594668489405331
PADRE MIGUEL,2025,54,140,10.344827586206897
BANGU,2025,200,141,10.116337885685383
SENADOR CAMARA,2025,100,142,10.050251256281408
SANTISSIMO,2025,53,143,11.252653927813164
CAMPO GRANDE,2025,320,144,9.1324200913242
SENADOR VASCONCELOS,2025,36,145,12.080536912751679
INHOAIBA,2025,73,146,9.707446808510637
COSMOS,2025,107,147,11.215932914046121
PACIENCIA,2025,112,148,9.680207433016422
SANTA CRUZ,2025,304,149,9.541745134965474
SEPETIBA,2025,78,150,10.358565737051793
GUARATIBA,2025,161,151,8.623460096411355
BARRA DE GUARATIBA,2025,5,152,4.273504273504273
PEDRA DE GUARATIBA,2025,22,153,9.649122807017543
ROCINHA,2025,78,154,11.206896551724139
JACAREZINHO,2025,29,155,9.897610921501707
COMPLEXO DO ALEMAO,2025,36,156,9.97229916897507
COMPLEXO DA MARE,2025,138,157,9.236947791164658
PARQUE COLUMBIA,2025,8,158,9.63855421686747
VASCO DA GAMA,2025,15,159,11.450381679389313
GERICINo,2025,0,160,0.0
LAPA,2025,5,161,12.82051282051282
VILA KENNEDY,2025,25,162,12.886597938144329
JABOUR,2025,0,163,0.0
ILHA DE GUARATIBA,2025,8,164,9.876543209876543
BARRA OLIMPICA,2025,41,165,8.151093439363818
ILHA DO GOVERNADOR - IGNORADO,2025,1,998,8.333333333333332
IGNORADO BAIRRO-MRJ,2025,1,999,5.263157894736842
