codigo,bairro,ano,obitos_0_364,obitos_0_6,obitos_7_27,nascidos_vivos,obitos_28_364,taxa_mortalidade_infantil,taxa_mortalidade_pos_neonatal
069,PIEDADE,2025,3.0,2.0,0.0,328,1.0,9.146341463414634,3.048780487804878
070,ABOLICAO,2025,2.0,1.0,0.0,109,1.0,18.34862385321101,9.174311926605505
071,PILARES,2025,2.0,1.0,0.0,191,1.0,10.471204188481677,5.235602094240838
072,VILA KOSMOS,2025,1.0,0.0,0.0,109,1.0,9.174311926605505,9.174311926605505
073,VICENTE DE CARVALHO,2025,1.0,1.0,0.0,189,0.0,5.291005291005291,0.0
074,VILA DA PENHA,2025,0.0,0.0,0.0,148,0.0,0.0,0.0
075,VISTA ALEGRE,2025,0.0,0.0,0.0,50,0.0,0.0,0.0
076,IRAJA,2025,9.0,3.0,1.0,683,5.0,13.177159590043924,7.320644216691069
077,COLEGIO,2025,6.0,4.0,0.0,292,2.0,20.54794520547945,6.8493150684931505
078,CAMPINHO,2025,2.0,1.0,1.0,95,0.0,21.052631578947366,0.0
079,QUINTINO BOCAIUVA,2025,1.0,0.0,0.0,202,1.0,4.9504950495049505,4.9504950495049505
080,CAVALCANTE,2025,2.0,1.0,1.0,145,0.0,13.793103448275861,0.0
081,ENGENHEIRO LEAL,2025,1.0,1.0,0.0,51,0.0,19.607843137254903,0.0
082,CASCADURA,2025,4.0,3.0,1.0,243,0.0,16.46090534979424,0.0
083,MADUREIRA,2025,5.0,1.0,2.0,378,2.0,13.227513227513226,5.291005291005291
084,VAZ LOBO,2025,3.0,0.0,1.0,139,2.0,21.58273381294964,14.388489208633095
085,TURIACU,2025,1.0,0.0,0.0,136,1.0,7.352941176470588,7.352941176470588
086,ROCHA MIRANDA,2025,5.0,3.0,0.0,324,2.0,15.432098765432098,6.172839506172839
087,HONORIO GURGEL,2025,6.0,3.0,1.0,183,2.0,32.786885245901644,10.92896174863388
088,OSWALDO CRUZ,2025,2.0,0.0,0.0,196,2.0,10.204081632653061,10.204081632653061
089,BENTO RIBEIRO,2025,5.0,4.0,1.0,300,0.0,16.666666666666668,0.0
090,MARECHAL HERMES,2025,7.0,4.0,2.0,334,1.0,20.958083832335326,2.9940119760479043
091,RIBEIRA,2025,1.0,1.0,0.0,23,0.0,43.47826086956522,0.0
092,ZUMBI,2025,0.0,0.0,0.0,20,0.0,0.0,0.0
093,CACUIA,2025,0.0,0.0,0.0,85,0.0,0.0,0.0
094,PITANGUEIRAS,2025,2.0,0.0,0.0,76,2.0,26.31578947368421,26.31578947368421
095,PRAIA DA BANDEIRA,2025,0.0,0.0,0.0,37,0.0,0.0,0.0
096,COCOTA,2025,0.0,0.0,0.0,53,0.0,0.0,0.0
097,BANCARIOS,2025,1.0,0.0,0.0,132,1.0,7.575757575757576,7.575757575757576
098,FREGUESIA-ILHA,2025,2.0,0.0,0.0,191,2.0,10.471204188481677,10.471204188481677
099,JARDIM GUANABARA,2025,0.0,0.0,0.0,170,0.0,0.0,0.0
