idade,Homens,Mulheres,Total
1 ano,28155.0,27841.0,55996.0
2 anos,31707.0,31303.0,63010.0
3 anos,33798.0,33003.0,66801.0
4 anos,35648.0,34856.0,70504.0
5 anos,34820.0,34141.0,68961.0
6 anos,37794.0,35963.0,73757.0
Menos de 1 ano,27633.0,26704.0,54337.0
Total,2882579.0,3328644.0,6211223.0
