bairro,ano,obitos_tardios,codigo,nascidos vivos,taxa_obitos_tardios
JARDIM SULACAP,2025,0,137,132,0.0
MAGALHAES BASTOS,2025,2,138,208,9.615384615384617
REALENGO,2025,5,139,1463,3.417634996582365
PADRE MIGUEL,2025,1,140,522,1.9157088122605364
BANGU,2025,3,141,1977,1.5174506828528074
SENADOR CAMARA,2025,3,142,995,3.015075376884422
SANTISSIMO,2025,2,143,471,4.246284501061571
CAMPO GRANDE,2025,12,144,3504,3.4246575342465753
SENADOR VASCONCELOS,2025,0,145,298,0.0
INHOAIBA,2025,1,146,752,1.3297872340425532
COSMOS,2025,3,147,954,3.1446540880503147
PACIENCIA,2025,3,148,1157,2.592912705272256
SANTA CRUZ,2025,12,149,3186,3.766478342749529
SEPETIBA,2025,2,150,753,2.6560424966799467
GUARATIBA,2025,3,151,1867,1.6068559185859668
BARRA DE GUARATIBA,2025,1,152,117,8.547008547008549
PEDRA DE GUARATIBA,2025,0,153,228,0.0
ROCINHA,2025,1,154,696,1.4367816091954022
JACAREZINHO,2025,1,155,293,3.4129692832764507
COMPLEXO DO ALEMAO,2025,1,156,361,2.770083102493075
COMPLEXO DA MARE,2025,5,157,1494,3.3467202141900936
PARQUE COLUMBIA,2025,1,158,83,12.048192771084338
VASCO DA GAMA,2025,0,159,131,0.0
LAPA,2025,0,161,39,0.0
VILA KENNEDY,2025,1,162,194,5.154639175257732
BARRA OLIMPICA,2025,1,165,503,1.9880715705765406
ILHA DO GOVERNADOR - IGNORADO,2025,0,998,12,0.0
IGNORADO BAIRRO-MRJ,2025,0,999,19,0.0
