bairro,ano,obitos precoces,codigo,nascidos vivos,taxa_mortalidade_precoce
DEL CASTILHO,2009,2,053,257,7.782101167315175
INHAUMA,2009,9,054,968,9.297520661157025
ENGENHO DA RAINHA,2009,2,055,309,6.472491909385114
TOMAS COELHO,2009,2,056,260,7.6923076923076925
SAO FRANCISCO XAVIER,2009,0,057,69,0.0
ROCHA,2009,0,058,92,0.0
RIACHUELO,2009,0,059,141,0.0
SAMPAIO,2009,0,060,118,0.0
ENGENHO NOVO,2009,3,061,608,4.934210526315789
LINS DE VASCONCELOS,2009,6,062,531,11.299435028248588
MEIER,2009,6,063,581,10.327022375215147
TODOS OS SANTOS,2009,1,064,141,7.092198581560283
CACHAMBI,2009,2,065,367,5.449591280653951
ENGENHO DE DENTRO,2009,3,066,535,5.607476635514018
AGUA SANTA,2009,0,067,82,0.0
ENCANTADO,2009,0,068,134,0.0
PIEDADE,2009,2,069,520,3.8461538461538463
ABOLICAO,2009,0,070,178,0.0
PILARES,2009,1,071,373,2.680965147453083
VILA KOSMOS,2009,0,072,98,0.0
VICENTE DE CARVALHO,2009,2,073,287,6.968641114982578
VILA DA PENHA,2009,2,074,486,4.11522633744856
VISTA ALEGRE,2009,0,075,190,0.0
IRAJA,2009,5,076,1135,4.405286343612335
COLEGIO,2009,2,077,424,4.716981132075471
CAMPINHO,2009,0,078,203,0.0
QUINTINO BOCAIUVA,2009,2,079,299,6.688963210702341
CAVALCANTE,2009,2,080,220,9.09090909090909
ENGENHEIRO LEAL,2009,0,081,48,0.0
CASCADURA,2009,3,082,471,6.369426751592357
MADUREIRA,2009,7,083,795,8.80503144654088
VAZ LOBO,2009,0,084,267,0.0
TURIACU,2009,3,085,168,17.857142857142858
ROCHA MIRANDA,2009,7,086,607,11.532125205930807
HONORIO GURGEL,2009,6,087,333,18.01801801801802
OSWALDO CRUZ,2009,4,088,368,10.869565217391305
BENTO RIBEIRO,2009,0,089,551,0.0
MARECHAL HERMES,2009,3,090,589,5.093378607809847
RIBEIRA,2009,0,091,29,0.0
CACUIA,2009,3,093,181,16.574585635359114
PITANGUEIRAS,2009,2,094,106,18.867924528301884
PRAIA DA BANDEIRA,2009,1,095,62,16.129032258064516
COCOTA,2009,0,096,112,0.0
BANCARIOS,2009,0,097,192,0.0
FREGUESIA-ILHA,2009,2,098,282,7.092198581560283
JARDIM GUANABARA,2009,3,099,253,11.857707509881422
JARDIM CARIOCA,2009,1,100,388,2.577319587628866
TAUA,2009,2,101,279,7.168458781362007
MONERO,2009,1,102,48,20.833333333333332
PORTUGUESA,2009,0,103,163,0.0
GALEAO,2009,3,104,340,8.823529411764707
CIDADE UNIVERSITARIA,2009,0,105,11,0.0
GUADALUPE,2009,5,106,725,6.896551724137931
ANCHIETA,2009,7,107,994,7.042253521126761
PARQUE ANCHIETA,2009,2,108,217,9.216589861751151
RICARDO ALBUQUERQUE,2009,3,109,346,8.670520231213873
COELHO NETO,2009,1,110,405,2.4691358024691357
ACARI,2009,3,111,597,5.025125628140704
BARROS FILHO,2009,2,112,201,9.950248756218905
COSTA BARROS,2009,7,113,661,10.59001512859304
PAVUNA,2009,7,114,1219,5.742411812961444
JACAREPAGUA,2009,15,115,1342,11.177347242921014
ANIL,2009,6,116,492,12.195121951219512
GARDENIA AZUL,2009,3,117,530,5.660377358490566
CIDADE DE DEUS,2009,3,118,808,3.7128712871287126
CURICICA,2009,5,119,982,5.091649694501019
FREGUESIA-JPA,2009,2,120,832,2.403846153846154
PECHINCHA,2009,1,121,489,2.044989775051125
TAQUARA,2009,9,122,1734,5.190311418685121
TANQUE,2009,1,123,510,1.9607843137254901
PRACA SECA,2009,12,124,865,13.872832369942197
VILA VALQUEIRE,2009,0,125,479,0.0
JOA,2009,0,126,13,0.0
ITANHANGA,2009,3,127,659,4.552352048558422
BARRA DA TIJUCA,2009,6,128,1679,3.5735556879094696
CAMORIM,2009,1,129,57,17.543859649122805
VARGEM PEQUENA,2009,0,130,345,0.0
VARGEM GRANDE,2009,1,131,292,3.4246575342465753
RECREIO BANDEIRANTES,2009,3,132,1134,2.6455026455026456
DEODORO,2009,1,134,180,5.555555555555555
VILA MILITAR,2009,0,135,33,0.0
CAMPO DOS AFONSOS,2009,0,136,8,0.0
JARDIM SULACAP,2009,0,137,208,0.0
MAGALHAES BASTOS,2009,2,138,388,5.154639175257732
REALENGO,2009,15,139,2265,6.622516556291391
PADRE MIGUEL,2009,6,140,980,6.122448979591836
BANGU,2009,33,141,3217,10.258004351880633
SENADOR CAMARA,2009,8,142,1273,6.284367635506678
SANTISSIMO,2009,7,143,789,8.871989860583017
CAMPO GRANDE,2009,33,144,5428,6.079587324981577
SENADOR VASCONCELOS,2009,0,145,244,0.0
INHOAIBA,2009,6,146,693,8.658008658008658
COSMOS,2009,8,147,752,10.638297872340425
PACIENCIA,2009,12,148,1324,9.06344410876133
SANTA CRUZ,2009,29,149,3837,7.557988011467292
SEPETIBA,2009,2,150,809,2.472187886279357
GUARATIBA,2009,8,151,1145,6.986899563318778
BARRA DE GUARATIBA,2009,0,152,94,0.0
PEDRA DE GUARATIBA,2009,1,153,579,1.7271157167530224
ROCINHA,2009,9,154,1221,7.371007371007371
JACAREZINHO,2009,4,155,278,14.388489208633095
COMPLEXO DO ALEMAO,2009,5,156,509,9.823182711198427
COMPLEXO DA MARE,2009,13,157,2050,6.341463414634147
PARQUE COLUMBIA,2009,0,158,0,
VASCO DA GAMA,2009,0,159,0,
GERICINo,2009,0,160,0,
LAPA,2009,0,161,0,
VILA KENNEDY,2009,0,162,0,
ILHA DE GUARATIBA,2009,0,164,0,
BARRA OLIMPICA,2009,0,165,0,
ILHA DO GOVERNADOR - IGNORADO,2009,2,998,84,23.809523809523807
IGNORADO BAIRRO-MRJ,2009,3,999,477,6.289308176100629
,2009,184,,10346,17.784651072878408
SAUDE,2010,1,001,86,11.627906976744185
GAMBOA,2010,1,002,158,6.329113924050633
SANTO CRISTO,2010,1,003,225,4.444444444444445
CAJU,2010,2,004,368,5.434782608695652
CENTRO,2010,3,005,461,6.507592190889371
CATUMBI,2010,1,006,246,4.065040650406504
RIO COMPRIDO,2010,3,007,645,4.651162790697675
CIDADE NOVA,2010,0,008,105,0.0
ESTACIO,2010,3,009,304,9.868421052631579
SAO CRISTOVAO,2010,7,010,731,9.575923392612859
MANGUEIRA,2010,4,011,302,13.245033112582782
BENFICA,2010,5,012,564,8.865248226950355
PAQUETA,2010,0,013,35,0.0
SANTA TERESA,2010,2,014,487,4.106776180698152
FLAMENGO,2010,1,015,404,2.4752475247524752
GLORIA,2010,0,016,152,0.0
LARANJEIRAS,2010,0,017,383,0.0
CATETE,2010,0,018,227,0.0
COSME VELHO,2010,3,019,127,23.62204724409449
BOTAFOGO,2010,1,020,867,1.1534025374855825
HUMAITA,2010,1,021,155,6.451612903225806
URCA,2010,0,022,78,0.0
LEME,2010,2,023,140,14.285714285714285
COPACABANA,2010,8,024,1230,6.504065040650406
IPANEMA,2010,1,025,347,2.881844380403458
LEBLON,2010,2,026,412,4.854368932038835
LAGOA,2010,0,027,185,0.0
JARDIM BOTANICO,2010,0,028,285,0.0
GAVEA,2010,2,029,282,7.092198581560283
VIDIGAL,2010,0,030,255,0.0
SAO CONRADO,2010,1,031,138,7.246376811594203
PRACA DA BANDEIRA,2010,2,032,137,14.598540145985401
TIJUCA,2010,5,033,1594,3.136762860727729
ALTO DA BOA VISTA,2010,0,034,132,0.0
MARACANA,2010,1,035,224,4.464285714285714
VILA ISABEL,2010,5,036,792,6.313131313131313
ANDARAI,2010,0,037,355,0.0
GRAJAU,2010,0,038,372,0.0
MANGUINHOS,2010,4,039,486,8.23045267489712
BONSUCESSO,2010,5,040,584,8.561643835616438
RAMOS,2010,4,041,903,4.4296788482834994
OLARIA,2010,2,042,608,3.289473684210526
PENHA,2010,5,043,1097,4.557885141294439
PENHA CIRCULAR,2010,4,044,346,11.560693641618496
BRAS DE PINA,2010,4,045,544,7.352941176470588
CORDOVIL,2010,6,046,582,10.309278350515465
PARADA DE LUCAS,2010,1,047,297,3.3670033670033668
VIGARIO GERAL,2010,4,048,384,10.416666666666666
JARDIM AMERICA,2010,4,049,474,8.438818565400844
HIGIENOPOLIS,2010,0,050,187,0.0
JACARE,2010,2,051,394,5.076142131979695
MARIA DA GRACA,2010,1,052,113,8.849557522123893
DEL CASTILHO,2010,2,053,240,8.333333333333334
INHAUMA,2010,2,054,926,2.1598272138228944
ENGENHO DA RAINHA,2010,0,055,280,0.0
TOMAS COELHO,2010,5,056,275,18.18181818181818
SAO FRANCISCO XAVIER,2010,0,057,52,0.0
ROCHA,2010,0,058,98,0.0
RIACHUELO,2010,0,059,125,0.0
SAMPAIO,2010,2,060,126,15.873015873015872
ENGENHO NOVO,2010,4,061,673,5.943536404160475
LINS DE VASCONCELOS,2010,3,062,506,5.928853754940711
MEIER,2010,5,063,585,8.547008547008549
TODOS OS SANTOS,2010,0,064,158,0.0
CACHAMBI,2010,3,065,380,7.894736842105264
ENGENHO DE DENTRO,2010,2,066,538,3.717472118959108
AGUA SANTA,2010,0,067,81,0.0
ENCANTADO,2010,1,068,149,6.7114093959731544
PIEDADE,2010,2,069,484,4.132231404958678
ABOLICAO,2010,1,070,147,6.802721088435374
PILARES,2010,3,071,343,8.746355685131196
VILA KOSMOS,2010,0,072,81,0.0
VICENTE DE CARVALHO,2010,3,073,326,9.202453987730062
VILA DA PENHA,2010,2,074,502,3.9840637450199203
VISTA ALEGRE,2010,0,075,199,0.0
IRAJA,2010,13,076,1094,11.882998171846435
COLEGIO,2010,4,077,410,9.75609756097561
CAMPINHO,2010,3,078,193,15.544041450777202
QUINTINO BOCAIUVA,2010,1,079,337,2.967359050445104
CAVALCANTE,2010,2,080,228,8.771929824561402
ENGENHEIRO LEAL,2010,1,081,49,20.408163265306122
CASCADURA,2010,6,082,426,14.084507042253522
MADUREIRA,2010,5,083,792,6.313131313131313
VAZ LOBO,2010,2,084,249,8.032128514056224
TURIACU,2010,2,085,158,12.658227848101266
ROCHA MIRANDA,2010,3,086,558,5.376344086021506
HONORIO GURGEL,2010,2,087,289,6.920415224913495
OSWALDO CRUZ,2010,2,088,346,5.780346820809248
BENTO RIBEIRO,2010,1,089,497,2.012072434607646
MARECHAL HERMES,2010,4,090,557,7.1813285457809695
RIBEIRA,2010,0,091,36,0.0
CACUIA,2010,0,093,141,0.0
PITANGUEIRAS,2010,1,094,118,8.474576271186441
PRAIA DA BANDEIRA,2010,0,095,51,0.0
COCOTA,2010,0,096,89,0.0
BANCARIOS,2010,0,097,222,0.0
FREGUESIA-ILHA,2010,1,098,249,4.016064257028112
JARDIM GUANABARA,2010,1,099,257,3.8910505836575875
JARDIM CARIOCA,2010,1,100,352,2.840909090909091
TAUA,2010,0,101,294,0.0
MONERO,2010,0,102,47,0.0
PORTUGUESA,2010,1,103,188,5.319148936170213
GALEAO,2010,4,104,336,11.904761904761903
CIDADE UNIVERSITARIA,2010,0,105,18,0.0
GUADALUPE,2010,5,106,629,7.949125596184419
ANCHIETA,2010,10,107,942,10.615711252653927
PARQUE ANCHIETA,2010,0,108,188,0.0
RICARDO ALBUQUERQUE,2010,0,109,358,0.0
COELHO NETO,2010,0,110,394,0.0
ACARI,2010,10,111,502,19.9203187250996
BARROS FILHO,2010,1,112,172,5.813953488372093
COSTA BARROS,2010,2,113,678,2.949852507374631
PAVUNA,2010,10,114,1141,8.76424189307625
JACAREPAGUA,2010,11,115,1838,5.984766050054406
ANIL,2010,1,116,478,2.092050209205021
GARDENIA AZUL,2010,7,117,530,13.20754716981132
CIDADE DE DEUS,2010,8,118,794,10.075566750629722
CURICICA,2010,6,119,872,6.8807339449541285
FREGUESIA-JPA,2010,7,120,763,9.174311926605505
PECHINCHA,2010,2,121,499,4.008016032064128
TAQUARA,2010,8,122,1649,4.851425106124925
TANQUE,2010,4,123,523,7.648183556405353
PRACA SECA,2010,6,124,815,7.361963190184049
VILA VALQUEIRE,2010,1,125,430,2.3255813953488373
JOA,2010,0,126,9,0.0
ITANHANGA,2010,5,127,485,10.309278350515465
BARRA DA TIJUCA,2010,4,128,1618,2.472187886279357
CAMORIM,2010,0,129,75,0.0
VARGEM PEQUENA,2010,2,130,282,7.092198581560283
VARGEM GRANDE,2010,1,131,277,3.6101083032490977
RECREIO BANDEIRANTES,2010,2,132,1133,1.76522506619594
DEODORO,2010,2,134,184,10.869565217391305
VILA MILITAR,2010,0,135,40,0.0
CAMPO DOS AFONSOS,2010,0,136,6,0.0
JARDIM SULACAP,2010,1,137,186,5.376344086021506
MAGALHAES BASTOS,2010,4,138,358,11.1731843575419
REALENGO,2010,14,139,2272,6.161971830985915
PADRE MIGUEL,2010,4,140,955,4.188481675392671
BANGU,2010,38,141,3280,11.585365853658537
SENADOR CAMARA,2010,11,142,1262,8.716323296354993
SANTISSIMO,2010,2,143,802,2.493765586034913
CAMPO GRANDE,2010,39,144,5107,7.636577246915998
SENADOR VASCONCELOS,2010,3,145,252,11.904761904761903
INHOAIBA,2010,3,146,719,4.172461752433936
COSMOS,2010,6,147,824,7.281553398058253
PACIENCIA,2010,9,148,1320,6.8181818181818175
SANTA CRUZ,2010,23,149,3643,6.313477902827341
SEPETIBA,2010,3,150,809,3.708281829419036
GUARATIBA,2010,8,151,1172,6.825938566552901
BARRA DE GUARATIBA,2010,0,152,63,0.0
PEDRA DE GUARATIBA,2010,7,153,594,11.784511784511785
ROCINHA,2010,7,154,1203,5.818786367414797
JACAREZINHO,2010,1,155,274,3.6496350364963503
COMPLEXO DO ALEMAO,2010,1,156,283,3.5335689045936394
COMPLEXO DA MARE,2010,7,157,1780,3.9325842696629216
PARQUE COLUMBIA,2010,0,158,0,
VASCO DA GAMA,2010,0,159,0,
GERICINo,2010,0,160,0,
LAPA,2010,0,161,0,
VILA KENNEDY,2010,0,162,0,
ILHA DE GUARATIBA,2010,0,164,0,
BARRA OLIMPICA,2010,0,165,0,
ILHA DO GOVERNADOR - IGNORADO,2010,1,998,102,9.803921568627452
IGNORADO BAIRRO-MRJ,2010,4,999,648,6.172839506172839
,2010,162,,8718,18.582243633860976
SAUDE,2011,0,001,66,0.0
GAMBOA,2011,0,002,146,0.0
SANTO CRISTO,2011,1,003,244,4.0983606557377055
CAJU,2011,1,004,439,2.277904328018223
CENTRO,2011,0,005,516,0.0
CATUMBI,2011,4,006,282,14.184397163120567
RIO COMPRIDO,2011,4,007,634,6.309148264984227
CIDADE NOVA,2011,0,008,94,0.0
ESTACIO,2011,2,009,311,6.430868167202572
SAO CRISTOVAO,2011,5,010,706,7.0821529745042495
MANGUEIRA,2011,2,011,353,5.6657223796034
BENFICA,2011,4,012,369,10.840108401084011
PAQUETA,2011,1,013,48,20.833333333333332
SANTA TERESA,2011,1,014,472,2.1186440677966103
FLAMENGO,2011,2,015,402,4.975124378109452
GLORIA,2011,0,016,146,0.0
LARANJEIRAS,2011,0,017,384,0.0
CATETE,2011,2,018,229,8.73362445414847
COSME VELHO,2011,1,019,92,10.869565217391305
BOTAFOGO,2011,2,020,838,2.3866348448687353
HUMAITA,2011,2,021,153,13.071895424836601
URCA,2011,0,022,60,0.0
LEME,2011,2,023,120,16.666666666666668
COPACABANA,2011,2,024,1205,1.6597510373443982
IPANEMA,2011,2,025,333,6.006006006006006
LEBLON,2011,0,026,382,0.0
LAGOA,2011,0,027,209,0.0
JARDIM BOTANICO,2011,1,028,225,4.444444444444445
GAVEA,2011,0,029,243,0.0
VIDIGAL,2011,1,030,224,4.464285714285714
SAO CONRADO,2011,0,031,107,0.0
PRACA DA BANDEIRA,2011,1,032,95,10.526315789473683
TIJUCA,2011,5,033,1650,3.0303030303030303
ALTO DA BOA VISTA,2011,0,034,122,0.0
MARACANA,2011,1,035,226,4.424778761061947
VILA ISABEL,2011,7,036,733,9.549795361527966
ANDARAI,2011,1,037,310,3.225806451612903
GRAJAU,2011,2,038,385,5.194805194805195
MANGUINHOS,2011,2,039,295,6.779661016949152
BONSUCESSO,2011,4,040,406,9.852216748768473
RAMOS,2011,3,041,880,3.4090909090909087
OLARIA,2011,1,042,622,1.607717041800643
PENHA,2011,7,043,1116,6.272401433691757
PENHA CIRCULAR,2011,4,044,369,10.840108401084011
BRAS DE PINA,2011,2,045,552,3.6231884057971016
CORDOVIL,2011,2,046,586,3.4129692832764507
PARADA DE LUCAS,2011,2,047,287,6.968641114982578
VIGARIO GERAL,2011,3,048,462,6.493506493506494
JARDIM AMERICA,2011,3,049,504,5.952380952380952
HIGIENOPOLIS,2011,1,050,182,5.4945054945054945
JACARE,2011,2,051,486,4.11522633744856
MARIA DA GRACA,2011,0,052,71,0.0
DEL CASTILHO,2011,2,053,266,7.518796992481203
INHAUMA,2011,5,054,1002,4.990019960079841
ENGENHO DA RAINHA,2011,1,055,297,3.3670033670033668
TOMAS COELHO,2011,2,056,273,7.326007326007326
SAO FRANCISCO XAVIER,2011,1,057,64,15.625
ROCHA,2011,1,058,79,12.658227848101266
RIACHUELO,2011,0,059,131,0.0
SAMPAIO,2011,0,060,149,0.0
ENGENHO NOVO,2011,6,061,663,9.04977375565611
LINS DE VASCONCELOS,2011,2,062,481,4.158004158004158
MEIER,2011,3,063,577,5.199306759098787
TODOS OS SANTOS,2011,2,064,140,14.285714285714285
CACHAMBI,2011,2,065,360,5.555555555555555
ENGENHO DE DENTRO,2011,5,066,531,9.416195856873822
AGUA SANTA,2011,0,067,83,0.0
ENCANTADO,2011,1,068,152,6.578947368421052
PIEDADE,2011,2,069,528,3.787878787878788
ABOLICAO,2011,1,070,144,6.944444444444444
PILARES,2011,3,071,325,9.230769230769232
VILA KOSMOS,2011,0,072,105,0.0
VICENTE DE CARVALHO,2011,2,073,312,6.41025641025641
VILA DA PENHA,2011,3,074,439,6.83371298405467
VISTA ALEGRE,2011,0,075,189,0.0
IRAJA,2011,11,076,1191,9.235936188077247
COLEGIO,2011,1,077,427,2.34192037470726
CAMPINHO,2011,1,078,195,5.128205128205129
QUINTINO BOCAIUVA,2011,1,079,342,2.923976608187134
CAVALCANTE,2011,1,080,203,4.926108374384237
ENGENHEIRO LEAL,2011,1,081,42,23.809523809523807
CASCADURA,2011,1,082,430,2.3255813953488373
MADUREIRA,2011,6,083,888,6.756756756756757
VAZ LOBO,2011,1,084,231,4.329004329004329
TURIACU,2011,0,085,194,0.0
ROCHA MIRANDA,2011,2,086,551,3.629764065335753
HONORIO GURGEL,2011,2,087,339,5.899705014749262
OSWALDO CRUZ,2011,1,088,313,3.1948881789137378
BENTO RIBEIRO,2011,3,089,534,5.617977528089887
MARECHAL HERMES,2011,6,090,576,10.416666666666666
RIBEIRA,2011,0,091,34,0.0
CACUIA,2011,0,093,159,0.0
PITANGUEIRAS,2011,0,094,124,0.0
PRAIA DA BANDEIRA,2011,0,095,66,0.0
COCOTA,2011,0,096,108,0.0
BANCARIOS,2011,1,097,233,4.291845493562231
FREGUESIA-ILHA,2011,1,098,349,2.865329512893983
JARDIM GUANABARA,2011,4,099,303,13.201320132013201
JARDIM CARIOCA,2011,1,100,361,2.770083102493075
TAUA,2011,3,101,266,11.278195488721805
MONERO,2011,0,102,44,0.0
PORTUGUESA,2011,0,103,187,0.0
GALEAO,2011,1,104,348,2.8735632183908044
CIDADE UNIVERSITARIA,2011,0,105,24,0.0
GUADALUPE,2011,0,106,673,0.0
ANCHIETA,2011,10,107,1024,9.765625
PARQUE ANCHIETA,2011,1,108,172,5.813953488372093
RICARDO ALBUQUERQUE,2011,3,109,351,8.547008547008549
COELHO NETO,2011,4,110,401,9.975062344139651
ACARI,2011,2,111,463,4.319654427645789
BARROS FILHO,2011,2,112,184,10.869565217391305
COSTA BARROS,2011,5,113,683,7.320644216691069
PAVUNA,2011,7,114,1117,6.266786034019696
JACAREPAGUA,2011,8,115,1903,4.20388859695218
ANIL,2011,0,116,491,0.0
GARDENIA AZUL,2011,6,117,618,9.70873786407767
CIDADE DE DEUS,2011,6,118,877,6.841505131128849
CURICICA,2011,2,119,837,2.389486260454002
FREGUESIA-JPA,2011,4,120,878,4.555808656036446
PECHINCHA,2011,4,121,495,8.080808080808081
TAQUARA,2011,5,122,1696,2.94811320754717
TANQUE,2011,2,123,569,3.51493848857645
PRACA SECA,2011,2,124,860,2.3255813953488373
VILA VALQUEIRE,2011,0,125,422,0.0
JOA,2011,1,126,6,166.66666666666666
ITANHANGA,2011,1,127,549,1.8214936247723132
BARRA DA TIJUCA,2011,4,128,1733,2.308136180034622
CAMORIM,2011,0,129,77,0.0
VARGEM PEQUENA,2011,5,130,382,13.089005235602095
VARGEM GRANDE,2011,2,131,304,6.578947368421052
RECREIO BANDEIRANTES,2011,7,132,1318,5.311077389984826
DEODORO,2011,3,134,159,18.867924528301884
VILA MILITAR,2011,0,135,31,0.0
CAMPO DOS AFONSOS,2011,0,136,5,0.0
JARDIM SULACAP,2011,4,137,195,20.512820512820515
MAGALHAES BASTOS,2011,3,138,387,7.751937984496124
REALENGO,2011,19,139,2328,8.16151202749141
PADRE MIGUEL,2011,6,140,1032,5.813953488372093
BANGU,2011,22,141,3512,6.264236902050114
SENADOR CAMARA,2011,15,142,1401,10.70663811563169
SANTISSIMO,2011,3,143,819,3.663003663003663
CAMPO GRANDE,2011,32,144,5195,6.159769008662175
SENADOR VASCONCELOS,2011,2,145,315,6.349206349206349
INHOAIBA,2011,5,146,792,6.313131313131313
COSMOS,2011,5,147,1041,4.803073967339097
PACIENCIA,2011,14,148,1460,9.589041095890412
SANTA CRUZ,2011,22,149,3622,6.073992269464385
SEPETIBA,2011,8,150,779,10.269576379974325
GUARATIBA,2011,10,151,1386,7.215007215007215
BARRA DE GUARATIBA,2011,1,152,72,13.888888888888888
PEDRA DE GUARATIBA,2011,4,153,570,7.017543859649123
ROCINHA,2011,10,154,1224,8.169934640522877
JACAREZINHO,2011,2,155,240,8.333333333333334
COMPLEXO DO ALEMAO,2011,1,156,381,2.6246719160104988
COMPLEXO DA MARE,2011,11,157,2513,4.3772383605252685
PARQUE COLUMBIA,2011,0,158,4,0.0
VASCO DA GAMA,2011,0,159,0,
GERICINo,2011,0,160,0,
LAPA,2011,0,161,0,
VILA KENNEDY,2011,0,162,0,
ILHA DE GUARATIBA,2011,0,164,0,
BARRA OLIMPICA,2011,0,165,0,
ILHA DO GOVERNADOR - IGNORADO,2011,3,998,26,115.38461538461539
IGNORADO BAIRRO-MRJ,2011,1,999,387,2.5839793281653747
,2011,148,,0,inf
SAUDE,2012,1,001,56,17.857142857142858
GAMBOA,2012,1,002,167,5.9880239520958085
SANTO CRISTO,2012,4,003,226,17.699115044247787
CAJU,2012,0,004,410,0.0
CENTRO,2012,0,005,440,0.0
CATUMBI,2012,0,006,259,0.0
RIO COMPRIDO,2012,3,007,568,5.28169014084507
CIDADE NOVA,2012,1,008,81,12.345679012345679
ESTACIO,2012,1,009,247,4.048582995951417
SAO CRISTOVAO,2012,5,010,706,7.0821529745042495
MANGUEIRA,2012,4,011,338,11.834319526627219
BENFICA,2012,3,012,425,7.058823529411765
PAQUETA,2012,2,013,32,62.5
SANTA TERESA,2012,1,014,490,2.0408163265306123
FLAMENGO,2012,1,015,415,2.4096385542168677
GLORIA,2012,0,016,140,0.0
LARANJEIRAS,2012,3,017,357,8.403361344537815
CATETE,2012,1,018,212,4.716981132075471
COSME VELHO,2012,0,019,106,0.0
BOTAFOGO,2012,0,020,796,0.0
HUMAITA,2012,0,021,130,0.0
URCA,2012,0,022,41,0.0
LEME,2012,1,023,115,8.695652173913043
COPACABANA,2012,1,024,1188,0.8417508417508417
IPANEMA,2012,0,025,320,0.0
LEBLON,2012,0,026,387,0.0
LAGOA,2012,1,027,185,5.405405405405405
JARDIM BOTANICO,2012,0,028,217,0.0
GAVEA,2012,0,029,228,0.0
VIDIGAL,2012,3,030,234,12.82051282051282
SAO CONRADO,2012,0,031,114,0.0
PRACA DA BANDEIRA,2012,1,032,84,11.904761904761903
TIJUCA,2012,3,033,1678,1.7878426698450536
ALTO DA BOA VISTA,2012,0,034,108,0.0
MARACANA,2012,0,035,189,0.0
VILA ISABEL,2012,6,036,734,8.174386920980925
ANDARAI,2012,1,037,341,2.932551319648094
GRAJAU,2012,2,038,369,5.420054200542006
MANGUINHOS,2012,5,039,325,15.384615384615385
BONSUCESSO,2012,4,040,489,8.1799591002045
RAMOS,2012,3,041,776,3.865979381443299
OLARIA,2012,0,042,616,0.0
PENHA,2012,8,043,1072,7.462686567164179
PENHA CIRCULAR,2012,1,044,397,2.5188916876574305
BRAS DE PINA,2012,4,045,551,7.259528130671506
CORDOVIL,2012,3,046,560,5.357142857142857
PARADA DE LUCAS,2012,1,047,282,3.5460992907801416
VIGARIO GERAL,2012,3,048,374,8.02139037433155
JARDIM AMERICA,2012,2,049,449,4.4543429844097995
HIGIENOPOLIS,2012,3,050,187,16.0427807486631
JACARE,2012,1,051,381,2.6246719160104988
MARIA DA GRACA,2012,0,052,88,0.0
DEL CASTILHO,2012,1,053,308,3.246753246753247
INHAUMA,2012,3,054,926,3.239740820734341
ENGENHO DA RAINHA,2012,0,055,321,0.0
TOMAS COELHO,2012,1,056,268,3.7313432835820897
SAO FRANCISCO XAVIER,2012,0,057,59,0.0
ROCHA,2012,1,058,73,13.698630136986301
RIACHUELO,2012,1,059,142,7.042253521126761
SAMPAIO,2012,2,060,152,13.157894736842104
ENGENHO NOVO,2012,3,061,677,4.431314623338257
LINS DE VASCONCELOS,2012,4,062,488,8.196721311475411
MEIER,2012,2,063,509,3.929273084479371
TODOS OS SANTOS,2012,2,064,171,11.695906432748536
CACHAMBI,2012,4,065,378,10.582010582010582
ENGENHO DE DENTRO,2012,1,066,548,1.8248175182481752
AGUA SANTA,2012,1,067,81,12.345679012345679
ENCANTADO,2012,1,068,142,7.042253521126761
PIEDADE,2012,6,069,515,11.650485436893204
ABOLICAO,2012,0,070,125,0.0
PILARES,2012,4,071,354,11.299435028248588
VILA KOSMOS,2012,0,072,107,0.0
VICENTE DE CARVALHO,2012,4,073,331,12.084592145015106
VILA DA PENHA,2012,0,074,463,0.0
VISTA ALEGRE,2012,2,075,144,13.888888888888888
IRAJA,2012,10,076,1172,8.532423208191126
COLEGIO,2012,2,077,441,4.535147392290249
CAMPINHO,2012,0,078,210,0.0
QUINTINO BOCAIUVA,2012,0,079,334,0.0
CAVALCANTE,2012,0,080,217,0.0
ENGENHEIRO LEAL,2012,0,081,80,0.0
CASCADURA,2012,1,082,435,2.2988505747126435
MADUREIRA,2012,5,083,890,5.617977528089887
VAZ LOBO,2012,0,084,219,0.0
TURIACU,2012,5,085,175,28.57142857142857
ROCHA MIRANDA,2012,4,086,545,7.339449541284404
HONORIO GURGEL,2012,1,087,306,3.2679738562091503
OSWALDO CRUZ,2012,0,088,331,0.0
BENTO RIBEIRO,2012,7,089,541,12.939001848428836
MARECHAL HERMES,2012,4,090,505,7.920792079207921
RIBEIRA,2012,0,091,31,0.0
CACUIA,2012,1,093,134,7.462686567164179
PITANGUEIRAS,2012,0,094,123,0.0
PRAIA DA BANDEIRA,2012,0,095,50,0.0
COCOTA,2012,2,096,117,17.094017094017097
BANCARIOS,2012,2,097,226,8.849557522123893
FREGUESIA-ILHA,2012,2,098,273,7.326007326007326
JARDIM GUANABARA,2012,0,099,258,0.0
JARDIM CARIOCA,2012,3,100,364,8.241758241758243
TAUA,2012,3,101,290,10.344827586206897
MONERO,2012,0,102,43,0.0
PORTUGUESA,2012,1,103,244,4.0983606557377055
GALEAO,2012,1,104,373,2.680965147453083
CIDADE UNIVERSITARIA,2012,0,105,26,0.0
GUADALUPE,2012,5,106,712,7.022471910112359
ANCHIETA,2012,14,107,970,14.43298969072165
PARQUE ANCHIETA,2012,0,108,220,0.0
RICARDO ALBUQUERQUE,2012,3,109,337,8.902077151335313
