bairro,ano,obitos_tardios,codigo,nascidos vivos,taxa_obitos_tardios
BANCARIOS,2007,0,097,197,0.0
FREGUESIA-ILHA,2007,1,098,198,5.050505050505051
JARDIM GUANABARA,2007,0,099,227,0.0
JARDIM CARIOCA,2007,0,100,383,0.0
TAUA,2007,0,101,278,0.0
MONERO,2007,0,102,39,0.0
PORTUGUESA,2007,0,103,204,0.0
GALEAO,2007,0,104,341,0.0
CIDADE UNIVERSITARIA,2007,0,105,15,0.0
GUADALUPE,2007,3,106,700,4.285714285714286
ANCHIETA,2007,1,107,1041,0.9606147934678194
PARQUE ANCHIETA,2007,1,108,173,5.780346820809248
RICARDO ALBUQUERQUE,2007,2,109,349,5.730659025787966
COELHO NETO,2007,0,110,357,0.0
ACARI,2007,0,111,387,0.0
BARROS FILHO,2007,0,112,200,0.0
COSTA BARROS,2007,5,113,690,7.246376811594203
PAVUNA,2007,1,114,1090,0.9174311926605505
JACAREPAGUA,2007,5,115,1808,2.765486725663717
ANIL,2007,1,116,513,1.949317738791423
GARDENIA AZUL,2007,1,117,413,2.4213075060532687
CIDADE DE DEUS,2007,3,118,711,4.219409282700422
CURICICA,2007,0,119,855,0.0
FREGUESIA-JPA,2007,0,120,626,0.0
PECHINCHA,2007,0,121,410,0.0
TAQUARA,2007,2,122,1511,1.3236267372600927
TANQUE,2007,2,123,392,5.1020408163265305
PRACA SECA,2007,0,124,755,0.0
VILA VALQUEIRE,2007,0,125,451,0.0
ITANHANGA,2007,1,127,418,2.3923444976076556
BARRA DA TIJUCA,2007,1,128,1352,0.7396449704142012
CAMORIM,2007,0,129,68,0.0
VARGEM PEQUENA,2007,0,130,276,0.0
VARGEM GRANDE,2007,0,131,264,0.0
RECREIO BANDEIRANTES,2007,1,132,992,1.0080645161290323
DEODORO,2007,2,134,192,10.416666666666666
VILA MILITAR,2007,0,135,28,0.0
CAMPO DOS AFONSOS,2007,0,136,9,0.0
JARDIM SULACAP,2007,0,137,216,0.0
MAGALHAES BASTOS,2007,3,138,390,7.6923076923076925
REALENGO,2007,8,139,2281,3.507233669443227
PADRE MIGUEL,2007,2,140,939,2.1299254526091587
BANGU,2007,7,141,3256,2.14987714987715
SENADOR CAMARA,2007,2,142,1248,1.6025641025641024
SANTISSIMO,2007,1,143,822,1.2165450121654502
CAMPO GRANDE,2007,13,144,5378,2.4172554853105246
SENADOR VASCONCELOS,2007,0,145,228,0.0
INHOAIBA,2007,2,146,701,2.8530670470756063
COSMOS,2007,2,147,753,2.6560424966799467
PACIENCIA,2007,6,148,1216,4.934210526315789
SANTA CRUZ,2007,8,149,3518,2.2740193291642976
SEPETIBA,2007,2,150,876,2.28310502283105
GUARATIBA,2007,4,151,1108,3.6101083032490977
BARRA DE GUARATIBA,2007,0,152,72,0.0
PEDRA DE GUARATIBA,2007,3,153,609,4.926108374384237
ROCINHA,2007,2,154,1123,1.7809439002671414
JACAREZINHO,2007,0,155,321,0.0
COMPLEXO DO ALEMAO,2007,0,156,71,0.0
COMPLEXO DA MARE,2007,1,157,1530,0.6535947712418301
PARQUE COLUMBIA,2007,0,158,0,
VASCO DA GAMA,2007,0,159,0,
LAPA,2007,0,161,0,
VILA KENNEDY,2007,0,162,0,
BARRA OLIMPICA,2007,0,165,0,
ILHA DO GOVERNADOR - IGNORADO,2007,0,998,159,0.0
IGNORADO BAIRRO-MRJ,2007,0,999,607,0.0
,2007,53,,9863,5.3736185744702425
SAUDE,2008,0,001,111,0.0
GAMBOA,2008,0,002,120,0.0
SANTO CRISTO,2008,0,003,207,0.0
CAJU,2008,1,004,399,2.506265664160401
CENTRO,2008,2,005,475,4.2105263157894735
CATUMBI,2008,0,006,238,0.0
RIO COMPRIDO,2008,0,007,566,0.0
CIDADE NOVA,2008,1,008,71,14.084507042253522
ESTACIO,2008,2,009,278,7.194244604316547
SAO CRISTOVAO,2008,5,010,722,6.925207756232687
MANGUEIRA,2008,2,011,343,5.830903790087463
BENFICA,2008,1,012,609,1.6420361247947455
PAQUETA,2008,0,013,37,0.0
SANTA TERESA,2008,0,014,456,0.0
FLAMENGO,2008,1,015,387,2.5839793281653747
GLORIA,2008,0,016,143,0.0
LARANJEIRAS,2008,1,017,414,2.4154589371980677
CATETE,2008,1,018,186,5.376344086021506
COSME VELHO,2008,0,019,87,0.0
BOTAFOGO,2008,3,020,763,3.931847968545216
HUMAITA,2008,0,021,116,0.0
URCA,2008,0,022,49,0.0
LEME,2008,0,023,119,0.0
COPACABANA,2008,4,024,1193,3.352891869237217
IPANEMA,2008,0,025,319,0.0
LEBLON,2008,1,026,377,2.6525198938992043
LAGOA,2008,1,027,188,5.319148936170213
JARDIM BOTANICO,2008,0,028,205,0.0
GAVEA,2008,2,029,257,7.782101167315175
VIDIGAL,2008,1,030,224,4.464285714285714
SAO CONRADO,2008,1,031,96,10.416666666666666
PRACA DA BANDEIRA,2008,0,032,90,0.0
TIJUCA,2008,8,033,1664,4.807692307692308
ALTO DA BOA VISTA,2008,0,034,117,0.0
MARACANA,2008,0,035,206,0.0
VILA ISABEL,2008,2,036,776,2.577319587628866
ANDARAI,2008,1,037,344,2.9069767441860463
GRAJAU,2008,0,038,376,0.0
MANGUINHOS,2008,1,039,486,2.05761316872428
BONSUCESSO,2008,1,040,975,1.0256410256410255
RAMOS,2008,1,041,912,1.0964912280701753
OLARIA,2008,1,042,630,1.5873015873015872
PENHA,2008,2,043,1127,1.7746228926353151
PENHA CIRCULAR,2008,1,044,370,2.7027027027027026
BRAS DE PINA,2008,0,045,582,0.0
CORDOVIL,2008,1,046,625,1.6
PARADA DE LUCAS,2008,1,047,288,3.472222222222222
VIGARIO GERAL,2008,3,048,434,6.912442396313365
JARDIM AMERICA,2008,1,049,517,1.9342359767891684
HIGIENOPOLIS,2008,0,050,160,0.0
JACARE,2008,1,051,345,2.898550724637681
MARIA DA GRACA,2008,1,052,89,11.235955056179774
DEL CASTILHO,2008,0,053,238,0.0
INHAUMA,2008,2,054,938,2.1321961620469083
ENGENHO DA RAINHA,2008,2,055,319,6.269592476489028
TOMAS COELHO,2008,0,056,273,0.0
SAO FRANCISCO XAVIER,2008,1,057,47,21.27659574468085
ROCHA,2008,0,058,81,0.0
RIACHUELO,2008,0,059,126,0.0
SAMPAIO,2008,0,060,136,0.0
ENGENHO NOVO,2008,0,061,597,0.0
LINS DE VASCONCELOS,2008,1,062,559,1.7889087656529516
MEIER,2008,0,063,550,0.0
TODOS OS SANTOS,2008,0,064,147,0.0
CACHAMBI,2008,2,065,370,5.405405405405405
ENGENHO DE DENTRO,2008,1,066,550,1.8181818181818181
AGUA SANTA,2008,0,067,115,0.0
ENCANTADO,2008,0,068,137,0.0
PIEDADE,2008,1,069,546,1.8315018315018314
ABOLICAO,2008,0,070,166,0.0
PILARES,2008,0,071,296,0.0
VILA KOSMOS,2008,0,072,93,0.0
VICENTE DE CARVALHO,2008,1,073,325,3.076923076923077
VILA DA PENHA,2008,1,074,460,2.1739130434782608
VISTA ALEGRE,2008,0,075,192,0.0
IRAJA,2008,3,076,1129,2.657218777679362
COLEGIO,2008,2,077,397,5.037783375314861
CAMPINHO,2008,2,078,223,8.968609865470851
QUINTINO BOCAIUVA,2008,0,079,309,0.0
CAVALCANTE,2008,2,080,215,9.30232558139535
ENGENHEIRO LEAL,2008,0,081,41,0.0
CASCADURA,2008,1,082,400,2.5
MADUREIRA,2008,0,083,821,0.0
VAZ LOBO,2008,0,084,269,0.0
TURIACU,2008,0,085,147,0.0
ROCHA MIRANDA,2008,0,086,607,0.0
HONORIO GURGEL,2008,1,087,339,2.949852507374631
OSWALDO CRUZ,2008,1,088,341,2.932551319648094
BENTO RIBEIRO,2008,1,089,539,1.8552875695732838
MARECHAL HERMES,2008,2,090,568,3.5211267605633805
CACUIA,2008,0,093,146,0.0
PITANGUEIRAS,2008,0,094,108,0.0
PRAIA DA BANDEIRA,2008,1,095,50,20.0
COCOTA,2008,0,096,104,0.0
BANCARIOS,2008,1,097,239,4.184100418410042
FREGUESIA-ILHA,2008,0,098,219,0.0
JARDIM GUANABARA,2008,1,099,250,4.0
JARDIM CARIOCA,2008,2,100,340,5.88235294117647
TAUA,2008,2,101,272,7.352941176470588
MONERO,2008,1,102,56,17.857142857142858
PORTUGUESA,2008,2,103,202,9.900990099009901
GALEAO,2008,0,104,363,0.0
CIDADE UNIVERSITARIA,2008,1,105,23,43.47826086956522
GUADALUPE,2008,2,106,672,2.976190476190476
ANCHIETA,2008,2,107,1014,1.9723865877712032
PARQUE ANCHIETA,2008,0,108,214,0.0
RICARDO ALBUQUERQUE,2008,0,109,268,0.0
COELHO NETO,2008,1,110,379,2.638522427440633
ACARI,2008,1,111,409,2.444987775061125
BARROS FILHO,2008,0,112,211,0.0
COSTA BARROS,2008,1,113,705,1.4184397163120568
PAVUNA,2008,3,114,1092,2.7472527472527473
JACAREPAGUA,2008,0,115,1766,0.0
ANIL,2008,0,116,398,0.0
GARDENIA AZUL,2008,3,117,457,6.564551422319474
CIDADE DE DEUS,2008,5,118,734,6.8119891008174385
CURICICA,2008,2,119,890,2.247191011235955
FREGUESIA-JPA,2008,1,120,682,1.466275659824047
PECHINCHA,2008,0,121,447,0.0
TAQUARA,2008,2,122,1685,1.1869436201780414
TANQUE,2008,2,123,467,4.282655246252677
PRACA SECA,2008,1,124,807,1.2391573729863692
VILA VALQUEIRE,2008,1,125,422,2.3696682464454977
ITANHANGA,2008,1,127,390,2.5641025641025643
BARRA DA TIJUCA,2008,0,128,1563,0.0
CAMORIM,2008,0,129,58,0.0
VARGEM PEQUENA,2008,0,130,287,0.0
VARGEM GRANDE,2008,0,131,232,0.0
RECREIO BANDEIRANTES,2008,0,132,1093,0.0
DEODORO,2008,1,134,191,5.235602094240838
VILA MILITAR,2008,0,135,38,0.0
CAMPO DOS AFONSOS,2008,0,136,11,0.0
JARDIM SULACAP,2008,1,137,189,5.291005291005291
MAGALHAES BASTOS,2008,1,138,373,2.680965147453083
REALENGO,2008,7,139,2216,3.15884476534296
PADRE MIGUEL,2008,1,140,895,1.1173184357541899
BANGU,2008,4,141,3124,1.2804097311139564
SENADOR CAMARA,2008,5,142,1300,3.8461538461538463
SANTISSIMO,2008,1,143,808,1.2376237623762376
CAMPO GRANDE,2008,20,144,5553,3.601656762110571
SENADOR VASCONCELOS,2008,0,145,218,0.0
INHOAIBA,2008,3,146,667,4.497751124437781
COSMOS,2008,1,147,754,1.3262599469496021
PACIENCIA,2008,9,148,1329,6.772009029345372
SANTA CRUZ,2008,17,149,3525,4.822695035460993
SEPETIBA,2008,1,150,826,1.2106537530266344
GUARATIBA,2008,2,151,1203,1.6625103906899419
BARRA DE GUARATIBA,2008,0,152,86,0.0
PEDRA DE GUARATIBA,2008,0,153,576,0.0
ROCINHA,2008,6,154,1152,5.208333333333333
JACAREZINHO,2008,1,155,286,3.4965034965034967
COMPLEXO DO ALEMAO,2008,2,156,252,7.936507936507936
COMPLEXO DA MARE,2008,4,157,1620,2.4691358024691357
PARQUE COLUMBIA,2008,0,158,0,
VASCO DA GAMA,2008,0,159,0,
LAPA,2008,0,161,0,
VILA KENNEDY,2008,0,162,0,
BARRA OLIMPICA,2008,0,165,0,
ILHA DO GOVERNADOR - IGNORADO,2008,1,998,160,6.25
IGNORADO BAIRRO-MRJ,2008,2,999,544,3.676470588235294
,2008,80,,10023,7.981642222887358
SAUDE,2009,0,001,118,0.0
GAMBOA,2009,0,002,128,0.0
SANTO CRISTO,2009,0,003,214,0.0
CAJU,2009,3,004,444,6.756756756756757
CENTRO,2009,2,005,474,4.219409282700422
CATUMBI,2009,1,006,251,3.9840637450199203
RIO COMPRIDO,2009,1,007,623,1.6051364365971108
CIDADE NOVA,2009,0,008,92,0.0
ESTACIO,2009,1,009,302,3.3112582781456954
SAO CRISTOVAO,2009,1,010,711,1.4064697609001406
MANGUEIRA,2009,1,011,341,2.932551319648094
BENFICA,2009,2,012,630,3.1746031746031744
PAQUETA,2009,0,013,31,0.0
SANTA TERESA,2009,0,014,460,0.0
FLAMENGO,2009,1,015,381,2.6246719160104988
GLORIA,2009,0,016,153,0.0
LARANJEIRAS,2009,1,017,390,2.5641025641025643
CATETE,2009,0,018,193,0.0
COSME VELHO,2009,1,019,97,10.309278350515465
BOTAFOGO,2009,0,020,797,0.0
HUMAITA,2009,0,021,120,0.0
URCA,2009,0,022,44,0.0
LEME,2009,0,023,111,0.0
COPACABANA,2009,2,024,1164,1.7182130584192439
IPANEMA,2009,0,025,354,0.0
LEBLON,2009,0,026,355,0.0
LAGOA,2009,0,027,196,0.0
JARDIM BOTANICO,2009,0,028,181,0.0
GAVEA,2009,0,029,277,0.0
VIDIGAL,2009,2,030,225,8.88888888888889
SAO CONRADO,2009,0,031,111,0.0
PRACA DA BANDEIRA,2009,0,032,98,0.0
TIJUCA,2009,4,033,1593,2.5109855618330195
ALTO DA BOA VISTA,2009,0,034,112,0.0
MARACANA,2009,0,035,221,0.0
VILA ISABEL,2009,2,036,783,2.554278416347382
ANDARAI,2009,1,037,344,2.9069767441860463
GRAJAU,2009,1,038,399,2.506265664160401
MANGUINHOS,2009,0,039,563,0.0
BONSUCESSO,2009,2,040,444,4.504504504504505
RAMOS,2009,1,041,758,1.3192612137203166
OLARIA,2009,3,042,670,4.477611940298508
PENHA,2009,7,043,1209,5.789909015715467
PENHA CIRCULAR,2009,1,044,330,3.0303030303030303
BRAS DE PINA,2009,0,045,556,0.0
CORDOVIL,2009,3,046,594,5.050505050505051
PARADA DE LUCAS,2009,0,047,312,0.0
VIGARIO GERAL,2009,1,048,426,2.347417840375587
JARDIM AMERICA,2009,2,049,515,3.883495145631068
HIGIENOPOLIS,2009,1,050,151,6.622516556291391
JACARE,2009,1,051,341,2.932551319648094
MARIA DA GRACA,2009,0,052,84,0.0
DEL CASTILHO,2009,0,053,257,0.0
INHAUMA,2009,2,054,968,2.066115702479339
ENGENHO DA RAINHA,2009,2,055,309,6.472491909385114
TOMAS COELHO,2009,2,056,260,7.6923076923076925
SAO FRANCISCO XAVIER,2009,0,057,69,0.0
ROCHA,2009,0,058,92,0.0
RIACHUELO,2009,0,059,141,0.0
SAMPAIO,2009,0,060,118,0.0
ENGENHO NOVO,2009,1,061,608,1.644736842105263
LINS DE VASCONCELOS,2009,0,062,531,0.0
MEIER,2009,2,063,581,3.442340791738382
TODOS OS SANTOS,2009,0,064,141,0.0
CACHAMBI,2009,1,065,367,2.7247956403269753
ENGENHO DE DENTRO,2009,1,066,535,1.8691588785046729
AGUA SANTA,2009,0,067,82,0.0
ENCANTADO,2009,0,068,134,0.0
PIEDADE,2009,3,069,520,5.769230769230769
ABOLICAO,2009,0,070,178,0.0
PILARES,2009,0,071,373,0.0
VILA KOSMOS,2009,0,072,98,0.0
VICENTE DE CARVALHO,2009,1,073,287,3.484320557491289
VILA DA PENHA,2009,1,074,486,2.05761316872428
VISTA ALEGRE,2009,0,075,190,0.0
IRAJA,2009,1,076,1135,0.881057268722467
COLEGIO,2009,1,077,424,2.3584905660377355
CAMPINHO,2009,0,078,203,0.0
QUINTINO BOCAIUVA,2009,0,079,299,0.0
CAVALCANTE,2009,1,080,220,4.545454545454545
ENGENHEIRO LEAL,2009,1,081,48,20.833333333333332
CASCADURA,2009,0,082,471,0.0
MADUREIRA,2009,3,083,795,3.7735849056603774
VAZ LOBO,2009,0,084,267,0.0
TURIACU,2009,0,085,168,0.0
ROCHA MIRANDA,2009,2,086,607,3.2948929159802307
