bairro,ano,óbitos-puerpério,codigo
COMPLEXO DA MARE,2012,0,157
VASCO DA GAMA,2012,0,159
LAPA,2012,0,161
VILA KENNEDY,2012,0,162
IGNORADO BAIRRO-MRJ,2012,1,999
,2012,7,
GAMBOA,2013,0,002
SANTO CRISTO,2013,0,003
CAJU,2013,1,004
CENTRO,2013,0,005
CATUMBI,2013,0,006
RIO COMPRIDO,2013,0,007
CIDADE NOVA,2013,0,008
ESTACIO,2013,0,009
SAO CRISTOVAO,2013,0,010
MANGUEIRA,2013,1,011
BENFICA,2013,1,012
SANTA TERESA,2013,2,014
FLAMENGO,2013,0,015
LARANJEIRAS,2013,0,017
CATETE,2013,0,018
COSME VELHO,2013,0,019
BOTAFOGO,2013,0,020
URCA,2013,0,022
LEME,2013,0,023
COPACABANA,2013,0,024
JARDIM BOTANICO,2013,0,028
GAVEA,2013,0,029
VIDIGAL,2013,0,030
PRACA DA BANDEIRA,2013,0,032
TIJUCA,2013,2,033
ALTO DA BOA VISTA,2013,1,034
MARACANA,2013,0,035
VILA ISABEL,2013,1,036
GRAJAU,2013,1,038
MANGUINHOS,2013,0,039
BONSUCESSO,2013,0,040
RAMOS,2013,0,041
OLARIA,2013,0,042
PENHA,2013,1,043
PENHA CIRCULAR,2013,1,044
BRAS DE PINA,2013,0,045
CORDOVIL,2013,0,046
PARADA DE LUCAS,2013,0,047
VIGARIO GERAL,2013,0,048
JARDIM AMERICA,2013,0,049
HIGIENOPOLIS,2013,0,050
JACARE,2013,0,051
MARIA DA GRACA,2013,0,052
DEL CASTILHO,2013,0,053
INHAUMA,2013,0,054
ENGENHO DA RAINHA,2013,0,055
TOMAS COELHO,2013,0,056
SAO FRANCISCO XAVIER,2013,0,057
ROCHA,2013,0,058
RIACHUELO,2013,0,059
SAMPAIO,2013,0,060
ENGENHO NOVO,2013,0,061
LINS DE VASCONCELOS,2013,2,062
MEIER,2013,0,063
ENGENHO DE DENTRO,2013,0,066
ENCANTADO,2013,0,068
PIEDADE,2013,0,069
PILARES,2013,1,071
VILA KOSMOS,2013,0,072
VICENTE DE CARVALHO,2013,0,073
VILA DA PENHA,2013,0,074
VISTA ALEGRE,2013,1,075
IRAJA,2013,0,076
COLEGIO,2013,0,077
CAMPINHO,2013,0,078
QUINTINO BOCAIUVA,2013,1,079
CAVALCANTE,2013,0,080
ENGENHEIRO LEAL,2013,0,081
CASCADURA,2013,0,082
MADUREIRA,2013,0,083
VAZ LOBO,2013,0,084
TURIACU,2013,0,085
ROCHA MIRANDA,2013,0,086
HONORIO GURGEL,2013,1,087
OSWALDO CRUZ,2013,1,088
BENTO RIBEIRO,2013,0,089
MARECHAL HERMES,2013,0,090
ZUMBI,2013,0,092
CACUIA,2013,0,093
BANCARIOS,2013,0,097
FREGUESIA-ILHA,2013,0,098
JARDIM GUANABARA,2013,0,099
JARDIM CARIOCA,2013,0,100
TAUA,2013,0,101
GUADALUPE,2013,0,106
ANCHIETA,2013,0,107
PARQUE ANCHIETA,2013,0,108
RICARDO ALBUQUERQUE,2013,0,109
COELHO NETO,2013,0,110
ACARI,2013,0,111
BARROS FILHO,2013,0,112
COSTA BARROS,2013,0,113
PAVUNA,2013,2,114
JACAREPAGUA,2013,3,115
ANIL,2013,0,116
GARDENIA AZUL,2013,0,117
CIDADE DE DEUS,2013,0,118
CURICICA,2013,2,119
FREGUESIA-JPA,2013,0,120
PECHINCHA,2013,0,121
TAQUARA,2013,1,122
TANQUE,2013,0,123
PRACA SECA,2013,0,124
VILA VALQUEIRE,2013,0,125
ITANHANGA,2013,0,127
BARRA DA TIJUCA,2013,1,128
VARGEM PEQUENA,2013,0,130
VARGEM GRANDE,2013,0,131
RECREIO BANDEIRANTES,2013,2,132
DEODORO,2013,0,134
VILA MILITAR,2013,0,135
MAGALHAES BASTOS,2013,0,138
REALENGO,2013,1,139
PADRE MIGUEL,2013,0,140
BANGU,2013,2,141
SENADOR CAMARA,2013,0,142
SANTISSIMO,2013,2,143
CAMPO GRANDE,2013,1,144
SENADOR VASCONCELOS,2013,1,145
INHOAIBA,2013,1,146
COSMOS,2013,0,147
PACIENCIA,2013,1,148
SANTA CRUZ,2013,2,149
SEPETIBA,2013,0,150
GUARATIBA,2013,1,151
BARRA DE GUARATIBA,2013,0,152
PEDRA DE GUARATIBA,2013,0,153
ROCINHA,2013,2,154
JACAREZINHO,2013,1,155
COMPLEXO DO ALEMAO,2013,0,156
COMPLEXO DA MARE,2013,1,157
VASCO DA GAMA,2013,0,159
LAPA,2013,0,161
VILA KENNEDY,2013,0,162
IGNORADO BAIRRO-MRJ,2013,0,999
,2013,13,
GAMBOA,2014,0,002
SANTO CRISTO,2014,0,003
CAJU,2014,0,004
CENTRO,2014,0,005
CATUMBI,2014,0,006
RIO COMPRIDO,2014,0,007
CIDADE NOVA,2014,0,008
ESTACIO,2014,0,009
SAO CRISTOVAO,2014,0,010
MANGUEIRA,2014,2,011
BENFICA,2014,1,012
SANTA TERESA,2014,1,014
FLAMENGO,2014,0,015
LARANJEIRAS,2014,0,017
CATETE,2014,0,018
COSME VELHO,2014,0,019
BOTAFOGO,2014,0,020
URCA,2014,0,022
LEME,2014,0,023
COPACABANA,2014,1,024
JARDIM BOTANICO,2014,0,028
GAVEA,2014,0,029
VIDIGAL,2014,0,030
PRACA DA BANDEIRA,2014,0,032
TIJUCA,2014,0,033
ALTO DA BOA VISTA,2014,0,034
MARACANA,2014,0,035
VILA ISABEL,2014,0,036
GRAJAU,2014,0,038
MANGUINHOS,2014,0,039
BONSUCESSO,2014,0,040
RAMOS,2014,1,041
OLARIA,2014,0,042
PENHA,2014,0,043
PENHA CIRCULAR,2014,0,044
BRAS DE PINA,2014,0,045
CORDOVIL,2014,0,046
PARADA DE LUCAS,2014,0,047
VIGARIO GERAL,2014,0,048
JARDIM AMERICA,2014,0,049
HIGIENOPOLIS,2014,0,050
JACARE,2014,1,051
MARIA DA GRACA,2014,0,052
DEL CASTILHO,2014,0,053
INHAUMA,2014,0,054
ENGENHO DA RAINHA,2014,0,055
TOMAS COELHO,2014,0,056
SAO FRANCISCO XAVIER,2014,0,057
ROCHA,2014,0,058
RIACHUELO,2014,0,059
SAMPAIO,2014,0,060
ENGENHO NOVO,2014,0,061
LINS DE VASCONCELOS,2014,0,062
MEIER,2014,0,063
ENGENHO DE DENTRO,2014,0,066
ENCANTADO,2014,0,068
PIEDADE,2014,0,069
PILARES,2014,0,071
VILA KOSMOS,2014,0,072
VICENTE DE CARVALHO,2014,0,073
VILA DA PENHA,2014,0,074
VISTA ALEGRE,2014,1,075
IRAJA,2014,2,076
COLEGIO,2014,0,077
CAMPINHO,2014,1,078
QUINTINO BOCAIUVA,2014,0,079
CAVALCANTE,2014,1,080
ENGENHEIRO LEAL,2014,0,081
CASCADURA,2014,0,082
MADUREIRA,2014,0,083
VAZ LOBO,2014,0,084
TURIACU,2014,0,085
ROCHA MIRANDA,2014,0,086
HONORIO GURGEL,2014,0,087
OSWALDO CRUZ,2014,0,088
BENTO RIBEIRO,2014,0,089
MARECHAL HERMES,2014,0,090
ZUMBI,2014,0,092
CACUIA,2014,0,093
BANCARIOS,2014,0,097
FREGUESIA-ILHA,2014,0,098
JARDIM GUANABARA,2014,0,099
JARDIM CARIOCA,2014,0,100
TAUA,2014,0,101
GUADALUPE,2014,0,106
ANCHIETA,2014,0,107
PARQUE ANCHIETA,2014,0,108
RICARDO ALBUQUERQUE,2014,0,109
COELHO NETO,2014,0,110
ACARI,2014,1,111
BARROS FILHO,2014,0,112
COSTA BARROS,2014,1,113
PAVUNA,2014,1,114
JACAREPAGUA,2014,3,115
ANIL,2014,0,116
GARDENIA AZUL,2014,0,117
CIDADE DE DEUS,2014,0,118
CURICICA,2014,0,119
FREGUESIA-JPA,2014,0,120
PECHINCHA,2014,0,121
TAQUARA,2014,1,122
TANQUE,2014,0,123
PRACA SECA,2014,1,124
VILA VALQUEIRE,2014,0,125
ITANHANGA,2014,0,127
BARRA DA TIJUCA,2014,0,128
VARGEM PEQUENA,2014,0,130
VARGEM GRANDE,2014,0,131
RECREIO BANDEIRANTES,2014,1,132
DEODORO,2014,0,134
VILA MILITAR,2014,0,135
MAGALHAES BASTOS,2014,0,138
REALENGO,2014,1,139
PADRE MIGUEL,2014,1,140
BANGU,2014,3,141
SENADOR CAMARA,2014,2,142
SANTISSIMO,2014,2,143
CAMPO GRANDE,2014,2,144
SENADOR VASCONCELOS,2014,0,145
INHOAIBA,2014,0,146
COSMOS,2014,0,147
PACIENCIA,2014,3,148
SANTA CRUZ,2014,3,149
SEPETIBA,2014,1,150
GUARATIBA,2014,0,151
BARRA DE GUARATIBA,2014,0,152
PEDRA DE GUARATIBA,2014,0,153
ROCINHA,2014,2,154
JACAREZINHO,2014,0,155
COMPLEXO DO ALEMAO,2014,1,156
COMPLEXO DA MARE,2014,3,157
VASCO DA GAMA,2014,0,159
LAPA,2014,0,161
VILA KENNEDY,2014,0,162
IGNORADO BAIRRO-MRJ,2014,0,999
,2014,11,
GAMBOA,2015,0,002
SANTO CRISTO,2015,0,003
CAJU,2015,0,004
CENTRO,2015,1,005
CATUMBI,2015,0,006
RIO COMPRIDO,2015,0,007
CIDADE NOVA,2015,0,008
ESTACIO,2015,0,009
SAO CRISTOVAO,2015,0,010
MANGUEIRA,2015,0,011
BENFICA,2015,1,012
SANTA TERESA,2015,0,014
FLAMENGO,2015,0,015
LARANJEIRAS,2015,0,017
CATETE,2015,0,018
COSME VELHO,2015,0,019
BOTAFOGO,2015,0,020
URCA,2015,0,022
LEME,2015,0,023
COPACABANA,2015,2,024
JARDIM BOTANICO,2015,0,028
GAVEA,2015,0,029
VIDIGAL,2015,0,030
PRACA DA BANDEIRA,2015,0,032
TIJUCA,2015,0,033
ALTO DA BOA VISTA,2015,0,034
MARACANA,2015,0,035
VILA ISABEL,2015,0,036
GRAJAU,2015,0,038
MANGUINHOS,2015,0,039
BONSUCESSO,2015,0,040
RAMOS,2015,0,041
OLARIA,2015,1,042
PENHA,2015,1,043
PENHA CIRCULAR,2015,0,044
BRAS DE PINA,2015,0,045
CORDOVIL,2015,1,046
PARADA DE LUCAS,2015,1,047
VIGARIO GERAL,2015,0,048
JARDIM AMERICA,2015,0,049
HIGIENOPOLIS,2015,0,050
JACARE,2015,0,051
MARIA DA GRACA,2015,0,052
DEL CASTILHO,2015,0,053
INHAUMA,2015,2,054
ENGENHO DA RAINHA,2015,0,055
TOMAS COELHO,2015,0,056
SAO FRANCISCO XAVIER,2015,0,057
ROCHA,2015,0,058
RIACHUELO,2015,0,059
SAMPAIO,2015,0,060
ENGENHO NOVO,2015,1,061
LINS DE VASCONCELOS,2015,0,062
MEIER,2015,0,063
ENGENHO DE DENTRO,2015,1,066
ENCANTADO,2015,0,068
PIEDADE,2015,0,069
PILARES,2015,0,071
VILA KOSMOS,2015,0,072
VICENTE DE CARVALHO,2015,0,073
VILA DA PENHA,2015,0,074
VISTA ALEGRE,2015,0,075
IRAJA,2015,0,076
COLEGIO,2015,0,077
CAMPINHO,2015,0,078
QUINTINO BOCAIUVA,2015,0,079
CAVALCANTE,2015,0,080
ENGENHEIRO LEAL,2015,0,081
CASCADURA,2015,1,082
MADUREIRA,2015,1,083
VAZ LOBO,2015,1,084
TURIACU,2015,0,085
ROCHA MIRANDA,2015,0,086
HONORIO GURGEL,2015,0,087
OSWALDO CRUZ,2015,0,088
BENTO RIBEIRO,2015,0,089
MARECHAL HERMES,2015,1,090
ZUMBI,2015,0,092
CACUIA,2015,1,093
BANCARIOS,2015,1,097
FREGUESIA-ILHA,2015,0,098
JARDIM GUANABARA,2015,0,099
JARDIM CARIOCA,2015,0,100
TAUA,2015,1,101
GUADALUPE,2015,1,106
ANCHIETA,2015,0,107
PARQUE ANCHIETA,2015,0,108
RICARDO ALBUQUERQUE,2015,0,109
COELHO NETO,2015,0,110
ACARI,2015,1,111
BARROS FILHO,2015,0,112
COSTA BARROS,2015,0,113
PAVUNA,2015,2,114
JACAREPAGUA,2015,1,115
ANIL,2015,1,116
GARDENIA AZUL,2015,0,117
CIDADE DE DEUS,2015,1,118
CURICICA,2015,1,119
FREGUESIA-JPA,2015,0,120
PECHINCHA,2015,0,121
TAQUARA,2015,0,122
TANQUE,2015,0,123
PRACA SECA,2015,1,124
VILA VALQUEIRE,2015,0,125
ITANHANGA,2015,0,127
BARRA DA TIJUCA,2015,0,128
VARGEM PEQUENA,2015,0,130
VARGEM GRANDE,2015,0,131
RECREIO BANDEIRANTES,2015,0,132
DEODORO,2015,0,134
VILA MILITAR,2015,1,135
MAGALHAES BASTOS,2015,0,138
REALENGO,2015,1,139
PADRE MIGUEL,2015,2,140
BANGU,2015,3,141
SENADOR CAMARA,2015,1,142
SANTISSIMO,2015,0,143
CAMPO GRANDE,2015,5,144
SENADOR VASCONCELOS,2015,0,145
INHOAIBA,2015,2,146
COSMOS,2015,2,147
PACIENCIA,2015,2,148
SANTA CRUZ,2015,4,149
SEPETIBA,2015,0,150
GUARATIBA,2015,1,151
BARRA DE GUARATIBA,2015,0,152
PEDRA DE GUARATIBA,2015,0,153
ROCINHA,2015,0,154
JACAREZINHO,2015,0,155
COMPLEXO DO ALEMAO,2015,0,156
COMPLEXO DA MARE,2015,1,157
VASCO DA GAMA,2015,0,159
LAPA,2015,0,161
VILA KENNEDY,2015,0,162
IGNORADO BAIRRO-MRJ,2015,0,999
,2015,13,
GAMBOA,2016,0,002
SANTO CRISTO,2016,0,003
CAJU,2016,1,004
CENTRO,2016,1,005
CATUMBI,2016,0,006
RIO COMPRIDO,2016,0,007
CIDADE NOVA,2016,0,008
ESTACIO,2016,0,009
SAO CRISTOVAO,2016,0,010
MANGUEIRA,2016,0,011
BENFICA,2016,0,012
SANTA TERESA,2016,1,014
FLAMENGO,2016,0,015
LARANJEIRAS,2016,0,017
CATETE,2016,0,018
COSME VELHO,2016,0,019
BOTAFOGO,2016,0,020
URCA,2016,0,022
LEME,2016,0,023
COPACABANA,2016,0,024
JARDIM BOTANICO,2016,0,028
GAVEA,2016,0,029
VIDIGAL,2016,0,030
PRACA DA BANDEIRA,2016,0,032
TIJUCA,2016,0,033
ALTO DA BOA VISTA,2016,0,034
MARACANA,2016,0,035
VILA ISABEL,2016,0,036
GRAJAU,2016,0,038
MANGUINHOS,2016,0,039
BONSUCESSO,2016,0,040
RAMOS,2016,0,041
OLARIA,2016,0,042
PENHA,2016,2,043
PENHA CIRCULAR,2016,0,044
BRAS DE PINA,2016,0,045
CORDOVIL,2016,0,046
PARADA DE LUCAS,2016,0,047
VIGARIO GERAL,2016,0,048
JARDIM AMERICA,2016,0,049
HIGIENOPOLIS,2016,0,050
JACARE,2016,0,051
MARIA DA GRACA,2016,0,052
DEL CASTILHO,2016,1,053
INHAUMA,2016,0,054
ENGENHO DA RAINHA,2016,1,055
TOMAS COELHO,2016,0,056
SAO FRANCISCO XAVIER,2016,1,057
ROCHA,2016,0,058
RIACHUELO,2016,0,059
SAMPAIO,2016,0,060
ENGENHO NOVO,2016,0,061
LINS DE VASCONCELOS,2016,0,062
MEIER,2016,1,063
ENGENHO DE DENTRO,2016,0,066
ENCANTADO,2016,0,068
PIEDADE,2016,1,069
PILARES,2016,0,071
VILA KOSMOS,2016,0,072
VICENTE DE CARVALHO,2016,0,073
VILA DA PENHA,2016,0,074
VISTA ALEGRE,2016,0,075
IRAJA,2016,0,076
COLEGIO,2016,0,077
CAMPINHO,2016,1,078
QUINTINO BOCAIUVA,2016,0,079
CAVALCANTE,2016,0,080
ENGENHEIRO LEAL,2016,0,081
CASCADURA,2016,0,082
MADUREIRA,2016,1,083
VAZ LOBO,2016,0,084
TURIACU,2016,0,085
ROCHA MIRANDA,2016,0,086
HONORIO GURGEL,2016,0,087
OSWALDO CRUZ,2016,2,088
BENTO RIBEIRO,2016,0,089
MARECHAL HERMES,2016,2,090
ZUMBI,2016,0,092
CACUIA,2016,0,093
BANCARIOS,2016,0,097
FREGUESIA-ILHA,2016,0,098
JARDIM GUANABARA,2016,0,099
JARDIM CARIOCA,2016,0,100
TAUA,2016,0,101
GUADALUPE,2016,0,106
ANCHIETA,2016,2,107
PARQUE ANCHIETA,2016,0,108
RICARDO ALBUQUERQUE,2016,1,109
COELHO NETO,2016,2,110
ACARI,2016,0,111
BARROS FILHO,2016,0,112
COSTA BARROS,2016,1,113
PAVUNA,2016,2,114
JACAREPAGUA,2016,4,115
ANIL,2016,0,116
GARDENIA AZUL,2016,0,117
CIDADE DE DEUS,2016,0,118
CURICICA,2016,0,119
FREGUESIA-JPA,2016,0,120
PECHINCHA,2016,0,121
TAQUARA,2016,0,122
TANQUE,2016,0,123
PRACA SECA,2016,0,124
VILA VALQUEIRE,2016,0,125
ITANHANGA,2016,0,127
BARRA DA TIJUCA,2016,1,128
VARGEM PEQUENA,2016,0,130
VARGEM GRANDE,2016,0,131
RECREIO BANDEIRANTES,2016,0,132
DEODORO,2016,0,134
VILA MILITAR,2016,0,135
MAGALHAES BASTOS,2016,0,138
REALENGO,2016,3,139
PADRE MIGUEL,2016,0,140
BANGU,2016,4,141
SENADOR CAMARA,2016,0,142
SANTISSIMO,2016,0,143
CAMPO GRANDE,2016,3,144
SENADOR VASCONCELOS,2016,0,145
INHOAIBA,2016,1,146
COSMOS,2016,1,147
PACIENCIA,2016,1,148
SANTA CRUZ,2016,3,149
SEPETIBA,2016,1,150
GUARATIBA,2016,1,151
BARRA DE GUARATIBA,2016,0,152
PEDRA DE GUARATIBA,2016,0,153
ROCINHA,2016,1,154
JACAREZINHO,2016,0,155
COMPLEXO DO ALEMAO,2016,0,156
COMPLEXO DA MARE,2016,2,157
VASCO DA GAMA,2016,0,159
LAPA,2016,0,161
VILA KENNEDY,2016,0,162
IGNORADO BAIRRO-MRJ,2016,0,999
,2016,9,
GAMBOA,2017,0,002
SANTO CRISTO,2017,0,003
CAJU,2017,0,004
CENTRO,2017,0,005
CATUMBI,2017,0,006
RIO COMPRIDO,2017,0,007
CIDADE NOVA,2017,0,008
ESTACIO,2017,1,009
SAO CRISTOVAO,2017,0,010
MANGUEIRA,2017,1,011
BENFICA,2017,0,012
SANTA TERESA,2017,0,014
FLAMENGO,2017,0,015
LARANJEIRAS,2017,1,017
CATETE,2017,1,018
COSME VELHO,2017,0,019
BOTAFOGO,2017,0,020
URCA,2017,0,022
LEME,2017,0,023
COPACABANA,2017,0,024
JARDIM BOTANICO,2017,0,028
GAVEA,2017,0,029
VIDIGAL,2017,0,030
PRACA DA BANDEIRA,2017,0,032
TIJUCA,2017,0,033
ALTO DA BOA VISTA,2017,0,034
MARACANA,2017,0,035
VILA ISABEL,2017,1,036
GRAJAU,2017,0,038
MANGUINHOS,2017,0,039
BONSUCESSO,2017,1,040
RAMOS,2017,0,041
OLARIA,2017,0,042
PENHA,2017,2,043
PENHA CIRCULAR,2017,0,044
BRAS DE PINA,2017,0,045
CORDOVIL,2017,0,046
PARADA DE LUCAS,2017,2,047
VIGARIO GERAL,2017,1,048
JARDIM AMERICA,2017,0,049
HIGIENOPOLIS,2017,0,050
JACARE,2017,1,051
MARIA DA GRACA,2017,0,052
DEL CASTILHO,2017,0,053
INHAUMA,2017,1,054
ENGENHO DA RAINHA,2017,0,055
TOMAS COELHO,2017,0,056
SAO FRANCISCO XAVIER,2017,0,057
ROCHA,2017,0,058
RIACHUELO,2017,0,059
SAMPAIO,2017,0,060
ENGENHO NOVO,2017,1,061
LINS DE VASCONCELOS,2017,0,062
MEIER,2017,0,063
ENGENHO DE DENTRO,2017,0,066
ENCANTADO,2017,0,068
PIEDADE,2017,0,069
PILARES,2017,0,071
VILA KOSMOS,2017,0,072
VICENTE DE CARVALHO,2017,1,073
VILA DA PENHA,2017,0,074
VISTA ALEGRE,2017,0,075
IRAJA,2017,1,076
COLEGIO,2017,0,077
CAMPINHO,2017,0,078
QUINTINO BOCAIUVA,2017,0,079
CAVALCANTE,2017,0,080
ENGENHEIRO LEAL,2017,0,081
CASCADURA,2017,0,082
MADUREIRA,2017,0,083
VAZ LOBO,2017,0,084
TURIACU,2017,0,085
ROCHA MIRANDA,2017,0,086
HONORIO GURGEL,2017,0,087
OSWALDO CRUZ,2017,1,088
BENTO RIBEIRO,2017,0,089
MARECHAL HERMES,2017,0,090
ZUMBI,2017,0,092
CACUIA,2017,0,093
BANCARIOS,2017,0,097
FREGUESIA-ILHA,2017,0,098
JARDIM GUANABARA,2017,1,099
JARDIM CARIOCA,2017,0,100
TAUA,2017,0,101
GUADALUPE,2017,0,106
ANCHIETA,2017,0,107
PARQUE ANCHIETA,2017,0,108
RICARDO ALBUQUERQUE,2017,0,109
COELHO NETO,2017,0,110
ACARI,2017,2,111
BARROS FILHO,2017,0,112
COSTA BARROS,2017,1,113
PAVUNA,2017,1,114
JACAREPAGUA,2017,1,115
ANIL,2017,1,116
GARDENIA AZUL,2017,1,117
CIDADE DE DEUS,2017,0,118
CURICICA,2017,0,119
FREGUESIA-JPA,2017,0,120
PECHINCHA,2017,0,121
TAQUARA,2017,2,122
TANQUE,2017,0,123
PRACA SECA,2017,0,124
VILA VALQUEIRE,2017,0,125
ITANHANGA,2017,0,127
BARRA DA TIJUCA,2017,0,128
VARGEM PEQUENA,2017,0,130
VARGEM GRANDE,2017,1,131
RECREIO BANDEIRANTES,2017,0,132
DEODORO,2017,1,134
VILA MILITAR,2017,0,135
MAGALHAES BASTOS,2017,1,138
REALENGO,2017,2,139
PADRE MIGUEL,2017,0,140
BANGU,2017,2,141
SENADOR CAMARA,2017,2,142
SANTISSIMO,2017,0,143
CAMPO GRANDE,2017,2,144
SENADOR VASCONCELOS,2017,1,145
INHOAIBA,2017,1,146
COSMOS,2017,2,147
PACIENCIA,2017,4,148
SANTA CRUZ,2017,5,149
SEPETIBA,2017,1,150
GUARATIBA,2017,3,151
BARRA DE GUARATIBA,2017,0,152
PEDRA DE GUARATIBA,2017,0,153
ROCINHA,2017,1,154
JACAREZINHO,2017,0,155
COMPLEXO DO ALEMAO,2017,0,156
COMPLEXO DA MARE,2017,0,157
VASCO DA GAMA,2017,1,159
LAPA,2017,0,161
VILA KENNEDY,2017,0,162
IGNORADO BAIRRO-MRJ,2017,0,999
,2017,10,
GAMBOA,2018,0,002
SANTO CRISTO,2018,0,003
CAJU,2018,0,004
CENTRO,2018,0,005
CATUMBI,2018,0,006
RIO COMPRIDO,2018,0,007
CIDADE NOVA,2018,0,008
ESTACIO,2018,0,009
SAO CRISTOVAO,2018,0,010
MANGUEIRA,2018,0,011
BENFICA,2018,0,012
SANTA TERESA,2018,0,014
FLAMENGO,2018,0,015
LARANJEIRAS,2018,0,017
CATETE,2018,0,018
COSME VELHO,2018,0,019
BOTAFOGO,2018,0,020
URCA,2018,0,022
LEME,2018,0,023
COPACABANA,2018,0,024
JARDIM BOTANICO,2018,0,028
GAVEA,2018,0,029
VIDIGAL,2018,0,030
PRACA DA BANDEIRA,2018,0,032
TIJUCA,2018,0,033
ALTO DA BOA VISTA,2018,0,034
MARACANA,2018,0,035
VILA ISABEL,2018,0,036
GRAJAU,2018,0,038
MANGUINHOS,2018,1,039
BONSUCESSO,2018,0,040
RAMOS,2018,0,041
OLARIA,2018,0,042
PENHA,2018,2,043
PENHA CIRCULAR,2018,0,044
BRAS DE PINA,2018,0,045
CORDOVIL,2018,0,046
PARADA DE LUCAS,2018,1,047
VIGARIO GERAL,2018,1,048
JARDIM AMERICA,2018,0,049
HIGIENOPOLIS,2018,0,050
JACARE,2018,0,051
MARIA DA GRACA,2018,0,052
DEL CASTILHO,2018,1,053
INHAUMA,2018,1,054
ENGENHO DA RAINHA,2018,1,055
TOMAS COELHO,2018,0,056
SAO FRANCISCO XAVIER,2018,0,057
ROCHA,2018,0,058
RIACHUELO,2018,0,059
SAMPAIO,2018,0,060
ENGENHO NOVO,2018,0,061
LINS DE VASCONCELOS,2018,1,062
MEIER,2018,0,063
ENGENHO DE DENTRO,2018,0,066
ENCANTADO,2018,0,068
PIEDADE,2018,0,069
PILARES,2018,0,071
VILA KOSMOS,2018,0,072
VICENTE DE CARVALHO,2018,0,073
VILA DA PENHA,2018,0,074
VISTA ALEGRE,2018,0,075
IRAJA,2018,1,076
COLEGIO,2018,0,077
CAMPINHO,2018,0,078
QUINTINO BOCAIUVA,2018,0,079
CAVALCANTE,2018,0,080
ENGENHEIRO LEAL,2018,0,081
CASCADURA,2018,0,082
MADUREIRA,2018,0,083
VAZ LOBO,2018,0,084
TURIACU,2018,0,085
ROCHA MIRANDA,2018,1,086
HONORIO GURGEL,2018,0,087
OSWALDO CRUZ,2018,0,088
BENTO RIBEIRO,2018,2,089
MARECHAL HERMES,2018,1,090
ZUMBI,2018,0,092
CACUIA,2018,0,093
BANCARIOS,2018,0,097
FREGUESIA-ILHA,2018,0,098
JARDIM GUANABARA,2018,0,099
JARDIM CARIOCA,2018,0,100
TAUA,2018,1,101
GUADALUPE,2018,1,106
ANCHIETA,2018,0,107
PARQUE ANCHIETA,2018,0,108
RICARDO ALBUQUERQUE,2018,0,109
COELHO NETO,2018,0,110
ACARI,2018,0,111
BARROS FILHO,2018,0,112
COSTA BARROS,2018,0,113
PAVUNA,2018,0,114
JACAREPAGUA,2018,4,115
ANIL,2018,0,116
GARDENIA AZUL,2018,0,117
CIDADE DE DEUS,2018,0,118
CURICICA,2018,0,119
FREGUESIA-JPA,2018,0,120
PECHINCHA,2018,0,121
TAQUARA,2018,0,122
TANQUE,2018,0,123
PRACA SECA,2018,1,124
VILA VALQUEIRE,2018,0,125
ITANHANGA,2018,1,127
BARRA DA TIJUCA,2018,0,128
VARGEM PEQUENA,2018,0,130
VARGEM GRANDE,2018,0,131
RECREIO BANDEIRANTES,2018,0,132
DEODORO,2018,0,134
VILA MILITAR,2018,0,135
MAGALHAES BASTOS,2018,1,138
REALENGO,2018,1,139
PADRE MIGUEL,2018,1,140
BANGU,2018,2,141
SENADOR CAMARA,2018,2,142
SANTISSIMO,2018,0,143
CAMPO GRANDE,2018,1,144
SENADOR VASCONCELOS,2018,0,145
INHOAIBA,2018,0,146
COSMOS,2018,1,147
PACIENCIA,2018,1,148
SANTA CRUZ,2018,6,149
SEPETIBA,2018,2,150
GUARATIBA,2018,1,151
BARRA DE GUARATIBA,2018,0,152
PEDRA DE GUARATIBA,2018,1,153
ROCINHA,2018,2,154
JACAREZINHO,2018,0,155
COMPLEXO DO ALEMAO,2018,0,156
COMPLEXO DA MARE,2018,0,157
VASCO DA GAMA,2018,0,159
LAPA,2018,0,161
VILA KENNEDY,2018,0,162
IGNORADO BAIRRO-MRJ,2018,0,999
,2018,12,
GAMBOA,2019,0,002
SANTO CRISTO,2019,0,003
CAJU,2019,0,004
CENTRO,2019,0,005
CATUMBI,2019,0,006
RIO COMPRIDO,2019,0,007
CIDADE NOVA,2019,0,008
ESTACIO,2019,0,009
SAO CRISTOVAO,2019,0,010
MANGUEIRA,2019,0,011
BENFICA,2019,1,012
SANTA TERESA,2019,0,014
FLAMENGO,2019,0,015
LARANJEIRAS,2019,0,017
CATETE,2019,0,018
COSME VELHO,2019,0,019
BOTAFOGO,2019,0,020
URCA,2019,0,022
LEME,2019,0,023
COPACABANA,2019,1,024
JARDIM BOTANICO,2019,0,028
GAVEA,2019,0,029
VIDIGAL,2019,0,030
PRACA DA BANDEIRA,2019,0,032
TIJUCA,2019,0,033
ALTO DA BOA VISTA,2019,0,034
MARACANA,2019,0,035
VILA ISABEL,2019,0,036
GRAJAU,2019,0,038
MANGUINHOS,2019,0,039
BONSUCESSO,2019,0,040
RAMOS,2019,1,041
OLARIA,2019,0,042
PENHA,2019,0,043
PENHA CIRCULAR,2019,0,044
BRAS DE PINA,2019,1,045
CORDOVIL,2019,0,046
PARADA DE LUCAS,2019,0,047
