,bairro,0 a 4 anos,Percentual 0 a 4,5 a 9 anos,Percentual 5 a 9
136,Jardim Sulacap,696,4.837028285495864,779,5.413857808047815
39,Bonsucesso,672,3.9843472073995017,811,4.808490454168149
1,Gamboa,669,5.86173661613949,752,6.5889774818189775
5,Catumbi,662,5.425784771740021,736,6.032292435046307
84,Turiaçú,649,5.592899000344708,717,6.178903826266804
74,Vista Alegre,645,3.8356327307326357,765,4.549238820171266
4,Centro,622,2.646921145580663,599,2.549044640197455
96,Bancários,600,5.4239739649249685,619,5.595733140480926
152,Pedra de Guaratiba,599,5.023060796645702,681,5.710691823899372
79,Cavalcanti,597,4.326400463801725,768,5.565620697151967
27,Jardim Botânico,587,3.699968484084463,695,4.380712259691144
83,Vaz Lobo,582,5.2933151432469305,609,5.538881309686221
71,Vila Kosmos,544,3.6571428571428575,749,5.035294117647059
2,Santo Cristo,534,5.374396135265701,567,5.706521739130435
93,Pitangueiras,503,4.911150165983207,666,6.502636203866433
49,Higienópolis,503,3.5355310325437546,669,4.702326562170521
158,Parque Colúmbia,483,5.8744830941376796,589,7.163707127219654
28,Gávea,459,3.238323691265698,664,4.68463383660223
20,Humaitá,454,3.4805274455688444,536,4.1091689665746705
59,Sampaio,453,5.1290760869565215,561,6.351902173913043
50,Jacaré,443,5.40771484375,544,6.640625
67,Encantado,442,3.563079403466344,614,4.9496170898831116
92,Cacuia,439,4.225216554379211,554,5.332050048123196
22,Leme,422,3.3862943347777246,456,3.65912373615792
33,Alto da Boa Vista,418,4.268790849673203,497,5.0755718954248366
77,Campinho,392,4.569297120876559,408,4.7557990441776425
30,São Conrado,337,3.4617360041088854,434,4.45814072932717
58,Riachuelo,327,3.144230769230769,414,3.980769230769231
18,Cosme Velho,325,5.074953154278576,391,6.105559025608994
69,Abolição,313,3.403653762505437,363,3.9473684210526314
163,Ilha de Guaratiba,309,5.0664043285784555,357,5.853418593212003
66,Água Santa,280,4.392156862745098,364,5.709803921568628
51,Maria da Graça,277,3.843485500208131,284,3.9406132926321633
31,Praça da Bandeira,261,3.6179650679234823,263,3.6456889381757693
56,São Francisco Xavier,255,4.023351214894289,312,4.922688545282424
21,Urca,252,4.8359240069084635,289,5.545960468240261
80,Engenheiro Leal,245,4.7151655119322555,395,7.602001539645882
7,Cidade Nova,211,4.446786090621707,252,5.310853530031612
151,Barra de Guaratiba,208,4.374342797055731,247,5.19453207150368
160,Lapa,206,2.285333925005547,246,2.729088085200799
94,Praia da Bandeira,205,3.978265088298079,252,4.890355132932273
101,Moneró,181,3.162676917700507,255,4.4557050497990565
159,Gericinó,178,6.923376118241929,242,9.41267989109296
135,Campo dos Afonsos,178,8.452041785375117,221,10.493827160493826
95,Cocotá,174,3.465445130452101,254,5.058753236407091
162,Jabour,173,3.2721770380177797,277,5.239266124456213
15,Glória,169,2.375597413550745,168,2.3615406241214507
12,Paquetá,145,4.161882893226177,159,4.563719862227325
90,Ribeira,129,3.7186509080426635,126,3.6321706543672527
128,Camorim,83,6.5251572327044025,87,6.839622641509433
91,Zumbi,78,4.292790313703907,81,4.45789763346175
104,Cidade Universitária,65,5.046583850931677,91,7.065217391304348
0,Saúde,54,3.2987171655467313,71,4.337202199144777
165,Argentino,33,4.388297872340425,49,6.515957446808511
125,Joá,22,2.238046795523906,35,3.560528992878942
132,Grumari,15,8.47457627118644,9,5.084745762711865
,,,,,
,Referência: censo 2022,,,,
