 VIOLENCIA INTERPESSOAL / AUTOPROVOCADA - Sinan NET
Frequência  por Bairro Resid e Ano da Notific
Munic. Residência: 330455 Rio de Janeiro
Idade detalhada: menor de 01 ano, 01 ano, 02 anos, 03 anos, 04 anos, 05 anos
Irmão(a): Sim
Período:2007-2026
"Bairro Resid";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"2026";"Total"
"126      PRACA SECA";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"127      VILA VALQUEIRE";1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"130      BARRA DA TIJUCA";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"131      CAMORIM";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
"132      VARGEM PEQUENA";0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;2
"134      RECREIO BANDEIRANTES";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"137      VILA MILITAR";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"140      MAGALHAES BASTOS";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
"141      REALENGO";0;0;1;1;0;0;4;1;0;1;0;1;0;2;2;1;14
"142      PADRE MIGUEL";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
"143      BANGU";0;0;1;1;1;0;0;0;3;0;2;1;0;2;2;0;13
"144      SENADOR CAMARA";0;1;0;0;1;0;0;1;1;0;1;3;1;1;1;0;11
"145      SANTISSIMO";0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;3
"146      CAMPO GRANDE";1;0;0;0;2;1;1;1;1;0;1;1;2;2;0;0;13
"147      SENADOR VASCONCELOS";0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;3
"148      INHOAIBA";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"149      COSMOS";0;0;0;0;0;1;0;1;0;0;1;0;2;0;0;0;5
"150      PACIENCIA";0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;3
"151      SANTA CRUZ";0;0;1;0;3;0;3;2;1;1;2;1;5;4;4;1;28
"152      SEPETIBA";0;0;0;1;0;0;0;1;1;0;2;0;0;0;1;2;8
"153      GUARATIBA";0;0;0;0;0;1;1;0;2;0;0;0;0;1;1;1;7
"155      PEDRA DE GUARATIBA";0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;4
"156      ROCINHA";0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;3
"158      COMPLEXO DO ALEMAO";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"159      MARE";0;0;0;0;1;0;0;1;0;1;0;0;0;2;1;0;6
"Total";6;7;15;8;17;11;26;25;20;11;14;27;28;27;26;15;283
