 VIOLENCIA INTERPESSOAL / AUTOPROVOCADA - Sinan NET
Frequência  por Bairro Resid e Ano da Notific
Munic. Residência: 330455 Rio de Janeiro
Idade detalhada: menor de 01 ano, 01 ano, 02 anos, 03 anos, 04 anos, 05 anos
Mãe: Sim
Período:2007-2026
"Bairro Resid";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"2026";"Total"
"152      SEPETIBA";4;14;5;6;6;7;5;8;10;9;11;31;33;19;43;31;242
"153      GUARATIBA";8;12;14;31;31;40;94;50;61;34;16;30;49;61;50;31;612
"154      BARRA DE GUARATIBA";0;0;0;0;0;1;4;2;0;1;0;0;2;3;4;0;17
"155      PEDRA DE GUARATIBA";1;9;2;2;2;10;4;2;5;1;4;3;2;7;2;0;56
"156      ROCINHA";15;30;13;6;6;14;13;31;13;4;7;10;22;8;27;9;228
"157      JACAREZINHO";0;1;4;9;1;3;5;8;2;6;4;5;2;5;6;0;61
"158      COMPLEXO DO ALEMAO";2;2;2;1;5;10;35;26;20;4;5;6;20;6;2;1;147
"159      MARE";0;1;2;2;4;4;5;7;5;9;9;10;23;17;16;17;131
"97       PRAIA DA BANDEIRA";0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;3
"72       ABOLICAO";0;0;0;0;0;1;0;2;0;0;0;0;1;1;1;0;6
"Total";324;464;429;564;452;600;1514;1265;868;734;805;1359;1469;1515;1756;948;15066
