 VIOLENCIA INTERPESSOAL / AUTOPROVOCADA - Sinan NET
Frequência  por Bairro Resid e Ano da Notific
Munic. Residência: 330455 Rio de Janeiro
Idade detalhada: menor de 01 ano, 01 ano, 02 anos, 03 anos, 04 anos, 05 anos
Padrasto: Sim
Período:2007-2026
"Bairro Resid";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"2026";"Total"
"95       CACUIA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2
"96       PITANGUEIRAS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2
"99       BANCARIOS";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"101      JARDIM GUANABARA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"102      JARDIM CARIOCA";0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2
"103      TAUA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"105      PORTUGUESA";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"106      GALEAO";0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;3
"107      CIDADE UNIVERSITARIA";0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2
"108      GUADALUPE";0;0;0;0;0;1;0;0;1;1;1;0;1;1;0;0;6
"109      ANCHIETA";0;1;0;0;0;0;0;0;0;0;2;1;1;2;1;0;8
"110      PARQUE ANCHIETA";0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;4
"111      RICARDO ALBUQUERQUE";0;0;0;0;0;0;0;1;0;0;0;0;2;2;0;2;7
"112      COELHO NETO";0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;3
"113      ACARI";0;2;0;0;1;1;0;1;1;1;0;0;0;0;2;1;10
"114      BARROS FILHO";0;0;0;0;0;0;0;0;0;0;2;0;1;0;2;1;6
"115      COSTA BARROS";0;2;0;0;0;0;1;0;1;0;2;1;0;0;2;0;9
"116      PAVUNA";0;0;1;0;0;1;1;0;0;0;0;0;1;1;1;1;7
"117      JACAREPAGUA";0;0;0;1;1;0;1;2;1;0;1;1;1;1;1;3;14
"118      ANIL";0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;3
"119      GARDENIA AZUL";0;0;0;1;1;1;0;0;0;0;1;0;0;1;0;0;5
"120      CIDADE DE DEUS";0;0;0;0;0;0;0;0;0;2;1;0;2;1;1;0;7
"121      CURICICA";0;0;0;0;1;1;0;0;0;0;0;0;0;3;3;1;9
"122      FREGUESIA-JPA";0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2
"123      PECHINCHA";0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;3
"124      TAQUARA";0;0;0;0;0;0;0;0;3;0;0;1;2;1;1;0;8
"125      TANQUE";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;3
"126      PRACA SECA";0;0;0;1;0;0;2;0;1;0;1;0;1;0;0;0;6
"129      ITANHANGA";0;0;0;0;0;0;0;0;2;0;0;1;1;0;0;1;5
"130      BARRA DA TIJUCA";0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;3
"132      VARGEM PEQUENA";0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;2
"133      VARGEM GRANDE";0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;3
"134      RECREIO BANDEIRANTES";0;2;1;1;1;0;0;0;1;0;1;0;0;1;0;0;8
"140      MAGALHAES BASTOS";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"141      REALENGO";0;1;0;2;0;1;2;5;1;0;2;1;0;1;0;1;17
"142      PADRE MIGUEL";0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;3
"143      BANGU";0;0;0;2;1;1;1;7;3;1;4;3;3;5;3;1;35
"144      SENADOR CAMARA";0;0;1;0;0;0;0;2;1;1;2;2;1;1;1;0;12
"145      SANTISSIMO";0;0;0;1;0;1;1;1;0;0;1;0;0;1;0;0;6
"146      CAMPO GRANDE";1;0;6;3;0;7;2;11;4;3;5;2;5;2;6;1;58
"147      SENADOR VASCONCELOS";0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;3
"148      INHOAIBA";1;0;1;0;0;0;0;1;0;0;0;3;1;0;0;1;8
"149      COSMOS";1;0;0;0;2;1;3;2;1;0;0;0;0;2;1;0;13
"150      PACIENCIA";0;0;2;1;1;0;0;3;0;1;1;1;4;2;6;1;23
"151      SANTA CRUZ";1;1;0;0;1;1;1;5;6;6;7;10;3;6;5;2;55
"152      SEPETIBA";0;1;0;1;1;1;0;0;2;1;1;1;1;5;5;3;23
"153      GUARATIBA";0;0;1;1;1;2;2;2;2;0;1;4;4;3;1;1;25
"154      BARRA DE GUARATIBA";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;2
"155      PEDRA DE GUARATIBA";0;0;1;0;0;1;1;0;0;1;0;1;0;2;1;0;8
"156      ROCINHA";0;0;2;0;1;1;2;1;1;1;0;1;1;1;1;0;13
"157      JACAREZINHO";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"158      COMPLEXO DO ALEMAO";0;1;0;0;0;1;1;2;0;0;2;0;1;0;0;0;8
"159      MARE";0;0;0;0;1;0;0;0;1;0;1;2;1;2;1;2;11
"97       PRAIA DA BANDEIRA";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"Total";16;19;33;24;20;37;46;75;48;34;60;53;54;63;73;42;697
