cep,bairro,cidade,logradouro
22021040,Copacabana,Rio de Janeiro,Rua República do Peru
21770171,Realengo,Rio de Janeiro,Rua Vila Nova
20770180,Todos os Santos,Rio de Janeiro,Rua Major Mascarenhas
20710320,Lins de Vasconcelos,Rio de Janeiro,Rua Zizi
23017426,Campo Grande,Rio de Janeiro,Rua Pissinguaba
21545420,Coelho Neto,Rio de Janeiro,Rua Catanduva
20091000,Centro,Rio de Janeiro,Praça Barão de Ladário
22220060,Flamengo,Rio de Janeiro,Rua Machado de Assis
21330320,Vila Valqueire,Rio de Janeiro,Praça Saiqui
22783560,Vargem Pequena,Rio de Janeiro,Rua Daniel Barreto dos Santos
22081031,Copacabana,Rio de Janeiro,Avenida Rainha Elizabeth da Bélgica
23585081,Paciência,Rio de Janeiro,Rua Ari Costa
22211120,Glória,Rio de Janeiro,Ladeira da Glória
21240370,Jardim América,Rio de Janeiro,Rua Sebastian Bach
22790290,Recreio dos Bandeirantes,Rio de Janeiro,Rua Crispim Laranjeira
21371370,Irajá,Rio de Janeiro,Rua Juqueri
22080010,Copacabana,Rio de Janeiro,Rua Francisco Sá
21321802,Praça Seca,Rio de Janeiro,Rua Cândido Benício
22743032,Pechincha,Rio de Janeiro,Rua Comendador Siqueira
22753033,Anil,Rio de Janeiro,Estrada de Jacarepaguá
20530450,Tijuca,Rio de Janeiro,Rua Rocha Miranda
23066370,Cosmos,Rio de Janeiro,Rua Perico
21321250,Praça Seca,Rio de Janeiro,Rua Gustavo Doria
20715010,Engenho Novo,Rio de Janeiro,Rua Grão Pará
21610480,Marechal Hermes,Rio de Janeiro,Avenida General Osvaldo Cordeiro de Farias
23540053,Sepetiba,Rio de Janeiro,Rua Nossa Senhora da Glória
21350032,Cascadura,Rio de Janeiro,Rua Sidônio País
20030003,Centro,Rio de Janeiro,Avenida Graça Aranha
22765510,Freguesia (Jacarepaguá),Rio de Janeiro,Rua Moacir Barbosa Soares
20540004,Grajaú,Rio de Janeiro,Rua Barão de Mesquita
23075570,Campo Grande,Rio de Janeiro,Rua Frederico de Menezes
