bairro;codbairro;codbnum;regiao_adm;codra;ra;rp;cod_rp;ap;area_plane;0 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 39 anos;40 a 49 anos;50 a 59 anos;60 a 69 anos;70 anos ou mais
Jacarezinho;155;155;JACAREZINHO;28;XXVIII Jacarezinho;Méier;3.2;Área de Planejamento 3;3;2375;2790;2385;2591;3379;3067;5601;4873;3635;2865;1787
Complexo do Alemão;156;156;COMPLEXO DO ALEMÃO;29;XXIX Complexo do Alemão;Inhaúma;3.4;Área de Planejamento 3;3;3477;4202;4176;4482;4845;4461;7828;7366;6101;4404;2858
Maré;157;157;COMPLEXO DA MARE;30;XXX Maré;Ramos;3.1;Área de Planejamento 3;3;8553;9832;9020;9532;11463;11269;20635;17776;13118;8450;5172
Vasco da Gama;158;158;SAO CRISTOVAO;7;VII São Cristóvão;Centro;1.1;Área de Planejamento 1;1;745;885;814;902;1153;1168;2360;2190;1849;1363;1122
Parque Colúmbia;159;159;PAVUNA;25;XXV Pavuna;Pavuna;3.6;Área de Planejamento 3;3;483;589;588;592;628;596;1133;1089;1106;798;620
Gericinó;160;160;BANGU;17;XVII Bangu;Bangu;5.1;Área de Planejamento 5;5;178;242;237;220;204;199;432;384;265;137;73
Lapa;161;161;CENTRO;2;II Centro;Centro;1.1;Área de Planejamento 1;1;206;246;239;249;473;804;1745;1465;1288;1167;1132
Vila Kennedy;162;162;BANGU;17;XVII Bangu;Bangu;5.1;Área de Planejamento 5;5;1199;1459;1374;1563;1713;1715;3050;2909;2883;2168;1546
Jabour;163;163;BANGU;17;XVII Bangu;Bangu;5.1;Área de Planejamento 5;5;173;277;263;261;303;269;667;880;763;716;715
Ilha de Guaratiba;164;164;GUARATIBA;26;XXVI Guaratiba;Guaratiba;5.4;Área de Planejamento 5;5;309;357;343;456;545;432;847;1206;797;503;304
Barra Olímpica;165;165;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;4.1;Área de Planejamento 4;4;3251;3501;3087;2754;2885;3584;10871;10905;6717;4974;4092
Argentino;166;166;PENHA;11;XI Penha;Penha;3.5;Área de Planejamento 3;3;33;49;35;41;37;45;98;132;114;92;76
