bairro;codbairro;codbnum;regiao_adm;codra;ra;rp;cod_rp;ap;area_plane;0 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 39 anos;40 a 49 anos;50 a 59 anos;60 a 69 anos;70 anos ou mais
Manguinhos;39;39;RAMOS;10;X Ramos;Ramos;3.1;Área de Planejamento 3;3;1915;2245;2303;2376;2717;2559;4357;3916;2926;2235;1303
Bonsucesso;40;40;RAMOS;10;X Ramos;Ramos;3.1;Área de Planejamento 3;3;672;811;805;902;1151;1192;2361;2449;2361;2153;2009
Ramos;41;41;RAMOS;10;X Ramos;Ramos;3.1;Área de Planejamento 3;3;1527;1731;1768;1923;2355;2344;4654;4970;4748;4364;4068
Olaria;42;42;RAMOS;10;X Ramos;Ramos;3.1;Área de Planejamento 3;3;2133;2661;2781;2935;3407;3477;6774;7338;7122;6204;6390
Penha;43;43;PENHA;11;XI Penha;Penha;3.5;Área de Planejamento 3;3;2958;3515;3069;3436;4208;4278;8942;8125;7336;6821;5823
Penha Circular;44;44;PENHA;11;XI Penha;Penha;3.5;Área de Planejamento 3;3;1639;1871;1718;1910;2536;2333;5303;5485;5001;4598;4320
Brás de Pina;45;45;PENHA;11;XI Penha;Penha;3.5;Área de Planejamento 3;3;1760;2094;1982;2189;2659;2662;5054;5450;5331;4554;4031
Cordovil;46;46;VIGARIO GERAL;31;XXXI Vigário Geral;Penha;3.5;Área de Planejamento 3;3;1641;2060;1900;1958;2421;2247;4444;4666;4379;3630;3095
Parada de Lucas;47;47;VIGARIO GERAL;31;XXXI Vigário Geral;Penha;3.5;Área de Planejamento 3;3;1171;1286;1309;1356;1469;1460;3219;2915;2341;1803;1341
Vigário Geral;48;48;VIGARIO GERAL;31;XXXI Vigário Geral;Penha;3.5;Área de Planejamento 3;3;2050;2299;2298;2433;2813;2628;4815;4629;4245;3548;2444
Jardim América;49;49;VIGARIO GERAL;31;XXXI Vigário Geral;Penha;3.5;Área de Planejamento 3;3;908;1093;1090;1195;1440;1392;2930;2876;3000;2637;2126
Higienópolis;50;50;INHAUMA;12;XII Inhaúma;Inhaúma;3.4;Área de Planejamento 3;3;503;669;675;744;852;955;2167;2211;1974;1855;1622
Jacaré;51;51;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;443;544;547;552;628;622;1174;1160;1025;807;690
Maria da Graça;52;52;INHAUMA;12;XII Inhaúma;Inhaúma;3.4;Área de Planejamento 3;3;277;284;326;333;421;532;1101;1139;956;963;875
Del Castilho;53;53;INHAUMA;12;XII Inhaúma;Inhaúma;3.4;Área de Planejamento 3;3;991;1071;1003;1025;1324;1644;4050;3407;2395;2025;1660
Inhaúma;54;54;INHAUMA;12;XII Inhaúma;Inhaúma;3.4;Área de Planejamento 3;3;1718;2120;2217;2352;2630;2655;5366;5255;4908;4269;3743
Engenho da Rainha;55;55;INHAUMA;12;XII Inhaúma;Inhaúma;3.4;Área de Planejamento 3;3;1130;1400;1438;1411;1624;1733;3644;3709;3045;2659;2392
Tomás Coelho;56;56;INHAUMA;12;XII Inhaúma;Inhaúma;3.4;Área de Planejamento 3;3;1135;1289;1239;1304;1436;1562;3137;3007;2537;1967;1722
