bairro;codbnum;regiao_adm;codra;ra;rp;cod_rp;ap;area_plane;Sexo masculino, 0 a 4 anos;Sexo masculino, 5 a 9 anos;Sexo masculino, 10 a 14 anos;Sexo masculino, 15 a 19 anos;Sexo masculino, 20 a 24 anos;Sexo masculino, 25 a 29 anos;Sexo masculino, 30 a 39 anos;Sexo masculino, 40 a 49 anos;Sexo masculino, 50 a 59 anos;Sexo masculino, 60 a 69 anos;Sexo masculino, 70 anos ou mais;Sexo feminino, 0 a 4 anos;Sexo feminino, 5 a 9 anos;Sexo feminino, 10 a 14 anos;Sexo feminino, 15 a 19 anos;Sexo feminino, 20 a 24 anos;Sexo feminino, 25 a 29 anos;Sexo feminino, 30 a 39 anos;Sexo feminino, 40 a 49 anos;Sexo feminino, 50 a 59 anos;Sexo feminino, 60 a 69 anos;Sexo feminino, 70 anos ou mais
Mangueira;11;SAO CRISTOVAO;7;VII São Cristóvão;Centro;11;Área de Planejamento 1;1;760;829;904;772;775;780;1190;983;749;358;262;739;844;903;778;900;893;1324;1170;965;514;443
Manguinhos;39;RAMOS;10;X Ramos;Ramos;31;Área de Planejamento 3;3;1543;1767;1893;1499;1539;1552;3152;2010;1414;624;291;1558;1731;1935;1641;1762;1857;3283;2306;1538;751;514
Maracanã;35;VILA ISABEL;9;IX Vila Isabel;Tijuca;22;Área de Planejamento 2;2;445;443;556;658;992;1197;1659;1571;1650;991;991;405;411;555;664;1021;1231;1883;2015;2259;1528;2131
Maré;157;COMPLEXO DA MARE;30;XXX Maré;Ramos;31;Área de Planejamento 3;3;5347;5424;6023;5603;6117;6649;11611;7989;5180;2449;1351;5161;5328;6065;5782;6498;6482;11340;8525;5620;2989;2237
Marechal Hermes;90;MADUREIRA;15;XV Madureira;Madureira;33;Área de Planejamento 3;3;1429;1605;1866;1836;1850;1945;3323;3042;2773;1602;1228;1321;1460;1785;1786;1914;1989;3665;3666;3416;2272;2288
Maria da Graça;52;INHAUMA;12;XII Inhaúma;Inhaúma;34;Área de Planejamento 3;3;196;209;242;235;268;323;577;562;471;310;320;188;190;233;226;261;374;675;583;628;390;511
Méier;63;MEIER;13;XIII Méier;Méier;32;Área de Planejamento 3;3;863;878;1212;1324;1668;1917;3095;2930;3253;2165;2374;791;886;1060;1361;1750;2033;3480;4014;4568;3445;4761
Moneró;102;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;37;Área de Planejamento 3;3;107;139;176;173;212;281;490;412;388;303;284;109;123;158;161;210;298;525;543;521;411;452
Olaria;42;RAMOS;10;X Ramos;Ramos;31;Área de Planejamento 3;3;1430;1651;1976;1904;2013;2221;4079;3711;3217;2273;1913;1369;1614;1876;1874;2115;2305;4668;4401;4113;3376;3415
Osvaldo Cruz;88;MADUREIRA;15;XV Madureira;Madureira;33;Área de Planejamento 3;3;791;904;1217;1211;1280;1307;2294;2207;2027;1237;1018;811;907;1258;1168;1246;1344;2585;2684;2690;1853;2001
Paciência;148;SANTA CRUZ;19;XIX Santa Cruz;Santa Cruz;53;Área de Planejamento 5;5;3457;3847;4709;4324;3946;3932;7072;5898;4484;2565;1428;3371;3756;4389;4106;3939;4171;7715;6497;5484;3140;2396
Padre Miguel;140;BANGU;17;XVII Bangu;Bangu;51;Área de Planejamento 5;5;1952;2197;2509;2475;2405;2602;4539;4097;3623;2269;1436;1882;2048;2479;2494;2496;2781;5079;4837;4575;2787;2666
Paquetá;13;PAQUETA;21;XXI Paquetá;Centro;11;Área de Planejamento 1;1;102;118;113;126;101;112;193;206;233;167;158;76;89;103;104;113;102;197;232;263;212;241
Parada de Lucas;47;VIGARIO GERAL;31;XXXI Vigário Geral;Penha;35;Área de Planejamento 3;3;774;894;1067;1150;1394;1264;1709;1398;998;604;473;813;902;994;1067;1088;1009;1826;1573;1218;916;792
Parque Anchieta;108;ANCHIETA;22;XXII Anchieta;Pavuna;36;Área de Planejamento 3;3;722;835;1036;954;962;1004;1976;1742;1364;965;701;736;856;980;1027;948;1173;2146;2030;1741;1320;994
Parque Colúmbia;159;PAVUNA;25;XXV Pavuna;Pavuna;36;Área de Planejamento 3;3;337;333;425;409;361;386;693;666;432;221;200;296;317;424;414;352;357;745;712;499;307;316
Pavuna;114;PAVUNA;25;XXV Pavuna;Pavuna;36;Área de Planejamento 3;3;3291;3735;4451;3948;3609;3774;7192;6155;4873;2801;1937;3403;3658;4248;3887;4060;4314;8226;6931;5965;3788;3104
Pechincha;121;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;41;Área de Planejamento 4;4;917;914;1114;1129;1194;1451;2698;2348;2054;1236;903;853;878;1046;1061;1217;1636;3171;2872;2707;1701;1609
Pedra de Guaratiba;153;GUARATIBA;26;XXVI Guaratiba;Guaratiba;54;Área de Planejamento 5;5;270;322;389;352;356;396;666;675;536;347;292;249;300;317;336;349;388;714;720;671;456;387
Penha;43;PENHA;11;XI Penha;Penha;35;Área de Planejamento 3;3;2156;2488;2944;3979;4865;3791;5628;4464;3765;2329;1776;2044;2435;2963;3121;3672;3459;6032;5389;4775;3274;3329
Penha Circular;44;PENHA;11;XI Penha;Penha;35;Área de Planejamento 3;3;1299;1397;1794;2204;2130;2020;3315;2856;2604;1629;1405;1233;1367;1643;1662;1863;1979;3675;3422;3344;2390;2585
Piedade;69;MEIER;13;XIII Méier;Méier;32;Área de Planejamento 3;3;1097;1266;1431;1482;1662;1678;3043;2904;2559;1489;1329;1089;1183;1414;1514;1666;1826;3374;3396;3187;2250;2539
Pilares;71;MEIER;13;XIII Méier;Méier;32;Área de Planejamento 3;3;711;804;952;955;1004;1010;1833;1752;1536;885;872;702;773;961;962;1032;1229;2108;2110;2041;1312;1706
Pitangueiras;94;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;37;Área de Planejamento 3;3;345;371;457;466;437;489;877;764;645;353;291;384;385;434;430;484;519;942;938;763;495;487
Portuguesa;103;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;37;Área de Planejamento 3;3;575;599;830;727;986;1138;1715;1453;1224;945;818;585;583;685;758;912;1097;1886;1799;1796;1390;1355
Praça da Bandeira;32;TIJUCA;8;VIII Tijuca;Tijuca;22;Área de Planejamento 2;2;146;183;208;232;297;371;592;592;493;342;327;151;168;216;253;322;399;691;687;717;554;721
Praça Seca;124;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;41;Área de Planejamento 4;4;1991;2049;2471;2356;2382;2523;4751;4018;3406;2009;1702;1799;2060;2388;2418;2397;2892;5196;4754;4329;2901;3355
Praia da Bandeira;95;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;37;Área de Planejamento 3;3;141;169;182;172;202;273;522;392;283;201;174;152;156;176;169;218;296;570;479;430;310;281
Quintino Bocaiúva;79;MADUREIRA;15;XV Madureira;Madureira;33;Área de Planejamento 3;3;764;920;1089;1074;1165;1280;2220;1973;1734;1138;883;748;877;1111;1002;1210;1375;2464;2398;2389;1586;1785
Ramos;41;RAMOS;10;X Ramos;Ramos;31;Área de Planejamento 3;3;1018;1165;1431;1409;1497;1673;3120;2755;2323;1345;1188;957;1131;1371;1361;1538;1772;3419;3149;2838;1989;2343
Realengo;139;REALENGO;33;XXXIII Realengo;Bangu;51;Área de Planejamento 5;5;5597;6281;7410;7226;7046;7298;12837;11577;9789;5530;4030;5341;5923;7161;6919;7389;7711;14438;13581;12187;7763;7089
Recreio dos Bandeirantes;132;BARRA DA TIJUCA;24;XXIV Barra da Tijuca;Barra da Tijuca;42;Área de Planejamento 4;4;2522;2495;2823;2778;3117;3722;7261;5884;4785;2760;1570;2506;2379;2642;2727;3374;3916;8105;6412;5154;3110;2198
Riachuelo;59;MEIER;13;XIII Méier;Méier;32;Área de Planejamento 3;3;274;279;340;367;439;504;895;774;823;496;481;289;254;337;369;473;535;969;1080;1041;733;901
Ribeira;91;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;37;Área de Planejamento 3;3;78;90;105;91;115;124;233;245;235;144;129;90;84;93;108;121;135;254;299;308;203;244
Ricardo de Albuquerque;109;ANCHIETA;22;XXII Anchieta;Pavuna;36;Área de Planejamento 3;3;884;1000;1212;1207;1089;1147;2131;2010;1620;959;670;807;998;1171;1162;1204;1216;2369;2275;1890;1197;1092
Rio Comprido;7;RIO COMPRIDO;3;III Rio Comprido;Centro;11;Área de Planejamento 1;1;1295;1360;1576;1629;1825;1830;3205;2667;2239;1304;1088;1257;1318;1505;1640;1980;2002;3651;3342;2941;1896;2214
Rocha;58;MEIER;13;XIII Méier;Méier;32;Área de Planejamento 3;3;174;183;310;273;298;351;668;642;534;325;295;161;200;240;268;310;341;718;692;705;498;580
Rocha Miranda;86;MADUREIRA;15;XV Madureira;Madureira;33;Área de Planejamento 3;3;1283;1409;1687;1657;1677;1696;3102;2816;2455;1469;1067;1252;1384;1673;1641;1727;1890;3504;3366;3240;2101;2092
Rocinha;154;ROCINHA;27;XXVII Rocinha;Zona Sul;21;Área de Planejamento 2;2;2883;2777;2924;2975;3987;4088;6499;3953;2495;1125;506;2879;2810;2888;3089;3846;3931;6160;4362;2909;1428;842
