bairro;codbnum;regiao_adm;codra;ra;rp;cod_rp;ap;area_plane;Sexo masculino, 0 a 4 anos;Sexo masculino, 5 a 9 anos;Sexo masculino, 10 a 14 anos;Sexo masculino, 15 a 19 anos;Sexo masculino, 20 a 24 anos;Sexo masculino, 25 a 29 anos;Sexo masculino, 30 a 39 anos;Sexo masculino, 40 a 49 anos;Sexo masculino, 50 a 59 anos;Sexo masculino, 60 a 69 anos;Sexo masculino, 70 anos ou mais;Sexo feminino, 0 a 4 anos;Sexo feminino, 5 a 9 anos;Sexo feminino, 10 a 14 anos;Sexo feminino, 15 a 19 anos;Sexo feminino, 20 a 24 anos;Sexo feminino, 25 a 29 anos;Sexo feminino, 30 a 39 anos;Sexo feminino, 40 a 49 anos;Sexo feminino, 50 a 59 anos;Sexo feminino, 60 a 69 anos;Sexo feminino, 70 anos ou mais
Saúde;1;PORTUARIA;1;I Portuária;Centro;11;Área de Planejamento 1;1;22;37;34;37;56;63;138;121;109;93;66;22;30;34;43;45;71;135;134;107;118;83
Gamboa;2;PORTUARIA;1;I Portuária;Centro;11;Área de Planejamento 1;1;322;400;381;380;473;493;854;792;617;442;231;345;350;343;377;506;472;972;927;716;593;405
Santo Cristo;3;PORTUARIA;1;I Portuária;Centro;11;Área de Planejamento 1;1;256;282;290;350;404;385;702;683;540;438;307;274;284;288;341;449;382;747;776;637;610;491
Caju;4;PORTUARIA;1;I Portuária;Centro;11;Área de Planejamento 1;1;750;933;830;866;992;953;1901;1739;1223;812;453;775;812;816;828;998;955;2143;2057;1446;1002;742
Centro;5;CENTRO;2;II Centro;Centro;11;Área de Planejamento 1;1;284;271;295;383;642;966;2084;1760;1562;1333;1126;283;273;305;409;656;982;2039;1738;1741;1889;2204
Catumbi;6;RIO COMPRIDO;3;III Rio Comprido;Centro;11;Área de Planejamento 1;1;303;373;396;397;486;503;832;792;648;450;381;355;359;390;405;501;561;921;940;834;691;667
Rio Comprido;7;RIO COMPRIDO;3;III Rio Comprido;Centro;11;Área de Planejamento 1;1;963;1171;1115;1051;1431;1408;3013;2738;2246;1703;1238;939;1208;1034;1135;1550;1652;3426;3333;2782;2438;2229
Cidade Nova;8;RIO COMPRIDO;3;III Rio Comprido;Centro;11;Área de Planejamento 1;1;92;120;146;134;190;179;339;347;275;245;158;117;130;126;147;193;221;333;369;341;287;250
Estácio;9;RIO COMPRIDO;3;III Rio Comprido;Centro;11;Área de Planejamento 1;1;629;775;582;611;759;764;1846;1655;1249;963;599;641;860;616;601;840;1073;2331;1893;1576;1283;1041
Imperial de São Cristóvão;10;SAO CRISTOVAO;7;VII São Cristóvão;Centro;11;Área de Planejamento 1;1;633;722;714;765;903;848;1925;1914;1485;1207;908;611;677;716;722;852;964;2095;2199;1773;1581;1610
Mangueira;11;SAO CRISTOVAO;7;VII São Cristóvão;Centro;11;Área de Planejamento 1;1;617;731;714;707;809;700;1227;1051;844;600;324;611;693;698;746;877;839;1556;1378;1139;888;619
Benfica;12;SAO CRISTOVAO;7;VII São Cristóvão;Centro;11;Área de Planejamento 1;1;529;694;654;726;764;743;1565;1441;1231;907;628;517;633;582;621;793;820;1628;1684;1449;1208;1087
Paquetá;13;PAQUETA;21;XXI Paquetá;Centro;11;Área de Planejamento 1;1;71;85;71;88;92;102;186;204;238;253;219;69;63;80;73;95;77;208;216;251;363;336
Santa Teresa;14;SANTA TEREZA;23;XXIII Santa Teresa;Centro;11;Área de Planejamento 1;1;760;926;864;913;1206;1448;3055;2630;2167;1706;1126;790;881;828;870;1272;1599;3159;2952;2516;2256;2006
Flamengo;15;BOTAFOGO;4;IV Botafogo;Zona Sul;21;Área de Planejamento 2;2;582;659;628;664;930;1355;3281;2741;2408;2300;2651;571;589;592;661;1033;1652;3787;3360;3170;3598;5578
Glória;16;BOTAFOGO;4;IV Botafogo;Zona Sul;21;Área de Planejamento 2;2;72;67;59;96;123;282;633;504;381;392;377;78;80;55;86;187;340;697;560;555;622;772
Laranjeiras;17;BOTAFOGO;4;IV Botafogo;Zona Sul;21;Área de Planejamento 2;2;719;930;780;790;939;1182;2725;2845;2303;2155;2113;636;783;794;787;981;1245;3102;3362;3046;3162;4180
Catete;18;BOTAFOGO;4;IV Botafogo;Zona Sul;21;Área de Planejamento 2;2;434;499;461;473;664;848;1777;1545;1212;1006;920;368;417;417;465;670;921;2109;1806;1582;1456;2097
Cosme Velho;19;BOTAFOGO;4;IV Botafogo;Zona Sul;21;Área de Planejamento 2;2;170;214;194;197;222;207;400;449;345;328;306;152;174;181;189;198;188;456;513;427;427;456
Botafogo;20;BOTAFOGO;4;IV Botafogo;Zona Sul;21;Área de Planejamento 2;2;1378;1550;1528;1489;2076;2820;6326;5410;4246;3731;3660;1310;1561;1444;1428;2144;3102;6885;6526;5521;5494;7041
Humaitá;21;BOTAFOGO;4;IV Botafogo;Zona Sul;21;Área de Planejamento 2;2;223;262;252;248;233;364;919;913;717;698;784;228;273;269;249;283;388;1018;1195;974;1125;1400
Urca;22;BOTAFOGO;4;IV Botafogo;Zona Sul;21;Área de Planejamento 2;2;125;129;115;105;110;96;350;490;309;256;270;124;155;108;112;117;155;441;476;355;310;474
Leme;23;COPACABANA;5;V Copacabana;Zona Sul;21;Área de Planejamento 2;2;178;210;215;220;313;405;959;822;761;629;779;211;230;219;221;356;472;999;938;868;938;1415
Copacabana;24;COPACABANA;5;V Copacabana;Zona Sul;21;Área de Planejamento 2;2;1632;1872;1866;2100;3162;4320;9514;8235;7335;7170;8027;1602;1843;1829;2093;3412;4815;10386;9547;9527;10647;16342
Ipanema;25;LAGOA;6;VI Lagoa;Zona Sul;21;Área de Planejamento 2;2;646;700;715;685;844;1029;2664;2456;2259;2163;2628;617;658;624;666;813;1149;2773;2810;2695;2860;4665
Leblon;26;LAGOA;6;VI Lagoa;Zona Sul;21;Área de Planejamento 2;2;594;669;719;690;816;941;2300;2546;2193;2286;2866;573;665;696;652;775;996;2650;3010;2737;3138;5011
Lagoa;27;LAGOA;6;VI Lagoa;Zona Sul;21;Área de Planejamento 2;2;407;427;421;381;400;389;1095;1341;1148;1215;1378;358;379;421;359;386;401;1225;1522;1429;1597;1919
Jardim Botânico;28;LAGOA;6;VI Lagoa;Zona Sul;21;Área de Planejamento 2;2;286;349;353;363;385;443;980;1053;1034;919;928;295;344;348;334;443;447;1084;1348;1299;1242;1566
Gávea;29;LAGOA;6;VI Lagoa;Zona Sul;21;Área de Planejamento 2;2;246;330;343;321;391;385;859;983;794;739;873;207;331;334;332;378;395;993;1196;1033;1181;1511
Vidigal;30;LAGOA;6;VI Lagoa;Zona Sul;21;Área de Planejamento 2;2;461;495;521;531;678;734;1257;988;771;516;345;388;498;446;562;692;666;1199;1198;953;675;523
São Conrado;31;LAGOA;6;VI Lagoa;Zona Sul;21;Área de Planejamento 2;2;154;205;228;227;269;287;618;671;564;584;737;178;226;192;210;260;287;650;785;724;751;913
Praça da Bandeira;32;TIJUCA;8;VIII Tijuca;Tijuca;22;Área de Planejamento 2;2;116;118;147;151;196;261;547;427;438;386;348;144;132;131;145;226;271;618;551;562;543;726
Tijuca;33;TIJUCA;8;VIII Tijuca;Tijuca;22;Área de Planejamento 2;2;2378;2922;2911;3067;3858;4583;9372;9073;8267;7713;7752;2278;2781;2762;3060;4076;4995;10489;11075;11018;11469;15753
Alto da Boa Vista;34;TIJUCA;8;VIII Tijuca;Tijuca;22;Área de Planejamento 2;2;205;258;244;321;390;352;676;699;614;555;397;205;225;228;279;336;334;623;755;725;678;634
Maracanã;35;VILA ISABEL;9;IX Vila Isabel;Tijuca;22;Área de Planejamento 2;2;429;430;486;525;679;736;1724;1565;1360;1290;1201;397;433;463;477;681;868;1881;1896;1735;1905;2280
Vila Isabel;36;VILA ISABEL;9;IX Vila Isabel;Tijuca;22;Área de Planejamento 2;2;1172;1445;1440;1533;1874;2186;4608;4199;3691;3556;3135;1155;1359;1378;1501;1931;2311;5191;5227;5021;5290;6427
Andaraí;37;VILA ISABEL;9;IX Vila Isabel;Tijuca;22;Área de Planejamento 2;2;678;839;817;824;968;1134;2494;2260;1967;1733;1622;643;726;666;759;1025;1291;2720;2825;2563;2766;3177
Grajaú;38;VILA ISABEL;9;IX Vila Isabel;Tijuca;22;Área de Planejamento 2;2;613;813;763;757;900;939;2109;2200;1938;1807;1633;621;710;712;733;912;1018;2379;2684;2575;2658;3315
Manguinhos;39;RAMOS;10;XX Ramos;Ramos;31;Área de Planejamento 3;3;964;1124;1187;1155;1308;1247;2081;1795;1273;984;474;945;1115;1111;1217;1405;1312;2276;2119;1649;1249;816
Bonsucesso;40;RAMOS;10;XX Ramos;Ramos;31;Área de Planejamento 3;3;334;404;411;450;570;611;1141;1085;1058;894;719;335;401;389;449;581;580;1220;1362;1299;1259;1290
Ramos;41;RAMOS;10;XX Ramos;Ramos;31;Área de Planejamento 3;3;729;877;881;959;1204;1144;2188;2252;2090;1847;1412;794;850;881;963;1151;1200;2466;2718;2658;2515;2649
Olaria;42;RAMOS;10;XX Ramos;Ramos;31;Área de Planejamento 3;3;1043;1346;1410;1498;1682;1689;3139;3272;3143;2559;2158;1083;1309;1366;1432;1725;1788;3633;4066;3979;3645;4230
Penha;43;PENHA;11;XI Penha;Penha;35;Área de Planejamento 3;3;1485;1758;1587;1726;1956;2025;4212;3735;3165;2884;1995;1449;1742;1461;1701;2245;2247;4730;4388;4167;3932;3820
Penha Circular;44;PENHA;11;XI Penha;Penha;35;Área de Planejamento 3;3;771;958;889;989;1236;1151;2519;2542;2206;1934;1486;851;904;806;910;1294;1174;2781;2943;2794;2661;2827
