bairro;codbnum;regiao_adm;codra;ra;rp;cod_rp;ap;area_plane;Sexo masculino, 0 a 4 anos;Sexo masculino, 5 a 9 anos;Sexo masculino, 10 a 14 anos;Sexo masculino, 15 a 19 anos;Sexo masculino, 20 a 24 anos;Sexo masculino, 25 a 29 anos;Sexo masculino, 30 a 39 anos;Sexo masculino, 40 a 49 anos;Sexo masculino, 50 a 59 anos;Sexo masculino, 60 a 69 anos;Sexo masculino, 70 anos ou mais;Sexo feminino, 0 a 4 anos;Sexo feminino, 5 a 9 anos;Sexo feminino, 10 a 14 anos;Sexo feminino, 15 a 19 anos;Sexo feminino, 20 a 24 anos;Sexo feminino, 25 a 29 anos;Sexo feminino, 30 a 39 anos;Sexo feminino, 40 a 49 anos;Sexo feminino, 50 a 59 anos;Sexo feminino, 60 a 69 anos;Sexo feminino, 70 anos ou mais
Abolição;70;MEIER;13;XIII Méier;Méier;32;Área de Planejamento 3;3;354;380;411;511;471;385;797;865;617;462;368;342;327;423;490;439;479;1007;1089;766;721;642
Acari;111;PAVUNA;25;XXV Pavuna;Pavuna;36;Área de Planejamento 3;3;1457;1350;1174;1244;1265;1080;1823;1305;697;366;208;1379;1256;1172;1379;1335;1141;1909;1396;808;527;379
Água Santa;67;MEIER;13;XIII Méier;Méier;32;Área de Planejamento 3;3;209;222;281;360;542;450;676;511;331;226;132;178;199;227;276;261;234;524;513;365;286;240
Alto da Boa Vista;34;TIJUCA;8;VIII Tijuca;Tijuca;22;Área de Planejamento 2;2;291;286;273;323;367;283;599;598;362;277;242;279;267;257;326;357;333;639;682;432;366;415
Anchieta;107;ANCHIETA;22;XXII Anchieta;Pavuna;36;Área de Planejamento 3;3;2510;2329;2447;2531;2359;2011;3933;3455;2015;1298;788;2387;2282;2318;2541;2466;2197;4440;4005;2456;1743;1297
Andaraí;37;VILA ISABEL;9;IX Vila Isabel;Tijuca;22;Área de Planejamento 2;2;1038;1135;1236;1468;1377;1250;2601;2616;1780;1398;1168;1040;1127;1209;1418;1585;1495;3142;3535;2485;2098;2339
Anil;116;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;41;Área de Planejamento 4;4;706;764;820;971;932;845;1540;1539;1088;661;406;681;717;716;1015;1009;905;1734;1839;1250;791;622
Bancários;97;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;37;Área de Planejamento 3;3;483;468;452;573;579;486;932;754;554;331;203;436;461;420;584;606;519;968;933;646;376;362
Bangu;141;BANGU;17;XVII Bangu;Bangu;51;Área de Planejamento 5;5;10458;10057;10120;11450;12090;10751;19329;15923;9612;5930;3664;9988;10067;9824;11009;10634;9949;19814;17819;11575;8159;6296
Barra da Tijuca;128;BARRA DA TIJUCA;24;XXIV Barra da Tijuca;Barra da Tijuca;42;Área de Planejamento 4;4;2480;2474;2926;3852;4049;3430;6471;7243;5871;3171;1921;2313;2425;2842;3817;4557;4077;7867;8353;6070;3199;2825
Barra de Guaratiba;152;GUARATIBA;26;XXVI Guaratiba;Guaratiba;54;Área de Planejamento 5;5;195;196;189;190;200;156;370;306;209;125;79;170;183;174;195;190;188;352;291;215;115;92
Barros Filho;112;PAVUNA;25;XXV Pavuna;Pavuna;36;Área de Planejamento 3;3;750;741;649;690;707;682;1151;935;579;306;207;737;653;632;761;683;634;1204;1077;652;450;343
Benfica;12;SAO CRISTOVAO;7;VII São Cristóvão;Centro;11;Área de Planejamento 1;1;739;682;723;845;859;784;1407;1222;786;511;389;709;649;738;799;910;815;1560;1427;989;772;702
Bento Ribeiro;89;MADUREIRA;15;XV Madureira;Madureira;33;Área de Planejamento 3;3;1547;1666;1803;2026;1852;1648;3192;3065;2106;1619;1066;1563;1580;1706;1921;1894;1804;3817;3761;2728;2267;1876
Bonsucesso;40;RAMOS;10;X Ramos;Ramos;31;Área de Planejamento 3;3;576;557;627;755;740;673;1373;1164;820;796;702;601;571;611;775;821;700;1492;1528;1162;1058;1196
Botafogo;20;BOTAFOGO;4;IV Botafogo;Zona Sul;21;Área de Planejamento 2;2;1746;2031;2222;2629;3088;2787;5852;5320;3810;2617;2454;1747;1922;2221;2686;3366;3243;6940;6997;5310;4234;5037
Brás de Pina;45;PENHA;11;XI Penha;Penha;35;Área de Planejamento 3;3;2134;2213;2212;2490;2409;2217;4352;3891;2642;1950;1298;2088;2072;2133;2505;2573;2355;4934;4661;3355;2748;2157
