ANO;IMUNO;COBERTURA;
2018;PNEUMO 10;101,26%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2019;PNEUMO 10;82,65%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2020;PNEUMO 10;80,03%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2021;PNEUMO 10;77,52%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2022;PNEUMO 10;68,60%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2023;PNEUMO 10;92,36%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2024;PNEUMO 10;95,66%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2025;PNEUMO 10;96,30%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2026;PNEUMO 10;86,18%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2016;POLIOMIELITE;101,21%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2017;POLIOMIELITE;103,76%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2018;POLIOMIELITE;98,70%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2019;POLIOMIELITE;78,67%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2020;POLIOMIELITE;76,40%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2021;POLIOMIELITE;75,52%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2022;POLIOMIELITE;66,80%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2023;POLIOMIELITE;91,52%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2024;POLIOMIELITE;95,27%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2025;POLIOMIELITE;93,64%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2026;POLIOMIELITE;84,78%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2016;ROTAVÍRUS;99,21%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2017;ROTAVÍRUS;96,20%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2018;ROTAVÍRUS;99,37%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2019;ROTAVÍRUS;78,38%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2020;ROTAVÍRUS;76,92%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2021;ROTAVÍRUS;81,90%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2022;ROTAVÍRUS;65,80%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2023;ROTAVÍRUS;90,99%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2024;ROTAVÍRUS;93,81%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2025;ROTAVÍRUS;95,36%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2026;ROTAVÍRUS;85,65%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2016;TRÍPLICE VIRAL D1;105,52%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2017;TRÍPLICE VIRAL D1;102,92%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2018;TRÍPLICE VIRAL D1;105,62%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2019;TRÍPLICE VIRAL D1;100,42%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2020;TRÍPLICE VIRAL D1;81,50%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2021;TRÍPLICE VIRAL D1;79,02%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2022;TRÍPLICE VIRAL D1;79,00%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
