Cor/raça;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;Total
Branca;1;366;318;339;365;326;284;285;266;175;243;204;182;205;208;182;202;194;186;181;189;128;133;153;129;118;118;105;110;93;5988
Preta;-;58;45;50;50;49;45;47;30;38;42;27;27;40;30;34;23;21;17;17;15;42;19;17;18;24;24;23;21;18;911
Amarela;-;4;3;4;-;2;-;1;-;-;-;-;-;-;2;-;-;-;1;2;-;-;-;1;1;-;1;1;-;-;23
Parda;-;198;199;200;214;181;199;244;195;171;162;187;209;223;240;221;231;258;241;262;258;228;230;206;224;213;185;198;161;198;6136
Indígena;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;1;-;-;1;5
Ignorado;1084;399;302;280;176;164;175;98;161;150;115;79;86;86;57;56;58;65;47;56;56;50;70;55;40;36;31;19;30;23;4104
Total;1085;1026;867;873;805;722;703;675;652;534;562;497;504;554;537;493;514;538;492;518;519;449;452;432;412;391;360;346;322;333;17167
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
