Bairro Residencia;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;Total
001 SAUDE;1;1;0;2;1;0;1;0;0;1;0;0;0;1;0;0;1;1;0;0;10
002 GAMBOA;0;1;2;0;1;0;1;0;1;4;0;0;3;0;1;0;3;4;1;2;24
003 SANTO CRISTO;1;1;2;2;1;1;4;1;0;0;1;0;0;2;2;0;2;1;0;1;22
004 CAJU;7;5;2;2;2;1;0;4;0;0;5;4;1;2;2;1;5;2;1;3;49
005 CENTRO;4;3;3;5;3;0;0;6;4;2;3;1;3;1;0;1;4;1;3;1;48
006 CATUMBI;3;1;2;2;1;4;0;1;5;4;0;1;2;1;2;0;3;1;0;4;37
007 RIO COMPRIDO;6;3;4;3;3;4;3;5;5;2;0;3;6;3;3;2;1;3;1;2;62
008 CIDADE NOVA;1;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;1;0;8
009 ESTACIO;4;0;0;1;3;2;1;1;1;1;0;0;2;1;0;4;1;4;5;3;34
010 SAO CRISTOVAO;3;5;7;9;7;5;5;1;3;3;3;3;0;0;2;1;1;1;1;0;60
011 MANGUEIRA;3;1;2;3;4;2;4;0;2;4;0;4;1;2;0;4;2;0;2;2;42
012 BENFICA;7;3;4;4;5;4;3;6;1;4;1;4;0;3;0;3;3;3;3;3;64
013 PAQUETA;0;2;0;0;0;1;2;0;0;1;1;0;0;0;0;0;1;0;1;0;9
014 SANTA TERESA;3;5;2;5;2;1;1;0;2;8;2;4;1;3;4;1;1;0;3;2;50
015 FLAMENGO;1;1;1;1;1;2;1;2;2;1;0;0;0;0;2;0;1;0;0;3;19
016 GLORIA;0;2;0;2;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;8
017 LARANJEIRAS;1;2;1;1;0;0;3;1;1;2;0;2;0;0;1;1;1;1;2;0;20
018 CATETE;2;0;0;1;0;2;1;0;0;1;0;0;1;1;0;0;1;0;0;0;10
019 COSME VELHO;1;0;0;0;3;1;0;0;0;0;1;0;2;0;0;1;0;0;1;1;11
020 BOTAFOGO;2;2;3;2;1;2;0;3;3;4;3;1;1;1;4;3;2;1;4;0;42
021 HUMAITA;0;0;0;1;1;2;0;0;0;0;1;0;0;0;0;0;0;1;0;0;6
022 URCA;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;5
023 LEME;2;0;0;0;2;2;1;2;1;2;2;0;0;0;0;1;0;0;1;1;17
024 COPACABANA;7;3;3;8;8;2;1;2;4;7;3;5;4;3;2;2;5;2;1;3;75
025 IPANEMA;1;1;0;2;1;2;0;1;1;2;3;1;2;1;0;0;1;0;0;5;24
026 LEBLON;1;1;2;0;2;0;0;2;3;3;1;0;0;1;2;2;0;1;2;0;23
027 LAGOA;2;2;0;1;0;0;1;0;0;0;1;1;0;1;1;0;0;0;0;1;11
028 JARDIM BOTANICO;1;0;0;0;0;1;0;1;2;0;0;0;0;0;2;0;0;0;0;0;7
029 GAVEA;0;1;0;0;2;0;0;0;0;0;1;3;0;0;1;0;0;0;1;1;10
030 VIDIGAL;2;2;1;0;0;1;3;1;2;2;2;1;1;0;1;1;1;0;2;1;24
031 SAO CONRADO;3;1;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;2;0;10
032 PRACA DA BANDEIRA;1;0;0;0;2;1;1;0;1;1;1;1;0;0;0;0;0;2;1;0;12
033 TIJUCA;9;9;5;10;5;5;3;9;4;4;4;8;4;6;3;3;6;3;1;3;104
034 ALTO DA BOA VISTA;1;1;0;1;0;0;0;1;0;0;1;2;1;0;0;0;0;0;0;1;9
035 MARACANA;2;2;1;1;1;1;0;0;0;0;0;1;2;0;0;0;1;1;0;0;13
036 VILA ISABEL;5;6;4;5;5;7;6;7;3;4;3;4;5;3;1;2;1;3;3;2;79
037 ANDARAI;2;2;2;2;0;1;1;2;0;1;1;0;2;2;5;1;1;2;2;1;30
038 GRAJAU;0;3;0;0;0;2;2;2;2;2;1;1;2;2;0;1;2;2;1;0;25
039 MANGUINHOS;2;4;4;4;4;2;5;2;2;4;6;4;5;1;2;2;2;3;2;4;64
040 BONSUCESSO;7;13;7;4;5;4;4;2;5;3;1;3;2;0;4;1;1;2;1;0;69
041 RAMOS;1;7;5;4;4;3;3;1;4;2;2;1;1;3;2;5;2;4;2;3;59
042 OLARIA;5;1;3;7;2;1;0;10;1;6;6;1;4;3;3;1;4;3;5;3;69
043 PENHA;5;6;11;5;5;7;8;4;3;1;6;6;5;6;9;6;2;4;3;4;106
044 PENHA CIRCULAR;0;0;2;1;4;4;1;2;4;6;4;3;1;5;3;1;3;2;6;4;56
045 BRAS DE PINA;8;3;4;5;4;2;4;9;1;4;2;4;4;3;4;3;2;0;2;3;71
046 CORDOVIL;5;4;4;5;6;2;3;3;4;2;1;6;3;8;4;3;4;6;3;5;81
047 PARADA DE LUCAS;3;1;3;1;1;2;1;2;2;2;2;0;2;1;4;2;1;2;2;1;35
048 VIGARIO GERAL;4;5;2;2;4;3;3;3;3;2;4;7;5;2;1;4;2;2;0;3;61
049 JARDIM AMERICA;7;4;7;5;4;3;2;2;3;1;2;2;3;1;2;0;0;1;2;1;52
050 HIGIENOPOLIS;1;0;0;0;0;1;3;1;0;1;2;0;1;0;0;1;2;0;2;0;15
051 JACARE;2;1;0;0;2;2;1;3;0;0;1;2;0;1;0;1;0;0;2;0;18
052 MARIA DA GRACA;0;0;1;0;1;0;0;0;0;1;0;0;1;1;0;0;1;1;0;0;7
053 DEL CASTILHO;0;0;2;2;2;2;1;0;0;1;1;2;1;1;0;3;1;0;1;2;22
054 INHAUMA;8;8;4;9;2;5;3;4;5;7;2;3;3;3;2;2;1;4;1;3;79
055 ENGENHO DA RAINHA;2;0;1;2;0;1;0;1;2;0;2;1;0;2;1;1;2;0;3;2;23
056 TOMAS COELHO;2;2;1;2;5;2;1;2;3;0;1;1;2;1;0;1;0;2;3;5;36
057 SAO FRANCISCO XAVIER;1;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;1;7
058 ROCHA;0;0;1;0;0;1;1;1;1;1;0;1;1;0;0;1;1;0;1;3;14
059 RIACHUELO;0;1;0;0;0;0;1;0;2;2;0;0;1;0;0;0;0;1;0;0;8
060 SAMPAIO;2;0;2;0;2;0;2;3;1;2;0;0;0;0;1;0;1;0;0;2;18
061 ENGENHO NOVO;4;1;2;3;4;6;3;3;1;3;3;3;0;1;4;4;3;1;6;1;56
062 LINS DE VASCONCELOS;2;5;2;6;3;2;4;5;4;1;1;4;1;2;5;2;3;2;2;2;58
063 MEIER;3;4;2;6;5;3;2;0;2;2;1;1;2;0;0;2;1;0;1;2;39
064 TODOS OS SANTOS;1;0;0;1;0;2;2;0;2;0;0;0;3;0;0;0;0;1;0;1;13
065 CACHAMBI;3;7;1;2;3;2;4;1;1;0;2;0;2;4;1;1;1;3;1;0;39
066 ENGENHO DE DENTRO;3;2;2;3;2;5;1;4;2;3;5;9;2;0;4;1;2;3;0;0;53
067 AGUA SANTA;0;0;1;0;0;0;1;0;0;1;0;0;2;1;1;1;0;0;2;1;11
068 ENCANTADO;1;2;1;0;1;1;1;2;0;1;0;0;1;1;0;0;1;0;0;1;14
069 PIEDADE;4;1;1;2;2;2;6;6;1;3;3;1;4;6;0;2;1;2;1;2;50
070 ABOLICAO;4;2;1;0;1;1;0;0;0;0;0;1;0;1;0;1;0;0;0;1;13
071 PILARES;0;4;5;1;3;3;4;1;2;2;4;1;1;4;0;5;2;2;1;1;46
072 VILA KOSMOS;0;2;0;0;0;0;0;1;1;1;2;3;0;0;0;0;0;1;1;0;12
073 VICENTE DE CARVALHO;2;1;2;2;3;2;4;4;3;1;1;0;2;4;1;1;0;1;2;1;37
074 VILA DA PENHA;4;1;1;2;2;3;0;3;1;0;0;0;0;2;1;4;1;1;0;0;26
075 VISTA ALEGRE;0;4;1;0;0;0;2;1;4;1;1;1;1;0;1;1;0;0;1;0;19
076 IRAJA;6;16;7;5;13;11;10;8;5;10;2;4;7;9;1;3;7;6;3;3;136
077 COLEGIO;3;1;4;2;4;1;2;3;9;1;2;2;3;4;3;2;4;5;1;4;60
078 CAMPINHO;3;2;1;0;3;1;0;0;0;1;1;0;2;2;0;0;1;1;2;1;21
079 QUINTINO BOCAIUVA;3;1;2;2;1;1;0;2;0;0;2;1;6;1;1;0;2;1;1;0;27
080 CAVALCANTE;1;3;3;2;2;1;0;1;0;1;3;1;1;5;1;0;3;0;0;1;29
081 ENGENHEIRO LEAL;0;0;0;0;1;1;0;1;0;0;2;1;1;0;1;0;1;0;0;1;10
