Bairro Residencia;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;Total
001 SAUDE;4;3;1;2;3;1;1;0;0;1;1;0;0;1;0;0;2;3;4;0;27
002 GAMBOA;0;2;3;2;1;1;1;1;1;7;3;0;3;2;2;2;5;5;1;2;44
003 SANTO CRISTO;4;2;2;4;2;3;4;3;1;2;1;0;0;5;4;2;5;4;1;3;52
004 CAJU;10;7;5;9;3;4;3;7;1;6;5;7;3;3;4;4;6;6;2;9;104
005 CENTRO;10;8;6;11;6;2;4;7;8;2;6;4;4;5;0;4;8;4;5;4;108
006 CATUMBI;4;3;7;4;2;5;2;2;5;6;1;4;2;2;3;2;5;1;2;5;67
007 RIO COMPRIDO;10;6;4;5;10;8;6;12;9;6;5;7;9;3;4;4;5;6;2;5;126
008 CIDADE NOVA;2;2;2;0;2;0;2;2;1;0;0;0;3;0;1;0;1;1;1;3;23
009 ESTACIO;9;0;2;2;4;8;2;3;6;4;4;2;3;2;0;4;5;5;6;4;75
010 SAO CRISTOVAO;8;10;18;14;12;8;6;5;5;6;5;5;0;2;5;5;2;1;2;3;122
011 MANGUEIRA;5;6;4;8;8;6;7;2;6;4;3;5;2;5;3;7;5;5;6;3;100
012 BENFICA;11;10;7;10;6;8;5;11;4;7;5;6;3;8;2;5;4;3;6;8;129
013 PAQUETA;0;2;0;0;0;1;2;0;0;3;1;0;0;0;0;0;1;1;2;0;13
014 SANTA TERESA;4;9;7;11;3;3;5;8;4;10;5;6;3;6;6;5;2;0;5;4;106
015 FLAMENGO;1;2;3;2;4;5;3;6;3;1;0;1;0;1;4;0;1;0;2;4;43
016 GLORIA;1;2;0;2;0;0;0;1;1;0;0;0;2;1;0;0;0;0;1;0;11
017 LARANJEIRAS;3;4;2;2;0;2;5;1;1;4;1;2;1;1;2;3;2;6;5;1;48
018 CATETE;4;1;1;1;0;4;3;1;1;4;1;0;4;3;1;1;1;1;1;0;33
019 COSME VELHO;1;0;0;1;3;2;1;2;0;2;2;1;2;1;1;2;0;1;3;2;27
020 BOTAFOGO;3;5;7;3;3;5;0;4;6;5;7;3;6;1;7;5;4;3;6;2;85
021 HUMAITA;0;2;0;1;1;3;0;0;0;0;1;0;1;1;0;0;2;1;0;1;14
022 URCA;1;0;1;0;0;1;0;1;0;1;0;0;0;0;1;0;2;1;0;0;9
023 LEME;2;4;0;0;2;3;1;2;2;2;3;0;0;1;1;2;1;1;1;1;29
024 COPACABANA;9;7;13;15;15;7;6;8;9;12;7;11;11;9;7;6;8;6;6;7;179
025 IPANEMA;1;1;3;3;4;3;0;3;2;3;3;2;3;2;1;0;2;1;0;6;43
026 LEBLON;2;3;4;1;3;2;0;3;3;4;2;2;0;2;3;4;0;4;6;2;50
027 LAGOA;2;2;1;1;0;0;1;0;0;1;1;2;1;1;1;0;1;3;2;3;23
028 JARDIM BOTANICO;1;0;0;0;2;1;0;1;3;1;0;1;0;0;2;1;0;0;0;0;13
029 GAVEA;2;4;2;0;3;1;0;2;0;2;2;4;1;2;2;0;0;1;1;2;31
030 VIDIGAL;3;3;2;2;2;2;4;2;6;3;2;3;5;3;3;2;2;3;6;2;60
031 SAO CONRADO;3;1;2;0;1;1;2;0;0;0;0;0;0;6;0;1;0;0;2;0;19
032 PRACA DA BANDEIRA;1;1;0;0;2;1;1;1;1;2;1;2;0;0;0;1;1;2;2;0;19
033 TIJUCA;14;18;22;20;15;14;8;12;10;9;13;14;14;8;11;11;9;7;12;8;249
034 ALTO DA BOA VISTA;1;2;0;1;1;1;1;1;1;3;2;2;1;2;1;0;0;2;0;2;24
035 MARACANA;2;3;1;1;2;2;0;1;0;0;0;2;3;0;0;1;4;1;1;0;24
036 VILA ISABEL;9;14;11;14;9;10;13;9;5;8;6;5;9;7;5;7;5;4;6;5;161
037 ANDARAI;4;4;6;4;0;2;2;4;0;5;3;5;4;4;9;3;3;2;2;2;68
038 GRAJAU;4;5;0;3;1;5;5;4;3;4;4;4;5;4;0;2;5;5;3;0;66
039 MANGUINHOS;8;8;10;7;9;6;16;9;6;8;10;8;12;4;7;3;5;7;8;8;159
040 BONSUCESSO;19;27;13;11;13;6;11;3;6;5;5;7;3;4;8;4;2;6;2;3;158
041 RAMOS;9;16;8;9;7;9;17;4;6;5;7;1;3;9;4;9;3;6;3;4;139
042 OLARIA;7;9;6;10;5;5;4;18;6;13;8;4;8;9;7;3;8;5;7;6;148
043 PENHA;10;15;19;17;14;17;17;19;7;7;11;13;9;10;15;11;8;8;14;7;248
044 PENHA CIRCULAR;1;2;4;2;9;7;4;5;7;10;6;14;6;9;5;2;8;5;8;8;122
045 BRAS DE PINA;9;6;6;6;9;5;7;13;3;15;10;6;12;3;9;6;2;6;2;9;144
046 CORDOVIL;7;8;11;13;11;10;8;8;8;8;7;11;6;11;4;5;7;11;6;10;170
047 PARADA DE LUCAS;5;5;8;3;3;4;2;3;3;4;2;2;6;5;6;2;4;5;4;4;80
048 VIGARIO GERAL;5;6;6;7;8;6;6;7;7;6;10;12;12;5;6;6;4;5;1;4;129
049 JARDIM AMERICA;13;7;15;7;6;8;6;2;7;3;4;4;7;2;8;1;3;3;5;2;113
050 HIGIENOPOLIS;3;2;0;2;1;1;4;1;4;1;3;0;2;1;0;2;3;1;3;0;34
051 JACARE;4;4;3;3;6;5;6;3;3;4;4;2;1;4;2;5;2;0;2;0;63
052 MARIA DA GRACA;0;0;2;0;2;0;0;0;0;2;0;1;1;1;0;0;1;2;2;1;15
053 DEL CASTILHO;4;3;4;5;2;5;1;0;3;5;3;4;4;2;3;4;3;0;1;3;59
054 INHAUMA;14;16;14;17;6;15;9;9;10;10;3;6;5;7;4;5;6;10;5;6;177
055 ENGENHO DA RAINHA;3;2;4;6;1;3;1;8;4;1;7;4;2;3;4;3;3;0;7;3;69
056 TOMAS COELHO;4;4;2;5;6;2;1;5;7;0;2;2;4;3;1;3;2;4;6;6;69
057 SAO FRANCISCO XAVIER;2;0;2;0;2;2;0;1;0;0;1;1;2;1;0;1;0;2;1;1;19
058 ROCHA;0;0;2;2;0;2;2;2;2;2;1;1;2;2;2;3;3;1;1;5;35
059 RIACHUELO;0;1;0;2;0;0;1;0;2;6;0;1;2;1;0;0;1;1;0;2;20
060 SAMPAIO;2;1;5;3;4;0;5;6;2;6;3;2;1;0;1;0;1;1;1;3;47
061 ENGENHO NOVO;8;4;6;8;12;11;4;3;5;6;7;6;5;3;8;6;5;5;8;3;123
062 LINS DE VASCONCELOS;10;12;5;8;9;5;5;12;7;7;3;4;1;4;8;6;4;5;4;3;122
063 MEIER;5;7;5;13;8;3;4;3;5;3;3;2;5;1;3;2;2;3;1;6;84
064 TODOS OS SANTOS;1;1;1;1;0;3;2;0;2;1;1;1;3;0;1;1;0;2;1;1;23
065 CACHAMBI;6;9;5;4;5;6;6;2;5;2;8;0;2;5;2;2;3;4;1;3;80
066 ENGENHO DE DENTRO;5;9;4;7;4;8;4;7;5;8;7;14;6;3;9;3;6;4;0;3;116
067 AGUA SANTA;0;1;2;1;1;3;2;0;0;1;1;2;4;1;1;1;0;0;3;1;25
068 ENCANTADO;2;2;1;0;3;2;1;4;0;3;3;1;1;1;1;0;2;0;1;1;29
069 PIEDADE;7;5;5;9;5;5;13;11;7;6;7;5;6;10;0;2;2;4;4;3;116
070 ABOLICAO;6;3;2;0;1;1;1;0;0;0;1;2;0;1;1;1;0;0;0;2;22
071 PILARES;1;5;7;3;4;3;6;2;6;4;4;4;1;6;2;7;3;7;4;2;81
072 VILA KOSMOS;0;2;3;0;0;0;1;2;1;3;2;4;3;3;0;1;3;2;1;1;32
073 VICENTE DE CARVALHO;5;3;6;6;6;6;5;10;5;2;1;1;4;9;3;4;2;1;2;1;82
