Bairro Residencia;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;Total
060 SAMPAIO;0;1;5;1;3;0;2;2;0;1;2;0;0;0;0;0;1;1;0;2;21
061 ENGENHO NOVO;4;0;3;2;6;8;2;2;4;5;2;3;2;0;3;4;4;2;4;2;62
062 LINS DE VASCONCELOS;4;5;4;4;3;3;2;3;5;3;1;1;0;4;5;2;1;3;3;0;56
063 MEIER;0;1;0;2;2;2;1;1;2;2;0;0;1;1;1;1;0;0;1;2;20
064 TODOS OS SANTOS;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;1;0;1;0;0;6
065 CACHAMBI;1;0;1;2;2;2;1;0;3;1;4;0;2;2;0;1;0;0;0;0;22
066 ENGENHO DE DENTRO;2;2;1;4;0;5;2;5;1;3;1;5;1;3;5;1;2;2;0;1;46
067 AGUA SANTA;0;1;0;0;1;3;1;0;0;1;1;0;2;0;0;0;0;0;2;1;13
068 ENCANTADO;1;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;0;0;0;1;7
069 PIEDADE;1;1;1;2;3;2;7;4;3;2;3;2;0;3;0;0;0;2;1;3;40
070 ABOLICAO;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;5
071 PILARES;0;2;4;2;1;1;1;0;2;3;2;2;1;4;2;1;2;2;2;0;34
072 VILA KOSMOS;0;0;0;0;0;0;1;1;1;1;0;2;1;0;0;1;0;1;0;0;9
073 VICENTE DE CARVALHO;2;3;2;1;3;4;2;7;1;0;1;0;3;3;1;1;2;1;1;0;38
074 VILA DA PENHA;0;1;1;4;2;1;1;2;0;0;0;0;0;2;0;2;1;1;0;0;18
075 VISTA ALEGRE;0;0;0;0;0;0;1;0;4;1;1;1;0;0;0;1;0;0;1;0;10
076 IRAJA;5;11;12;4;6;6;5;7;5;9;4;5;5;5;2;7;6;9;2;3;118
077 COLEGIO;4;4;3;2;4;3;3;1;5;1;2;3;4;4;3;4;6;4;1;2;63
078 CAMPINHO;0;1;3;0;3;1;0;0;0;0;0;0;2;1;0;0;1;1;3;2;18
079 QUINTINO BOCAIUVA;2;1;2;1;3;2;4;1;0;1;3;0;0;1;0;4;3;1;0;0;29
080 CAVALCANTE;0;2;4;2;2;1;0;3;0;2;2;2;2;3;2;1;3;2;0;1;34
081 ENGENHEIRO LEAL;0;0;0;0;1;1;0;0;0;0;3;1;0;0;1;1;0;1;1;1;11
082 CASCADURA;1;3;0;0;7;1;0;1;1;2;4;1;5;3;1;1;2;3;1;1;38
083 MADUREIRA;2;5;10;4;5;2;5;5;5;4;3;3;4;3;2;8;1;5;5;2;83
084 VAZ LOBO;1;0;0;0;0;2;2;1;4;0;4;0;0;4;2;2;1;2;3;1;29
085 TURIACU;0;0;2;1;1;0;3;0;3;2;1;4;3;5;2;0;1;4;1;0;33
086 ROCHA MIRANDA;3;0;1;3;3;1;3;3;4;5;3;4;6;4;3;2;5;4;1;2;60
087 HONORIO GURGEL;2;0;1;3;4;1;0;1;2;3;1;2;2;2;2;1;2;4;3;0;36
088 OSWALDO CRUZ;0;3;2;1;1;2;2;0;1;2;0;3;3;1;1;1;1;6;1;1;32
