Causas evitáveis;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;Total
1. Causas evitáveis;889;849;714;708;653;558;557;504;449;404;444;377;379;455;417;375;400;420;377;408;393;337;366;339;325;301;285;276;246;269;13474
1.1. Reduzível pelas ações de imunização;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
.. Meningite por Haemophilus;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
.. Síndrome da rubéola congênita;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
1.2.1 Reduzíveis atenção à mulher na gestação;355;342;316;336;322;262;303;243;255;227;255;211;214;269;260;241;271;281;238;242;235;213;229;191;199;172;167;168;174;183;7374
.. Sífilis congênita;9;21;18;19;12;14;19;8;19;10;10;2;5;7;11;14;22;15;10;13;7;10;9;4;14;7;7;5;5;8;334
.. Feto e recém-nasc afet compl placenta membranas;15;8;8;16;9;6;8;11;11;7;15;9;8;5;15;12;25;18;10;21;25;21;16;15;10;12;15;25;22;26;424
.. Feto e recém-nascido afet afecções maternas;11;6;39;50;60;15;62;14;50;40;63;43;49;70;78;78;93;101;71;81;75;65;67;76;71;60;61;51;69;68;1737
.. Feto e recém-nasc afet por compl matern gravid;15;19;34;47;61;25;27;14;27;26;34;23;39;47;42;51;53;50;43;43;31;36;46;24;41;37;29;39;49;43;1095
.. Crescimento fetal retardado e desnutrição fetal;1;-;1;1;1;-;2;1;-;4;-;2;1;2;1;1;-;1;2;1;1;2;6;4;3;1;3;3;2;7;54
.. Transt gest curta duração e peso baixo nascer;92;62;20;8;12;15;25;41;31;24;39;21;27;33;27;13;12;21;22;23;13;18;24;19;11;16;21;15;3;3;711
.. Síndrome da angústia respiratória recém-nascido;195;208;174;180;149;171;148;139;104;108;88;102;77;96;83;66;56;62;70;44;72;54;42;41;39;23;23;25;21;25;2685
.. Hemorragia pulmonar originada período perinatal;10;6;9;3;5;7;7;6;9;4;2;4;4;4;2;3;5;9;3;10;7;4;10;5;6;11;4;2;2;2;165
.. Hemorragia intracran ñ traum feto e recém-nasc;2;3;8;7;5;4;1;5;2;2;2;3;1;2;1;1;-;-;1;-;4;-;-;-;1;3;-;-;-;1;59
.. Isoimunização Rh ou ABO do feto e recém-nascido;1;3;1;2;2;2;1;1;-;-;-;-;1;1;-;-;1;2;-;1;-;1;3;1;-;-;-;-;-;-;24
.. Out doenç hemolít feto recém-nasc dev isoimuniz;2;2;2;2;-;-;1;-;-;1;1;1;-;2;-;1;-;1;2;1;-;-;2;-;1;-;1;1;-;-;24
.. Enterocolite necrotizante feto e recém-nascido;2;4;2;1;6;3;2;3;2;1;1;1;2;-;-;1;4;1;4;4;-;2;4;2;2;2;3;2;1;-;62
1.2.2 Reduz por adequada atenção à mulher no parto;152;153;154;132;132;107;93;94;70;58;68;88;80;89;74;68;57;53;53;70;58;62;66;84;63;60;56;56;42;50;2442
.. Feto recém-nasc afet placent prév descol placen;19;14;21;20;29;12;24;9;11;11;19;15;18;22;20;20;15;18;10;19;7;11;17;20;12;16;10;10;4;8;461
.. Feto e recém-nasc afet afecções cordão umbilic;5;4;7;3;4;-;5;4;3;2;6;4;1;2;2;5;2;1;2;4;2;6;2;5;4;1;2;2;2;1;93
.. Feto recém-nasc afet outr complicações parto;1;-;2;4;4;3;1;1;4;1;2;5;8;16;8;8;7;1;3;2;9;4;4;12;7;9;11;11;10;16;174
.. Traumatismo de parto;-;3;1;1;-;-;1;-;-;-;1;1;-;-;1;-;-;-;-;-;1;1;-;-;-;-;1;1;1;-;14
.. Hipóxia intrauterina e asfixia ao nascer;88;98;84;77;70;67;55;66;40;35;29;45;39;36;29;23;19;21;25;35;26;35;33;30;32;28;25;22;14;22;1248
.. Síndr aspiração neonat excet leite alim regurg;39;34;39;27;25;25;7;14;12;9;11;18;14;13;14;12;14;12;13;10;13;5;10;17;8;6;7;10;11;3;452
1.2.3 Reduzíveis adequada atenção ao recém-nascido;370;343;236;233;196;186;158;166;123;116;117;76;85;96;81;65;67;86;85;96;100;58;70;63;62;68;59;50;30;36;3577
