Bairro Residencia;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;Total
060 SAMPAIO;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;1;0;5
061 ENGENHO NOVO;1;0;0;1;1;2;0;0;2;0;0;2;2;2;1;1;0;2;1;2;20
062 LINS DE VASCONCELOS;1;3;1;0;2;0;0;3;1;3;1;0;0;1;1;2;0;1;0;0;20
063 MEIER;1;0;0;2;1;0;2;0;2;1;2;1;1;1;0;0;0;2;0;2;18
064 TODOS OS SANTOS;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2
065 CACHAMBI;0;1;2;1;0;1;1;0;2;2;1;0;0;0;0;1;2;1;0;2;17
066 ENGENHO DE DENTRO;0;3;1;1;0;0;1;1;2;0;0;0;0;0;2;2;2;0;0;0;15
067 AGUA SANTA;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2
068 ENCANTADO;0;0;0;0;1;0;0;2;0;0;2;1;0;0;1;0;0;0;0;0;7
069 PIEDADE;0;2;1;3;0;0;2;2;4;0;3;0;2;1;0;0;0;1;2;0;23
070 ABOLICAO;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
071 PILARES;1;0;0;0;0;0;0;0;1;1;0;2;0;1;1;1;0;2;2;0;12
072 VILA KOSMOS;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;3
073 VICENTE DE CARVALHO;0;1;1;1;1;0;1;1;0;0;0;0;2;3;1;1;0;0;0;0;13
074 VILA DA PENHA;0;1;1;1;3;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;10
075 VISTA ALEGRE;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2
076 IRAJA;4;0;3;1;2;1;3;5;4;3;4;2;1;3;1;0;1;1;0;1;40
077 COLEGIO;3;1;2;1;1;0;1;0;0;0;1;1;2;1;0;0;2;2;2;0;20
078 CAMPINHO;0;1;2;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;6
079 QUINTINO BOCAIUVA;0;0;0;0;1;1;2;0;2;1;0;1;1;1;2;2;1;0;1;0;16
080 CAVALCANTE;0;1;2;1;0;0;0;2;0;0;0;1;1;0;3;0;0;1;1;1;14
081 ENGENHEIRO LEAL;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;3
082 CASCADURA;0;3;1;0;2;1;0;0;1;0;0;0;4;1;0;0;0;3;0;1;17
083 MADUREIRA;2;0;0;3;0;1;3;1;1;3;0;1;2;2;1;1;1;1;1;2;26
084 VAZ LOBO;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;1;1;6
085 TURIACU;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;2;0;0;6
086 ROCHA MIRANDA;0;0;0;2;1;2;1;4;0;1;0;0;3;2;0;1;0;4;0;0;21
087 HONORIO GURGEL;3;0;1;0;3;0;0;0;1;2;0;0;1;0;1;0;2;0;1;1;16
088 OSWALDO CRUZ;1;3;1;0;1;2;2;0;0;1;0;0;1;0;0;1;1;2;0;0;16
089 BENTO RIBEIRO;2;1;1;0;0;1;1;1;2;1;1;4;0;1;0;4;1;3;0;1;25
090 MARECHAL HERMES;2;0;2;0;1;1;2;2;1;2;1;3;0;2;0;2;1;1;0;2;25
093 CACUIA;0;1;0;0;0;0;0;3;2;0;1;0;1;1;1;0;0;0;0;0;10
094 PITANGUEIRAS;0;1;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;1;0;6
095 PRAIA DA BANDEIRA;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;3
096 COCOTA;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2
097 BANCARIOS;0;0;1;1;1;0;0;0;0;1;0;1;0;0;1;1;2;1;0;0;10
098 FREGUESIA-ILHA;1;1;0;1;0;0;1;0;0;0;1;0;2;0;1;0;0;0;1;0;9
099 JARDIM GUANABARA;1;0;1;0;1;0;0;0;0;0;0;1;1;0;0;3;0;1;0;0;9
100 JARDIM CARIOCA;2;0;2;0;1;0;1;0;1;0;1;1;0;2;1;1;1;0;1;0;15
101 TAUA;0;0;2;2;0;0;0;1;1;0;2;0;1;2;0;0;1;0;0;1;13
102 MONERO;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
103 PORTUGUESA;2;0;2;0;0;0;1;0;0;3;0;1;0;0;0;0;0;0;0;0;9
104 GALEAO;1;0;0;0;1;0;0;2;2;0;0;1;1;2;0;1;0;1;1;0;13
105 CIDADE UNIVERSITARIA;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
106 GUADALUPE;4;3;2;2;0;0;1;1;1;2;0;0;2;1;4;1;1;2;2;0;29
107 ANCHIETA;2;1;2;2;2;2;5;4;2;2;1;0;2;5;3;4;0;1;3;0;43
108 PARQUE ANCHIETA;1;1;0;0;2;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0;8
109 RICARDO ALBUQUERQUE;0;2;0;0;2;0;0;0;1;1;2;0;1;0;0;0;0;0;1;0;10
110 COELHO NETO;1;0;1;2;1;1;3;0;0;1;1;0;3;0;0;1;0;0;1;0;16
111 ACARI;0;0;1;1;4;1;2;0;0;2;1;5;2;2;2;0;2;0;1;2;28
112 BARROS FILHO;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;3;2;1;0;10
113 COSTA BARROS;0;5;1;2;3;1;3;2;1;2;3;1;1;3;1;1;3;2;1;0;36
114 PAVUNA;1;1;3;4;1;5;5;2;3;5;1;3;6;3;5;3;0;6;2;0;59
115 JACAREPAGUA;5;5;0;4;7;3;7;5;6;8;8;9;8;2;8;9;3;6;1;8;112
116 ANIL;1;1;0;0;1;1;2;2;3;0;0;0;1;1;1;0;0;0;0;0;14
117 GARDENIA AZUL;0;1;3;1;3;2;1;1;1;1;0;2;0;2;0;0;1;0;0;1;20
118 CIDADE DE DEUS;1;3;5;1;5;2;5;3;4;4;1;1;1;3;2;1;0;1;1;2;46
119 CURICICA;4;0;2;5;1;1;2;0;1;1;3;2;0;1;0;1;1;1;2;1;29
120 FREGUESIA-JPA;1;0;1;2;2;1;0;0;1;1;3;0;2;2;3;0;0;1;1;1;22
121 PECHINCHA;0;0;0;1;0;0;1;3;1;1;1;0;0;0;0;0;0;0;2;1;11
122 TAQUARA;2;2;2;2;4;2;6;1;2;4;3;5;2;2;3;4;1;4;2;2;55
123 TANQUE;2;2;2;1;1;1;0;2;1;0;2;1;2;0;1;0;1;2;0;3;24
124 PRACA SECA;1;0;1;1;1;2;1;0;1;4;1;2;4;2;0;3;2;4;1;1;32
125 VILA VALQUEIRE;1;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;7
127 ITANHANGA;0;1;1;2;2;0;0;1;4;1;2;4;0;0;2;1;1;5;2;2;31
128 BARRA DA TIJUCA;4;1;0;1;2;4;2;2;0;4;0;2;3;2;3;6;0;0;0;2;38
129 CAMORIM;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
130 VARGEM PEQUENA;0;0;0;0;0;0;0;1;1;1;0;1;1;0;1;0;1;0;1;1;9
131 VARGEM GRANDE;1;0;0;0;1;0;0;1;0;0;0;2;0;3;1;1;0;0;0;0;10
132 RECREIO BANDEIRANTES;1;1;0;3;3;1;0;1;3;1;2;3;2;3;1;2;3;0;5;1;36
134 DEODORO;1;2;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;7
135 VILA MILITAR;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;3
136 CAMPO DOS AFONSOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
137 JARDIM SULACAP;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2
138 MAGALHAES BASTOS;0;3;1;0;1;2;1;1;1;1;1;1;0;0;3;1;1;0;2;2;22
139 REALENGO;6;8;7;9;5;5;12;6;4;9;7;3;10;11;9;4;0;1;10;5;131
140 PADRE MIGUEL;5;2;1;1;2;3;4;1;2;0;1;3;3;1;1;3;0;0;4;1;38
141 BANGU;7;7;4;13;8;7;16;12;10;7;6;10;4;6;11;6;3;1;2;3;143
142 SENADOR CAMARA;2;2;5;3;4;5;9;4;4;6;5;4;2;4;6;2;0;6;2;3;78
143 SANTISSIMO;4;1;1;3;0;2;1;3;1;0;1;0;2;0;2;0;0;1;1;2;25
144 CAMPO GRANDE;19;13;20;10;10;17;7;16;11;5;13;6;10;7;14;7;6;10;6;12;219
145 SENADOR VASCONCELOS;0;0;0;0;0;0;0;0;3;0;0;1;1;2;1;1;0;0;0;0;9
146 INHOAIBA;1;2;3;0;2;4;1;2;2;3;1;2;5;2;4;4;0;3;2;1;44
147 COSMOS;3;2;1;0;1;1;4;1;3;3;0;2;2;2;3;4;5;1;5;3;46
