Bairro Residencia,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
086 ROCHA MIRANDA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
088 OSWALDO CRUZ,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
089 BENTO RIBEIRO,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
090 MARECHAL HERMES,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,5
093 CACUIA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
094 PITANGUEIRAS,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
098 FREGUESIA-ILHA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
099 JARDIM GUANABARA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100 JARDIM CARIOCA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
101 TAUA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
102 MONERO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
103 PORTUGUESA,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4
104 GALEAO,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
106 GUADALUPE,1,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,5
107 ANCHIETA,2,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7
109 RICARDO ALBUQUERQUE,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,4
110 COELHO NETO,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,5
111 ACARI,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,6
112 BARROS FILHO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
113 COSTA BARROS,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,6
114 PAVUNA,1,1,2,0,1,0,0,2,1,0,0,1,0,0,2,1,0,1,0,1,14
115 JACAREPAGUA,1,2,1,0,0,0,0,1,1,0,1,0,0,2,0,1,0,0,1,0,11
116 ANIL,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
