Causas evitáveis;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;Total
1. Causas evitáveis;461;409;327;317;286;255;205;227;212;197;201;221;238;246;200;224;221;211;183;209;212;163;171;168;139;157;143;133;137;134;6607
1.1. Reduzível pelas ações de imunização;7;7;6;4;2;2;1;2;4;-;2;3;3;1;2;4;3;-;3;5;1;2;-;2;1;1;2;-;-;1;71
.. Tuberculose do sistema nervoso;1;2;2;1;1;1;1;1;-;-;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
.. Tuberculose miliar;1;-;-;2;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;1;-;-;-;1;-;1;1;-;-;-;10
.. Coqueluche;-;1;-;-;-;-;-;-;1;-;2;-;-;1;-;1;3;-;1;3;1;1;-;-;-;-;-;-;-;-;15
.. Meningite por Haemophilus;3;2;4;1;-;1;-;-;1;-;-;-;-;-;1;1;-;-;1;1;-;1;-;-;1;-;-;-;-;1;19
.. Síndrome da rubéola congênita;2;2;-;-;1;-;-;1;2;-;-;2;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;13
.. Hepatite viral congênita;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
1.2.1 Reduzíveis atenção à mulher na gestação;24;35;21;27;28;15;14;16;20;21;22;21;28;34;39;28;27;36;28;33;28;15;15;23;27;21;11;8;14;16;695
.. Sífilis congênita;2;5;2;2;1;1;3;-;1;1;3;1;1;3;7;3;1;5;2;2;1;-;-;1;3;2;-;1;-;1;55
.. Doenças pelo vírus da imunodeficiência humana;6;13;5;10;9;5;6;6;4;1;2;1;5;1;1;1;2;3;2;1;-;-;3;5;-;-;-;-;1;-;93
.. Feto e recém-nasc afet compl placenta membranas;1;-;-;1;1;1;-;-;-;2;-;1;2;-;2;2;2;1;3;5;2;1;-;2;-;1;-;-;-;2;32
.. Feto e recém-nascido afet afecções maternas;2;-;-;6;-;2;1;-;1;8;9;3;3;13;18;9;7;11;10;8;8;3;3;5;9;3;2;3;2;3;152
.. Feto e recém-nasc afet por compl matern gravid;-;-;1;2;3;1;1;2;1;1;-;1;1;7;5;3;2;2;-;5;2;5;2;1;-;-;2;2;-;2;54
.. Crescimento fetal retardado e desnutrição fetal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
.. Transt gest curta duração e peso baixo nascer;1;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;4
.. Síndrome da angústia respiratória recém-nascido;5;3;6;-;7;1;-;2;4;3;4;7;6;2;3;4;1;5;2;3;3;1;1;-;2;-;2;-;1;2;80
.. Hemorragia pulmonar originada período perinatal;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;3
.. Hemorragia intracran ñ traum feto e recém-nasc;-;-;-;-;1;2;-;1;-;1;-;-;-;1;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;9
.. Out doenç hemolít feto recém-nasc dev isoimuniz;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
.. Enterocolite necrotizante feto e recém-nascido;6;14;7;6;5;2;3;5;8;4;4;6;10;7;2;6;12;6;8;9;11;5;6;9;13;15;4;2;10;6;211
1.2.2 Reduz por adequada atenção à mulher no parto;2;5;5;1;13;12;7;9;3;11;2;9;17;12;2;4;7;7;5;6;10;5;6;6;8;10;4;2;1;7;198
.. Feto recém-nasc afet placent prév descol placen;-;1;1;-;1;2;-;2;-;1;-;1;1;3;1;-;1;1;1;1;2;1;-;3;2;-;1;-;-;-;27
