Bairro Residencia;2006;2007;2011;2012;2016;2017;2020;2022;2025;Total
030 VIDIGAL;0;0;0;0;0;0;0;0;1;1
048 VIGARIO GERAL;0;0;0;0;0;0;1;0;0;1
061 ENGENHO NOVO;0;1;0;0;0;0;0;0;0;1
071 PILARES;0;0;0;0;1;0;0;0;0;1
090 MARECHAL HERMES;0;0;0;0;1;0;0;0;0;1
109 RICARDO ALBUQUERQUE;0;0;0;0;0;1;0;0;0;1
142 SENADOR CAMARA;0;0;1;0;0;0;0;0;0;1
149 SANTA CRUZ;0;0;0;0;0;0;0;1;0;1
EM BRANCO;1;0;1;1;0;0;0;0;0;3
Total;1;1;2;1;2;1;1;1;1;11
