Bairro Residencia;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;Total
073 VICENTE DE CARVALHO;96;159;171;149;180;162;200;162;138;126;110;111;90;78;97;2029
074 VILA DA PENHA;95;167;185;127;93;82;79;81;102;78;44;50;46;41;60;1330
075 VISTA ALEGRE;44;46;59;55;39;41;32;37;45;30;20;18;18;23;24;531
076 IRAJA;312;512;510;528;540;494;476;487;418;371;354;353;361;312;297;6325
077 COLEGIO;134;216;217;239;251;242;249;221;173;187;198;182;159;129;137;2934
078 CAMPINHO;50;72;104;89;70;86;68;71;80;65;50;40;35;39;50;969
079 QUINTINO BOCAIUVA;75;133;149;164;181;187;163;173;134;136;128;119;97;96;96;2031
080 CAVALCANTE;60;93;98;130;148;129;129;139;105;112;96;91;79;74;74;1557
081 ENGENHEIRO LEAL;13;35;22;24;55;48;41;33;28;40;34;33;38;25;31;500
082 CASCADURA;91;183;199;193;204;204;213;187;197;163;157;154;146;117;108;2516
083 MADUREIRA;239;411;351;340;370;349;332;306;304;262;241;230;179;194;195;4303
084 VAZ LOBO;69;94;104;97;122;118;121;103;104;102;101;71;81;67;70;1424
085 TURIACU;64;91;73;74;102;82;118;103;78;83;78;81;63;64;62;1216
086 ROCHA MIRANDA;151;275;284;325;306;279;277;295;223;217;223;177;156;177;131;3496
087 HONORIO GURGEL;109;143;165;162;167;158;174;187;152;135;112;115;89;90;89;2047
088 OSWALDO CRUZ;86;142;155;182;199;166;170;186;133;123;139;116;114;92;98;2101
089 BENTO RIBEIRO;163;265;243;228;243;245;201;223;189;191;165;151;149;114;133;2903
090 MARECHAL HERMES;197;253;312;308;285;224;211;241;184;204;217;150;222;153;142;3303
091 RIBEIRA;3;5;7;8;4;4;9;7;2;6;6;9;4;6;8;88
092 ZUMBI;10;9;8;12;10;12;7;4;7;4;7;9;8;5;7;119
093 CACUIA;32;52;40;67;61;57;58;45;51;46;33;42;38;36;43;701
094 PITANGUEIRAS;31;52;61;76;91;81;77;34;49;41;46;39;45;42;39;804
095 PRAIA DA BANDEIRA;12;15;12;10;31;12;13;12;9;12;10;3;15;10;12;188
096 COCOTA;26;44;37;44;52;23;30;30;34;35;35;21;12;12;20;455
097 BANCARIOS;59;98;112;118;129;95;88;84;80;75;66;81;68;58;65;1276
