Bairro Residencia;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;Total
065 CACHAMBI;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
066 ENGENHO DE DENTRO;0;3;0;0;1;0;0;0;0;0;1;1;0;0;1;0;1;1;0;0;9
067 AGUA SANTA;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2
068 ENCANTADO;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
069 PIEDADE;1;1;0;2;0;0;0;2;1;0;0;1;0;1;0;0;0;0;1;0;10
070 ABOLICAO;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
071 PILARES;1;1;0;1;1;0;1;2;1;0;0;1;0;1;0;1;1;1;0;1;14
072 VILA KOSMOS;0;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4
073 VICENTE DE CARVALHO;0;0;1;1;0;0;0;0;0;1;0;1;1;1;0;3;0;0;1;0;10
074 VILA DA PENHA;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
075 VISTA ALEGRE;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
076 IRAJA;3;0;1;0;4;1;0;0;0;1;1;2;0;1;0;0;0;0;0;0;14
077 COLEGIO;0;0;1;1;0;0;0;2;0;0;0;0;1;0;0;0;2;1;0;0;8
078 CAMPINHO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;2
079 QUINTINO BOCAIUVA;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;4
080 CAVALCANTE;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;7
082 CASCADURA;2;0;2;0;0;0;0;0;0;0;2;0;0;1;0;0;1;0;1;0;9
083 MADUREIRA;2;2;0;1;2;2;2;2;3;1;0;0;1;0;0;0;1;1;2;0;22
084 VAZ LOBO;1;0;0;0;2;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;7
085 TURIACU;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;2;0;0;0;6
086 ROCHA MIRANDA;1;2;1;3;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;11
087 HONORIO GURGEL;2;0;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;7
088 OSWALDO CRUZ;3;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;7
089 BENTO RIBEIRO;0;0;0;2;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;1;7
090 MARECHAL HERMES;0;0;0;0;0;0;1;0;0;0;0;2;1;0;0;0;1;1;0;1;7
093 CACUIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
094 PITANGUEIRAS;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
095 PRAIA DA BANDEIRA;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
097 BANCARIOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
098 FREGUESIA-ILHA;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
099 JARDIM GUANABARA;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2
100 JARDIM CARIOCA;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2
101 TAUA;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2
104 GALEAO;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;2;1;1;8
106 GUADALUPE;1;1;1;0;2;0;0;0;0;1;0;0;2;0;0;1;0;0;0;0;9
107 ANCHIETA;0;0;0;1;1;2;2;2;0;0;0;0;1;1;1;1;0;2;0;0;14
108 PARQUE ANCHIETA;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
109 RICARDO ALBUQUERQUE;2;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;2;1;0;8
110 COELHO NETO;0;0;0;1;0;1;0;1;0;0;0;0;0;1;1;0;1;0;0;0;6
111 ACARI;2;0;1;2;2;0;0;0;0;2;0;0;2;2;0;0;1;0;0;1;15
112 BARROS FILHO;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;1;2;0;0;7
113 COSTA BARROS;2;1;4;2;2;2;2;0;1;0;1;0;2;2;0;2;0;1;2;1;27
114 PAVUNA;1;1;2;3;2;2;0;2;1;3;0;3;0;1;2;1;1;1;1;1;28
115 JACAREPAGUA;5;0;0;0;0;1;1;0;1;3;2;0;4;2;7;0;1;2;0;1;30
116 ANIL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
117 GARDENIA AZUL;1;0;0;1;1;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;7
118 CIDADE DE DEUS;0;0;3;2;4;4;2;0;2;1;0;1;1;0;1;0;1;0;0;1;23
119 CURICICA;1;0;1;1;2;1;2;0;1;0;1;1;0;1;0;1;1;0;0;0;14
120 FREGUESIA-JPA;0;0;2;1;0;1;0;0;0;1;2;0;1;0;0;0;1;0;0;1;10
121 PECHINCHA;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2
122 TAQUARA;2;0;0;0;2;1;2;0;1;1;3;1;0;0;0;1;3;1;0;1;19
123 TANQUE;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;6
124 PRACA SECA;0;0;1;3;1;0;0;1;2;0;0;2;1;0;0;1;2;0;0;2;16
125 VILA VALQUEIRE;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3
127 ITANHANGA;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;4
128 BARRA DA TIJUCA;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
130 VARGEM PEQUENA;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;3;7
131 VARGEM GRANDE;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2
132 RECREIO BANDEIRANTES;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2
134 DEODORO;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;4
135 VILA MILITAR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
137 JARDIM SULACAP;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
138 MAGALHAES BASTOS;0;2;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;4
139 REALENGO;0;3;4;3;0;3;3;0;1;3;3;3;3;0;3;2;0;0;4;0;38
140 PADRE MIGUEL;3;1;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;9
141 BANGU;4;2;3;6;1;3;2;5;3;2;2;5;0;2;0;2;4;1;2;2;51
142 SENADOR CAMARA;3;0;1;3;3;4;1;3;3;2;2;0;2;0;1;4;2;0;1;0;35
143 SANTISSIMO;0;0;1;3;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;7
144 CAMPO GRANDE;4;5;6;3;2;2;2;1;7;3;1;2;1;6;2;3;4;1;0;1;56
145 SENADOR VASCONCELOS;0;0;0;0;0;0;0;1;1;0;1;1;0;0;1;1;0;0;0;1;7
146 INHOAIBA;0;1;2;0;3;1;0;0;0;1;0;0;0;1;0;2;1;1;0;0;13
147 COSMOS;0;1;2;0;1;0;2;0;1;0;0;3;1;1;0;0;0;3;2;0;17
148 PACIENCIA;3;1;1;2;0;4;0;0;1;0;1;0;4;1;0;0;1;0;3;2;24
149 SANTA CRUZ;2;6;2;5;1;8;7;4;3;2;6;6;3;1;4;3;5;3;1;2;74
150 SEPETIBA;1;1;0;0;1;0;0;0;0;0;4;0;0;1;1;0;1;0;1;3;14
151 GUARATIBA;0;0;0;2;1;1;2;0;1;1;1;3;2;1;1;0;3;2;3;2;26
152 BARRA DE GUARATIBA;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;5
153 PEDRA DE GUARATIBA;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
154 ROCINHA;1;0;1;0;0;3;1;3;0;0;0;0;2;0;1;2;0;1;1;0;16
155 JACAREZINHO;2;2;1;1;1;0;1;0;0;0;1;1;0;0;1;1;1;0;1;2;16
156 COMPLEXO DO ALEMAO;2;0;0;1;0;1;2;3;3;1;2;1;0;1;3;0;1;1;4;0;26
157 COMPLEXO DA MARE;2;2;2;2;1;0;1;5;1;3;3;0;1;0;1;0;0;4;2;2;32
159 VASCO DA GAMA;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;1;0;0;4
162 VILA KENNEDY;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2
998 ILHA DO GOVERNADOR - IGNORADO;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
999 IGNORADO BAIRRO-MRJ;0;0;1;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;6
EM BRANCO;31;27;28;21;24;23;17;17;24;13;19;11;20;16;20;19;16;15;17;5;383
Total;120;101;113;130;102;109;77;78;79;62;77;90;75;67;71;68;93;82;74;62;1730
