Cor/raça;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;Total
Branca;-;153;118;147;155;114;95;110;107;104;69;73;92;88;72;77;82;74;79;73;63;75;70;75;74;55;46;53;53;55;2501
Preta;-;20;19;23;20;12;13;18;18;16;14;16;15;17;12;13;9;7;8;10;9;11;8;7;12;10;14;13;7;10;381
Amarela;-;1;1;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;7
Parda;-;75;69;92;80;73;73;101;76;85;75;66;82;70;75;66;95;103;82;91;82;82;94;85;100;98;59;86;69;61;2345
Indígena;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
Ignorado;325;101;107;80;50;42;39;24;38;46;21;23;26;13;13;10;15;15;15;26;16;15;20;14;17;14;13;8;8;15;1169
Total;325;350;314;343;306;241;220;254;239;251;179;178;215;188;172;167;201;199;184;200;171;183;192;182;203;178;132;160;137;141;6405
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
