Causas evitáveis;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;Total
.. Pneumonia;8;6;9;17;12;5;9;11;2;5;-;3;3;-;3;4;5;3;1;4;3;3;-;2;3;2;1;1;1;1;127
.. Outras infecções agudas vias aéreas inferiores;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;1;-;1;2;1;1;1;1;-;2;14
.. Algumas doenças pulmonares dev agentes externos;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
.. Outras doenças bacterianas;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
.. Síndrome de Down;2;1;-;-;-;-;-;-;-;1;2;1;-;-;-;2;-;1;1;-;-;1;-;-;-;-;-;-;1;-;13
1.4. Reduz. ações promoção vinc. ações de atenção;7;8;6;3;2;2;3;2;1;2;5;1;5;4;2;-;6;1;1;-;9;6;3;6;5;7;3;6;6;1;113
.. Doenças infecciosas intestinais;2;2;3;-;1;-;1;-;-;-;1;-;-;1;1;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;15
.. Doenças infecciosas, outras e não especificadas;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
.. Desnutrição e outras deficiências nutricionais;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
.. Acidentes de transporte;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
.. Síndrome da morte súbita na infância;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
.. Quedas;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
.. Exposição às forças da natureza;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
.. Outros riscos acidentais à respiração;3;4;2;2;1;1;2;1;-;2;3;1;5;3;1;-;4;-;-;-;7;6;2;6;5;6;3;5;6;-;81
.. Agressões;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
.. Eventos (fatos) cuja intenção é indeterminada;-;2;1;-;-;1;-;-;1;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;-;1;-;-;-;1;10
2. Causas mal definidas;19;12;14;10;13;8;14;15;7;8;7;6;8;7;6;3;4;3;4;7;3;5;2;1;10;2;-;2;3;-;203
.. Sintomas, sinais e achados anormais;-;2;-;1;2;-;2;2;1;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
.. Afecções orig período perinatal não especific;19;10;14;9;11;8;12;13;6;8;7;5;8;5;6;3;4;3;4;7;3;5;2;1;10;2;-;2;3;-;190
3. Demais causas (não claramente evitáveis);57;54;46;63;61;54;45;60;66;54;38;42;52;47;56;52;50;45;55;47;40;38;62;48;54;42;42;40;48;42;1500
Total;325;350;314;343;306;241;220;254;239;251;179;178;215;188;172;167;201;199;184;200;171;183;192;182;203;178;132;160;137;141;6405
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
