Bairro Residencia;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;Total
067 AGUA SANTA;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
068 ENCANTADO;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;4
069 PIEDADE;1;0;0;1;1;0;1;2;2;1;1;0;1;2;0;0;0;0;0;0;13
070 ABOLICAO;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3
071 PILARES;0;0;3;0;2;1;0;0;0;0;1;0;0;1;0;1;0;2;0;0;11
072 VILA KOSMOS;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;2
073 VICENTE DE CARVALHO;1;0;0;1;0;1;2;1;1;0;0;0;0;1;0;0;0;0;0;0;8
074 VILA DA PENHA;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
075 VISTA ALEGRE;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;3
076 IRAJA;1;5;2;0;1;1;7;2;0;3;0;0;1;3;0;0;0;0;0;1;27
077 COLEGIO;0;0;1;0;1;1;0;0;3;0;0;1;1;0;1;0;0;0;0;0;9
078 CAMPINHO;1;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;5
079 QUINTINO BOCAIUVA;1;2;1;1;0;0;1;0;1;0;0;1;2;1;1;0;0;0;0;0;12
080 CAVALCANTE;2;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;6
081 ENGENHEIRO LEAL;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;3
082 CASCADURA;3;0;2;1;2;0;0;2;0;1;0;0;0;1;1;1;1;1;1;1;18
083 MADUREIRA;1;0;1;1;0;0;1;0;0;3;2;1;0;0;1;1;1;0;0;2;15
084 VAZ LOBO;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4
085 TURIACU;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;4
086 ROCHA MIRANDA;1;1;2;2;0;1;2;0;0;2;1;0;0;1;0;0;1;1;0;1;16
087 HONORIO GURGEL;1;0;1;0;1;1;1;0;0;1;0;1;2;0;0;0;0;0;1;1;11
088 OSWALDO CRUZ;2;3;0;3;0;2;0;0;1;0;1;1;0;0;0;1;0;0;0;0;14
089 BENTO RIBEIRO;0;0;4;0;0;0;1;0;0;2;1;1;1;0;2;1;0;0;0;0;13
090 MARECHAL HERMES;2;1;3;2;1;1;0;0;0;0;1;1;0;1;1;1;1;0;0;1;17
093 CACUIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
094 PITANGUEIRAS;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;3
095 PRAIA DA BANDEIRA;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
096 COCOTA;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;2
097 BANCARIOS;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;3
098 FREGUESIA-ILHA;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;4
099 JARDIM GUANABARA;0;0;0;2;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;5
100 JARDIM CARIOCA;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;6
101 TAUA;0;0;1;1;0;1;0;0;1;0;1;0;1;3;0;1;0;0;1;0;11
103 PORTUGUESA;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2
104 GALEAO;2;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;2;1;0;7
106 GUADALUPE;2;3;3;1;0;0;0;0;0;1;0;1;3;1;1;0;0;0;0;1;17
107 ANCHIETA;5;1;6;5;6;0;1;3;1;1;0;1;0;1;2;0;1;0;2;1;37
108 PARQUE ANCHIETA;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;3
109 RICARDO ALBUQUERQUE;0;1;1;0;0;0;1;0;1;0;0;1;0;1;0;0;1;0;0;0;7
110 COELHO NETO;0;0;1;0;0;1;3;0;0;1;1;1;2;0;0;0;0;0;0;0;10
111 ACARI;0;0;2;3;0;0;1;1;1;0;2;3;2;1;0;1;1;0;0;1;19
112 BARROS FILHO;2;0;1;0;1;1;0;0;0;0;0;1;1;1;0;0;0;1;0;0;9
113 COSTA BARROS;0;3;2;1;0;0;1;4;1;0;3;0;0;2;0;1;3;0;1;0;22
114 PAVUNA;6;3;1;2;3;3;0;2;2;0;0;0;2;1;0;0;1;0;0;0;26
115 JACAREPAGUA;3;3;2;8;0;1;3;1;1;4;2;4;7;7;2;3;3;0;2;2;58
116 ANIL;0;1;1;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;5
117 GARDENIA AZUL;0;2;4;1;2;1;1;1;1;1;0;0;1;1;0;0;1;1;0;0;18
118 CIDADE DE DEUS;1;2;1;0;4;2;0;0;1;2;0;2;3;1;1;1;1;0;2;2;26
119 CURICICA;2;0;2;0;0;0;2;2;1;0;0;2;0;1;1;0;0;1;0;0;14
120 FREGUESIA-JPA;0;0;1;0;1;1;0;2;1;1;3;1;1;2;0;0;1;0;1;0;16
121 PECHINCHA;1;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;5
122 TAQUARA;4;3;2;1;1;3;2;0;0;4;4;2;1;1;0;1;0;0;1;0;30
123 TANQUE;4;2;1;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;11
124 PRACA SECA;3;1;1;6;0;1;2;1;0;1;2;1;3;1;2;0;0;3;0;0;28
125 VILA VALQUEIRE;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;5
127 ITANHANGA;0;0;0;0;1;2;0;2;1;3;1;0;2;0;1;3;1;0;1;1;19
128 BARRA DA TIJUCA;1;1;0;0;0;0;0;1;1;2;1;2;2;0;0;0;1;0;0;0;12
129 CAMORIM;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
130 VARGEM PEQUENA;0;1;0;0;0;0;0;0;0;1;1;0;1;2;1;0;0;0;0;1;8
131 VARGEM GRANDE;0;1;0;1;0;0;1;0;0;0;0;0;0;1;2;0;0;1;0;0;7
132 RECREIO BANDEIRANTES;1;1;1;0;2;1;0;0;0;0;0;0;2;2;0;0;1;0;2;0;13
134 DEODORO;0;2;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5
135 VILA MILITAR;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
137 JARDIM SULACAP;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
138 MAGALHAES BASTOS;2;0;1;0;2;1;0;0;1;0;2;1;0;0;1;0;0;0;0;2;13
139 REALENGO;8;7;4;4;5;6;3;5;6;1;3;1;0;2;2;2;1;0;0;0;60
140 PADRE MIGUEL;5;1;4;2;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;18
141 BANGU;12;11;8;8;5;3;2;1;3;4;10;3;5;1;1;1;0;0;1;0;79
142 SENADOR CAMARA;7;1;6;2;3;3;1;2;2;1;1;1;1;3;5;1;0;0;1;0;41
143 SANTISSIMO;1;2;1;2;0;1;3;1;1;1;0;0;1;0;1;0;1;0;0;0;16
144 CAMPO GRANDE;7;9;6;6;4;2;0;5;3;7;2;2;6;0;0;1;0;1;1;1;63
145 SENADOR VASCONCELOS;1;0;0;0;0;0;0;1;0;0;0;1;1;1;1;0;0;0;0;0;6
146 INHOAIBA;1;0;1;1;0;2;0;1;1;2;0;1;0;0;1;0;0;0;1;0;12
147 COSMOS;1;0;2;1;0;0;1;1;1;0;0;1;0;0;0;3;1;0;0;0;12
148 PACIENCIA;1;3;2;1;2;1;1;2;1;1;0;0;1;0;1;1;0;0;1;0;19
149 SANTA CRUZ;3;3;4;6;4;1;2;5;1;5;4;1;1;1;3;2;2;1;2;1;52
150 SEPETIBA;0;0;1;0;1;2;1;0;1;2;0;0;0;0;0;0;0;0;0;0;8
151 GUARATIBA;0;1;1;0;1;1;3;0;1;1;1;2;3;1;0;1;0;0;0;0;17
153 PEDRA DE GUARATIBA;1;1;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;6
154 ROCINHA;1;2;3;3;1;1;1;0;1;0;0;0;2;1;0;1;0;0;0;1;18
155 JACAREZINHO;1;1;0;2;0;0;1;1;0;1;1;1;1;0;1;0;0;0;3;0;14
156 COMPLEXO DO ALEMAO;1;0;1;1;0;0;0;3;4;1;2;2;1;3;1;1;1;0;0;0;22
157 COMPLEXO DA MARE;4;2;1;4;1;5;1;2;5;2;3;4;5;3;1;3;2;2;2;2;54
158 PARQUE COLUMBIA;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;2
159 VASCO DA GAMA;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;1;2;0;0;0;6
165 BARRA OLIMPICA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
998 ILHA DO GOVERNADOR - IGNORADO;0;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
999 IGNORADO BAIRRO-MRJ;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;6
EM BRANCO;55;45;41;39;21;22;27;29;22;25;19;25;19;18;17;15;12;8;4;9;472
Total;222;190;178;160;107;106;113;120;96;122;104;106;125;102;90;77;65;44;52;56;2235
