Bairro Residencia;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;Total
085 TURIACU;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
086 ROCHA MIRANDA;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;4
087 HONORIO GURGEL;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;2
088 OSWALDO CRUZ;0;1;1;0;1;0;0;0;0;0;0;0;0;2;0;5
089 BENTO RIBEIRO;0;1;2;0;0;0;0;0;1;0;0;0;2;0;0;6
090 MARECHAL HERMES;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;2
092 ZUMBI;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
094 PITANGUEIRAS;0;0;0;0;0;0;2;0;1;1;0;0;0;0;0;4
095 PRAIA DA BANDEIRA;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
096 COCOTA;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
097 BANCARIOS;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2
098 FREGUESIA-ILHA;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2
099 JARDIM GUANABARA;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2
100 JARDIM CARIOCA;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;3
101 TAUA;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
103 PORTUGUESA;0;0;1;0;0;0;0;1;1;0;0;1;0;0;1;5
104 GALEAO;0;0;1;0;1;0;0;0;0;0;1;1;1;2;1;8
105 CIDADE UNIVERSITARIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
106 GUADALUPE;0;2;2;0;0;1;0;0;1;0;0;0;0;0;0;6
107 ANCHIETA;1;1;1;1;3;1;0;0;1;0;0;0;0;1;1;11
108 PARQUE ANCHIETA;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;2
109 RICARDO ALBUQUERQUE;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;2
110 COELHO NETO;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;3
111 ACARI;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;2
112 BARROS FILHO;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;3
113 COSTA BARROS;1;2;0;0;2;0;0;0;1;0;0;0;0;0;0;6
114 PAVUNA;1;1;3;1;3;2;1;0;0;0;1;1;1;1;2;18
115 JACAREPAGUA;0;0;2;1;2;1;1;2;1;2;1;3;5;3;1;25
116 ANIL;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;2
117 GARDENIA AZUL;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;5
118 CIDADE DE DEUS;1;1;0;1;0;0;1;0;0;0;0;0;2;1;0;7
119 CURICICA;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;2
120 FREGUESIA-JPA;0;0;1;0;0;0;0;0;0;2;0;1;1;0;2;7
121 PECHINCHA;1;0;0;0;1;0;0;0;0;0;1;0;2;0;1;6
122 TAQUARA;0;0;1;0;0;0;1;0;2;0;0;3;1;0;0;8
123 TANQUE;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;4
124 PRACA SECA;0;0;0;0;0;0;1;0;0;0;2;0;1;0;0;4
125 VILA VALQUEIRE;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;4
127 ITANHANGA;0;0;0;1;0;0;0;1;1;2;0;2;1;2;2;12
128 BARRA DA TIJUCA;0;0;0;2;0;0;0;0;0;1;0;1;0;1;0;5
129 CAMORIM;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;2
132 RECREIO BANDEIRANTES;1;0;1;1;1;0;0;0;0;0;1;1;2;1;0;9
134 DEODORO;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;4
135 VILA MILITAR;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2
137 JARDIM SULACAP;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
138 MAGALHAES BASTOS;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
139 REALENGO;2;1;2;1;2;4;0;0;0;4;2;0;1;5;4;28
140 PADRE MIGUEL;0;0;0;0;1;0;0;2;0;4;1;0;2;1;2;13
141 BANGU;0;1;3;8;1;4;2;2;2;6;2;1;0;6;6;44
